"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","5.38","5.33","5327","4","4.66666650772095","6","6.66666650772095","5.35","5.41","5.33333349227905","5.33333349227905"
"2005","35-65 y.","5.43","5.33","11622","4","4.66666650772095","6.33333349227905","6.66666650772095","5.41","5.45","5.33333349227905","5.66666650772095"
"2005","66 and older","5.65","5.67","3798","4.33333349227905","5","6.33333349227905","7","5.62","5.68","5.66666650772095","5.66666650772095"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","5.23","5.33","3996","4","4.66666650772095","6","6.33333349227905","5.2","5.26","5.33333349227905","5.33333349227905"
"2009","35-65 y.","5.25","5.33","9879","4","4.66666650772095","6","6.66666650772095","5.23","5.27","5.33333349227905","5.33333349227905"
"2009","66 and older","5.48","5.67","4177","4","4.66666650772095","6.33333349227905","7","5.45","5.51","5.33333349227905","5.66666650772095"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","5.41","5.33","2201","4","4.66666650772095","6","6.66666650772095","5.37","5.45","5.33333349227905","5.66666650772095"
"2012","35-65 y.","5.4","5.33","4905","4","4.66666650772095","6","6.66666650772095","5.37","5.43","5.33333349227905","5.33333349227905"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","5.3","5.33","3699","4","4.66666650772095","6","6.33333349227905","5.27","5.33","5.33333349227905","5.33333349227905"
"2013","35-65 y.","5.33","5.33","10238","4","4.66666650772095","6","6.66666650772095","5.31","5.35","5.33333349227905","5.33333349227905"
"2013","66 and older","5.51","5.67","4963","4.33333349227905","4.66666650772095","6.33333349227905","7","5.48","5.54","5.66666650772095","5.66666650772095"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","5.37","5.33","7588","4","4.66666650772095","6","6.66666650772095","5.35","5.39","5.66666650772095","5.66666650772095"
"2017","35-65 y.","5.35","5.33","16704","4","4.66666650772095","6","6.66666650772095","5.33","5.37","5.66666650772095","5.66666650772095"
"2017","66 and older","5.49","5.67","5039","4.33333349227905","4.66666650772095","6.33333349227905","6.66666650772095","5.46","5.52","5.5","5.66666650772095"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","5.37","5.33","5441","4","4.66666650772095","6","6.66666650772095","5.34","5.4","5.33333349227905","5.33333349227905"
"2019","35-65 y.","5.37","5.33","15157","4","4.66666650772095","6","6.66666650772095","5.35","5.39","5.33333349227905","5.33333349227905"
"2019","66 and older","5.5","5.67","5228","4.33333349227905","5","6.33333349227905","6.66666650772095","5.47","5.53","5.66666650772095","5.66666650772095"
