"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","direct migration background","5.47","5.33","701","4","4.67","6.33","7","7","5.39","5.55","2.33","7","5.33333349227905","5.66666650772095"
"2005","(Married) couple without C.","indirect migration background","5.59","5.67","115","4.67","5","6.33","6.67","7","5.42","5.76","2.67","7","5.33333349227905","5.66666650772095"
"2005","(Married) couple without C.","no migration background","5.48","5.67","6226","4","4.67","6.33","6.67","7","5.46","5.5","1","7","5.33333349227905","5.66666650772095"
"2005","1-pers.-HH","direct migration background","5.7","5.67","214","4","5","6.67","7","7","5.56","5.84","3","7","5.66666650772095","6"
"2005","1-pers.-HH","indirect migration background","5.26","5.33","94","4.33","4.67","6","6.33","7","5.09","5.43","3","7","5","5.66666650772095"
"2005","1-pers.-HH","no migration background","5.57","5.67","2664","4.33","5","6.33","7","7","5.53","5.61","1","7","5.66666650772095","5.66666650772095"
"2005","Couple + C. GT 16 ","direct migration background","5.56","5.67","404","4.33","5","6.33","7","7","5.46","5.66","2.33","7","5.33333349227905","5.66666650772095"
"2005","Couple + C. GT 16 ","indirect migration background","5.42","5.33","207","4.33","4.67","6","6.67","7","5.3","5.54","3","7","5.33333349227905","5.66666650772095"
"2005","Couple + C. GT 16 ","no migration background","5.32","5.33","3040","4","4.67","6","6.67","7","5.29","5.35","1","7","5.33333349227905","5.33333349227905"
"2005","Couple + C. LE 16","direct migration background","5.66","5.67","529","4.33","5","6.67","7","7","5.57","5.75","2.67","7","5.66666650772095","6"
"2005","Couple + C. LE 16","indirect migration background","5.62","5.67","176","4.33","5","6.33","6.67","7","5.47","5.77","2.33","7","5.33333349227905","5.66666650772095"
"2005","Couple + C. LE 16","no migration background","5.35","5.33","3009","4","4.67","6","6.67","7","5.32","5.38","1","7","5.33333349227905","5.33333349227905"
"2005","Couple + C. LE and GT 16","direct migration background","5.5","5.33","284","4.33","5","6","6.67","7","5.38","5.62","2","7","5.33333349227905","5.66666650772095"
