"year","age_gr","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2012","66 and older","indirect migration background","","","","","","","","","","",""
"2012","66 and older","no migration background","","","","","","","","","","",""
"2013","16-34 y.","direct migration background","5.44","5.33","285","4.33333349227905","5","6.33333349227905","6.66666650772095","5.33","5.55","5.33333349227905","5.66666650772095"
"2013","16-34 y.","indirect migration background","5.27","5.33","424","4","4.33333349227905","6","6.66666650772095","5.18","5.36","5.33333349227905","5.66666650772095"
"2013","16-34 y.","no migration background","5.29","5.33","2990","4","4.66666650772095","6","6.33333349227905","5.26","5.32","5.33333349227905","5.33333349227905"
"2013","35-65 y.","direct migration background","5.38","5.67","1032","4","4.66666650772095","6","6.66666650772095","5.32","5.44","5.66666650772095","5.66666650772095"
"2013","35-65 y.","indirect migration background","5.34","5.33","286","4","4.66666650772095","6","6.66666650772095","5.23","5.45","5.33333349227905","5.66666650772095"
"2013","35-65 y.","no migration background","5.33","5.33","8920","4","4.66666650772095","6","6.66666650772095","5.31","5.35","5.33333349227905","5.33333349227905"
"2013","66 and older","direct migration background","5.59","5.67","371","4.33333349227905","4.66666650772095","6.33333349227905","7","5.49","5.69","5.33333349227905","5.66666650772095"
"2013","66 and older","indirect migration background","","","","","","","","","","",""
"2013","66 and older","no migration background","5.5","5.67","4587","4.33333349227905","4.66666650772095","6.33333349227905","7","5.47","5.53","5.66666650772095","5.66666650772095"
"2014","16-34 y.","direct migration background","","","","","","","","","","",""
"2014","16-34 y.","indirect migration background","","","","","","","","","","",""
"2014","16-34 y.","no migration background","","","","","","","","","","",""
"2014","35-65 y.","direct migration background","","","","","","","","","","",""
"2014","35-65 y.","indirect migration background","","","","","","","","","","",""
"2014","35-65 y.","no migration background","","","","","","","","","","",""
"2014","66 and older","direct migration background","","","","","","","","","","",""
"2014","66 and older","indirect migration background","","","","","","","","","","",""
"2014","66 and older","no migration background","","","","","","","","","","",""
"2015","16-34 y.","direct migration background","","","","","","","","","","",""
"2015","16-34 y.","indirect migration background","","","","","","","","","","",""
"2015","16-34 y.","no migration background","","","","","","","","","","",""
"2015","35-65 y.","direct migration background","","","","","","","","","","",""
"2015","35-65 y.","indirect migration background","","","","","","","","","","",""
"2015","35-65 y.","no migration background","","","","","","","","","","",""
"2015","66 and older","direct migration background","","","","","","","","","","",""
"2015","66 and older","indirect migration background","","","","","","","","","","",""
"2015","66 and older","no migration background","","","","","","","","","","",""
"2016","16-34 y.","direct migration background","","","","","","","","","","",""
"2016","16-34 y.","indirect migration background","","","","","","","","","","",""
"2016","16-34 y.","no migration background","","","","","","","","","","",""
"2016","35-65 y.","direct migration background","","","","","","","","","","",""
"2016","35-65 y.","indirect migration background","","","","","","","","","","",""
"2016","35-65 y.","no migration background","","","","","","","","","","",""
"2016","66 and older","direct migration background","","","","","","","","","","",""
"2016","66 and older","indirect migration background","","","","","","","","","","",""
"2016","66 and older","no migration background","","","","","","","","","","",""
"2017","16-34 y.","direct migration background","5.49","5.67","2517","4","5","6.33333349227905","6.66666650772095","5.45","5.53","6","6.33333349227905"
"2017","16-34 y.","indirect migration background","5.39","5.33","975","4","4.66666650772095","6","6.66666650772095","5.33","5.45","5.33333349227905","5.66666650772095"
"2017","16-34 y.","no migration background","5.34","5.33","4096","4","4.66666650772095","6","6.33333349227905","5.31","5.37","5.33333349227905","5.33333349227905"
"2017","35-65 y.","direct migration background","5.5","5.67","4324","4.33333349227905","4.66666650772095","6.33333349227905","7","5.47","5.53","6","6"
"2017","35-65 y.","indirect migration background","5.3","5.33","724","4","4.66666650772095","6","6.66666650772095","5.23","5.37","5.33333349227905","5.66666650772095"
"2017","35-65 y.","no migration background","5.32","5.33","11656","4","4.66666650772095","6","6.66666650772095","5.3","5.34","5.33333349227905","5.33333349227905"
"2017","66 and older","direct migration background","5.52","5.67","448","4","5","6.33333349227905","6.66666650772095","5.43","5.61","5.66666650772095","5.66666650772095"
"2017","66 and older","indirect migration background","","","","","","","","","","",""
"2017","66 and older","no migration background","5.49","5.67","4575","4.33333349227905","4.66666650772095","6.33333349227905","6.66666650772095","5.46","5.52","5.33333349227905","5.66666650772095"
"2018","16-34 y.","direct migration background","","","","","","","","","","",""
"2018","16-34 y.","indirect migration background","","","","","","","","","","",""
"2018","16-34 y.","no migration background","","","","","","","","","","",""
"2018","35-65 y.","direct migration background","","","","","","","","","","",""
"2018","35-65 y.","indirect migration background","","","","","","","","","","",""
"2018","35-65 y.","no migration background","","","","","","","","","","",""
"2018","66 and older","direct migration background","","","","","","","","","","",""
"2018","66 and older","indirect migration background","","","","","","","","","","",""
"2018","66 and older","no migration background","","","","","","","","","","",""
"2019","16-34 y.","direct migration background","5.45","5.33","811","4.33333349227905","5","6","6.66666650772095","5.38","5.52","5.33333349227905","5.66666650772095"
"2019","16-34 y.","indirect migration background","5.41","5.33","879","4","4.66666650772095","6.33333349227905","6.66666650772095","5.34","5.48","5.33333349227905","5.66666650772095"
"2019","16-34 y.","no migration background","5.34","5.33","3751","4","4.66666650772095","6","6.33333349227905","5.31","5.37","5.33333349227905","5.33333349227905"
"2019","35-65 y.","direct migration background","5.5","5.67","2609","4","4.66666650772095","6.33333349227905","7","5.46","5.54","5.66666650772095","5.66666650772095"
"2019","35-65 y.","indirect migration background","5.37","5.33","787","4","4.66666650772095","6","6.66666650772095","5.3","5.44","5.33333349227905","5.66666650772095"
"2019","35-65 y.","no migration background","5.34","5.33","11761","4","4.66666650772095","6","6.66666650772095","5.32","5.36","5.33333349227905","5.33333349227905"
"2019","66 and older","direct migration background","5.54","5.67","425","4.33333349227905","5","6.33333349227905","6.66666650772095","5.45","5.63","5.66666650772095","6"
"2019","66 and older","indirect migration background","5.43","5.33","36","4.33333349227905","5","6.33333349227905","6.66666650772095","5.12","5.74","5","6"
"2019","66 and older","no migration background","5.5","5.67","4767","4.33333349227905","5","6.33333349227905","6.66666650772095","5.47","5.53","5.66666650772095","5.66666650772095"
