"year","bula_h","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Saxony-Anhalt","Part Time","5.41","5.49","184","4","5","6","6.67","7","5.28","5.54","3","7","5.33333349227905","5.66666650772095"
"2005","Schleswig-Holstein","Full Time","5.29","5.33","248","4","4.67","6","6.33","7","5.17","5.41","2.67","7","5.33333349227905","5.5"
"2005","Schleswig-Holstein","Not Working","5.45","5.67","244","4","5","6.33","6.67","7","5.33","5.57","1","7","5.33333349227905","5.66666650772095"
"2005","Schleswig-Holstein","Part Time","5.48","5.67","158","4","4.67","6","6.67","7","5.34","5.62","3.33","7","5.66666650772095","5.66666650772095"
"2005","Thuringia","Full Time","5.25","5.33","333","4","4.67","6","6.33","7","5.15","5.35","2.33","7","5","5.33333349227905"
"2005","Thuringia","Not Working","5.53","5.67","376","4.33","4.67","6.33","7","7","5.43","5.63","2.67","7","5.33333349227905","5.66666650772095"
"2005","Thuringia","Part Time","5.54","5.67","183","4.33","4.67","6.33","6.67","7","5.41","5.67","3","7","5.33333349227905","5.66666650772095"
"2006","Baden-W?rttemberg","Full Time","","","","","","","","","","","","","",""
"2006","Baden-W?rttemberg","Not Working","","","","","","","","","","","","","",""
"2006","Baden-W?rttemberg","Part Time","","","","","","","","","","","","","",""
"2006","Bavaria","Full Time","","","","","","","","","","","","","",""
"2006","Bavaria","Not Working","","","","","","","","","","","","","",""
"2006","Bavaria","Part Time","","","","","","","","","","","","","",""
"2006","Berlin","Full Time","","","","","","","","","","","","","",""
"2006","Berlin","Not Working","","","","","","","","","","","","","",""
"2006","Berlin","Part Time","","","","","","","","","","","","","",""
"2006","Brandenburg","Full Time","","","","","","","","","","","","","",""
"2006","Brandenburg","Not Working","","","","","","","","","","","","","",""
"2006","Brandenburg","Part Time","","","","","","","","","","","","","",""
"2006","Bremen","Full Time","","","","","","","","","","","","","",""
"2006","Bremen","Not Working","","","","","","","","","","","","","",""
"2006","Bremen","Part Time","","","","","","","","","","","","","",""
"2006","Hamburg","Full Time","","","","","","","","","","","","","",""
"2006","Hamburg","Not Working","","","","","","","","","","","","","",""
"2006","Hamburg","Part Time","","","","","","","","","","","","","",""
"2006","Hesse","Full Time","","","","","","","","","","","","","",""
"2006","Hesse","Not Working","","","","","","","","","","","","","",""
"2006","Hesse","Part Time","","","","","","","","","","","","","",""
"2006","Lower Saxony","Full Time","","","","","","","","","","","","","",""
"2006","Lower Saxony","Not Working","","","","","","","","","","","","","",""
"2006","Lower Saxony","Part Time","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Full Time","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Not Working","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Part Time","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Full Time","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Not Working","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Part Time","","","","","","","","","","","","","",""
"2006","Saxony","Full Time","","","","","","","","","","","","","",""
"2006","Saxony","Not Working","","","","","","","","","","","","","",""
"2006","Saxony","Part Time","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Full Time","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Not Working","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Part Time","","","","","","","","","","","","","",""
"2006","Thuringia","Full Time","","","","","","","","","","","","","",""
"2006","Thuringia","Not Working","","","","","","","","","","","","","",""
"2006","Thuringia","Part Time","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Full Time","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Not Working","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Part Time","","","","","","","","","","","","","",""
"2007","Bavaria","Full Time","","","","","","","","","","","","","",""
"2007","Bavaria","Not Working","","","","","","","","","","","","","",""
"2007","Bavaria","Part Time","","","","","","","","","","","","","",""
"2007","Berlin","Full Time","","","","","","","","","","","","","",""
"2007","Berlin","Not Working","","","","","","","","","","","","","",""
"2007","Berlin","Part Time","","","","","","","","","","","","","",""
"2007","Brandenburg","Full Time","","","","","","","","","","","","","",""
"2007","Brandenburg","Not Working","","","","","","","","","","","","","",""
"2007","Brandenburg","Part Time","","","","","","","","","","","","","",""
"2007","Bremen","Full Time","","","","","","","","","","","","","",""
"2007","Bremen","Not Working","","","","","","","","","","","","","",""
"2007","Bremen","Part Time","","","","","","","","","","","","","",""
"2007","Hamburg","Full Time","","","","","","","","","","","","","",""
"2007","Hamburg","Not Working","","","","","","","","","","","","","",""
"2007","Hamburg","Part Time","","","","","","","","","","","","","",""
"2007","Hesse","Full Time","","","","","","","","","","","","","",""
"2007","Hesse","Not Working","","","","","","","","","","","","","",""
"2007","Hesse","Part Time","","","","","","","","","","","","","",""
"2007","Lower Saxony","Full Time","","","","","","","","","","","","","",""
"2007","Lower Saxony","Not Working","","","","","","","","","","","","","",""
"2007","Lower Saxony","Part Time","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Full Time","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Not Working","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Part Time","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Full Time","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Not Working","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Part Time","","","","","","","","","","","","","",""
"2007","Saxony","Full Time","","","","","","","","","","","","","",""
"2007","Saxony","Not Working","","","","","","","","","","","","","",""
"2007","Saxony","Part Time","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Full Time","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Not Working","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Part Time","","","","","","","","","","","","","",""
"2007","Thuringia","Full Time","","","","","","","","","","","","","",""
"2007","Thuringia","Not Working","","","","","","","","","","","","","",""
"2007","Thuringia","Part Time","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Full Time","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Not Working","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Part Time","","","","","","","","","","","","","",""
"2008","Bavaria","Full Time","","","","","","","","","","","","","",""
"2008","Bavaria","Not Working","","","","","","","","","","","","","",""
"2008","Bavaria","Part Time","","","","","","","","","","","","","",""
"2008","Berlin","Full Time","","","","","","","","","","","","","",""
"2008","Berlin","Not Working","","","","","","","","","","","","","",""
"2008","Berlin","Part Time","","","","","","","","","","","","","",""
"2008","Brandenburg","Full Time","","","","","","","","","","","","","",""
"2008","Brandenburg","Not Working","","","","","","","","","","","","","",""
"2008","Brandenburg","Part Time","","","","","","","","","","","","","",""
"2008","Bremen","Full Time","","","","","","","","","","","","","",""
"2008","Bremen","Not Working","","","","","","","","","","","","","",""
"2008","Bremen","Part Time","","","","","","","","","","","","","",""
"2008","Hamburg","Full Time","","","","","","","","","","","","","",""
"2008","Hamburg","Not Working","","","","","","","","","","","","","",""
"2008","Hamburg","Part Time","","","","","","","","","","","","","",""
"2008","Hesse","Full Time","","","","","","","","","","","","","",""
"2008","Hesse","Not Working","","","","","","","","","","","","","",""
"2008","Hesse","Part Time","","","","","","","","","","","","","",""
"2008","Lower Saxony","Full Time","","","","","","","","","","","","","",""
"2008","Lower Saxony","Not Working","","","","","","","","","","","","","",""
"2008","Lower Saxony","Part Time","","","","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Full Time","","","","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Not Working","","","","","","","","","","","","","",""
"2008","Mecklenburg-Western Pomerania","Part Time","","","","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Full Time","","","","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Not Working","","","","","","","","","","","","","",""
"2008","North Rhine-Westphalia","Part Time","","","","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Full Time","","","","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Not Working","","","","","","","","","","","","","",""
"2008","Rhineland-Palatinate,Saarland","Part Time","","","","","","","","","","","","","",""
"2008","Saxony","Full Time","","","","","","","","","","","","","",""
"2008","Saxony","Not Working","","","","","","","","","","","","","",""
"2008","Saxony","Part Time","","","","","","","","","","","","","",""
"2008","Saxony-Anhalt","Full Time","","","","","","","","","","","","","",""
"2008","Saxony-Anhalt","Not Working","","","","","","","","","","","","","",""
"2008","Saxony-Anhalt","Part Time","","","","","","","","","","","","","",""
"2008","Schleswig-Holstein","Full Time","","","","","","","","","","","","","",""
"2008","Schleswig-Holstein","Not Working","","","","","","","","","","","","","",""
"2008","Schleswig-Holstein","Part Time","","","","","","","","","","","","","",""
"2008","Thuringia","Full Time","","","","","","","","","","","","","",""
"2008","Thuringia","Not Working","","","","","","","","","","","","","",""
"2008","Thuringia","Part Time","","","","","","","","","","","","","",""
"2009","Baden-W?rttemberg","Full Time","5.2","5.33","875","4","4.67","6","6.33","7","5.14","5.26","1","7","5","5.33333349227905"
"2009","Baden-W?rttemberg","Not Working","5.42","5.67","729","4","4.67","6.33","6.67","7","5.35","5.49","2.33","7","5.33333349227905","5.66666650772095"
"2009","Baden-W?rttemberg","Part Time","5.26","5.33","503","4","4.67","6","6.33","7","5.18","5.34","2.33","7","5.33333349227905","5.66666650772095"
"2009","Bavaria","Full Time","5.16","5","1039","4","4.67","6","6.67","7","5.1","5.22","1.67","7","5","5.33333349227905"
"2009","Bavaria","Not Working","5.32","5.33","908","4","4.67","6","6.67","7","5.26","5.38","2.33","7","5.33333349227905","5.33333349227905"
"2009","Bavaria","Part Time","5.37","5.67","669","4","4.67","6","6.67","7","5.3","5.44","1.67","7","5.33333349227905","5.66666650772095"
"2009","Berlin","Full Time","5.13","5","270","4","4.33","5.67","6.5","7","5.01","5.25","2.33","7","5","5.33333349227905"
"2009","Berlin","Not Working","5.27","5.33","247","4","4.67","6","6.33","7","5.14","5.4","2","7","5.33333349227905","5.66666650772095"
"2009","Berlin","Part Time","5.27","5.33","169","4","4.67","6","6.33","7","5.12","5.42","2.33","7","5.33333349227905","5.66666650772095"
"2009","Brandenburg","Full Time","5.22","5.33","290","4","4.67","6","6.67","7","5.1","5.34","1.67","7","5.33333349227905","5.66666650772095"
"2009","Brandenburg","Not Working","5.39","5.33","353","4","4.67","6","6.67","7","5.29","5.49","1.33","7","5.33333349227905","5.66666650772095"
"2009","Brandenburg","Part Time","5.29","5.33","151","4","4.33","6","6.67","7","5.13","5.45","3","7","5.33333349227905","5.66666650772095"
"2009","Bremen","Full Time","4.6","4.67","33","2.33","3.33","5.67","7","7","4.13","5.07","2.33","7","5","6.66666650772095"
"2009","Bremen","Not Working","4.96","5","53","4","4.33","6","6.33","7","4.67","5.25","2.33","7","5.33333349227905","6"
"2009","Bremen","Part Time","5.21","5.67","33","3.33","4.33","5.67","6.33","7","4.82","5.6","2.67","7","5.33333349227905","6"
"2009","Hamburg","Full Time","5.09","5","110","4","4.33","6","6","7","4.92","5.26","3","7","5","5.66666650772095"
"2009","Hamburg","Not Working","5.29","5.33","106","4.33","5","5.67","6.33","7","5.14","5.44","3.33","7","5","5.33333349227905"
"2009","Hamburg","Part Time","5.49","5.53","53","4","5","6","7","7","5.23","5.75","3.5","7","5.33333349227905","6"
"2009","Hesse","Full Time","5.2","5","493","4","4.67","6","6.67","7","5.11","5.29","1","7","5","5.33333349227905"
"2009","Hesse","Not Working","5.52","5.62","416","4.33","4.67","6.33","7","7","5.42","5.62","1.33","7","5.33333349227905","5.66666650772095"
"2009","Hesse","Part Time","5.45","5.33","310","4","5","6","7","7","5.34","5.56","2","7","5.33333349227905","5.66666650772095"
"2009","Lower Saxony","Full Time","5.21","5.33","586","4","4.67","6","6.33","7","5.13","5.29","2","7","5","5.33333349227905"
"2009","Lower Saxony","Not Working","5.43","5.33","634","4","4.67","6.33","7","7","5.35","5.51","2.67","7","5.33333349227905","5.66666650772095"
"2009","Lower Saxony","Part Time","5.26","5.33","419","3.67","4.67","6","6.67","7","5.16","5.36","2.33","7","5.33333349227905","5.66666650772095"
"2009","Mecklenburg-Western Pomerania","Full Time","5.34","5.33","192","4.33","4.67","6","6.67","7","5.22","5.46","3","7","5","5.66666650772095"
"2009","Mecklenburg-Western Pomerania","Not Working","5.39","5.4","195","4","4.67","6","6.67","7","5.25","5.53","2.33","7","5.33333349227905","5.66666650772095"
"2009","Mecklenburg-Western Pomerania","Part Time","5.17","5.67","89","3.67","4.33","6","6.33","7","4.99","5.35","2","7","5.33333349227905","5.66666650772095"
"2009","North Rhine-Westphalia","Full Time","5.17","5.33","1359","4","4.67","6","6.33","7","5.12","5.22","1.67","7","5.33333349227905","5.33333349227905"
"2009","North Rhine-Westphalia","Not Working","5.47","5.5","1388","4","4.67","6.33","7","7","5.42","5.52","2.33","7","5.33333349227905","5.66666650772095"
