"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","(0) in school","Ostdeutschland, neue Bundeslaender","5.46","5.33","147","4.33333349227905","4.66666650772095","6.33333349227905","7","5.31","5.61","5.33333349227905","5.66666650772095"
"2005","(0) in school","Westdeutschland, alte Bundeslaender","5.4","5.33","507","4","4.66666650772095","6","6.66666650772095","5.32","5.48","5.33333349227905","5.66666650772095"
"2005","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2005","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","5.47","5.67","228","3.66666674613953","4.66666650772095","6.33333349227905","7","5.32","5.62","5.33333349227905","5.66666650772095"
"2005","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","5.61","5.67","211","4","5","6.33333349227905","7","5.46","5.76","5.66666650772095","6"
"2005","(1b) general elementary school","Westdeutschland, alte Bundeslaender","5.56","5.67","1655","4","4.66666650772095","6.33333349227905","7","5.51","5.61","5.66666650772095","5.66666650772095"
"2005","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","5.56","5.67","1087","4.33333349227905","5","6.33333349227905","7","5.5","5.62","5.66666650772095","5.66666650772095"
"2005","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","5.45","5.33","4640","4","4.66666650772095","6.33333349227905","7","5.42","5.48","5.33333349227905","5.66666650772095"
"2005","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","5.41","5.67","1704","4","4.66666650772095","6","6.66666650772095","5.36","5.46","5.33333349227905","5.66666650772095"
"2005","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","5.47","5.67","3102","4.33333349227905","5","6.33333349227905","6.66666650772095","5.44","5.5","5.33333349227905","5.66666650772095"
"2005","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","5.51","5.67","141","4","5","6.33333349227905","6.66666650772095","5.35","5.67","5.33333349227905","5.66666650772095"
"2005","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","5.49","5.67","440","4","5","6","6.66666650772095","5.4","5.58","5.33333349227905","5.66666650772095"
"2005","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","5.25","5.33","186","3.66666674613953","4.66666650772095","6","6.33333349227905","5.11","5.39","5","5.66666650772095"
"2005","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","5.38","5.33","611","4.33333349227905","4.66666650772095","6","6.66666650772095","5.31","5.45","5.33333349227905","5.66666650772095"
"2005","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","5.43","5.67","212","4","4.66666650772095","6","6.66666650772095","5.3","5.56","5.33333349227905","5.66666650772095"
"2005","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","5.47","5.33","1306","4.33333349227905","4.66666650772095","6","6.66666650772095","5.42","5.52","5.33333349227905","5.66666650772095"
"2005","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","5.58","5.67","661","4.33333349227905","5","6.33333349227905","6.66666650772095","5.51","5.65","5.66666650772095","5.66666650772095"
"2005","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","5.47","5.67","992","4","5","6","6.66666650772095","5.41","5.53","5.33333349227905","5.66666650772095"
"2005","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","5.5","5.67","595","4.33333349227905","5","6.33333349227905","6.66666650772095","5.43","5.57","5.33333349227905","5.66666650772095"
"2005","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","5.43","5.33","1928","4.33333349227905","4.66666650772095","6","6.66666650772095","5.39","5.47","5.33333349227905","5.66666650772095"
"2006","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","(1b) general elementary school","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
