"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","5.47","5.67","20747","4","4.66666650772095","6.33333349227905","6.66666650772095","5.46","5.48","5.5","5.66666650772095"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","5.3","5.33","18052","4","4.66666650772095","6","6.66666650772095","5.29","5.31","5.33333349227905","5.33333349227905"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","5.41","5.33","7130","4","4.66666650772095","6","6.66666650772095","5.39","5.43","5.33333349227905","5.33333349227905"
"2013","5.38","5.33","18900","4","4.66666650772095","6","6.66666650772095","5.37","5.39","5.33333349227905","5.33333349227905"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","5.39","5.33","29331","4","4.66666650772095","6","6.66666650772095","5.38","5.4","5.66666650772095","5.66666650772095"
"2018","","","","","","","","","","",""
"2019","5.4","5.33","25826","4","4.66666650772095","6","6.66666650772095","5.39","5.41","5.33333349227905","5.33333349227905"
