"year","e11103","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Full Time","Rural Area","5.32","5.33","2639","4","4.67","6","6.67","7","5.28","5.36","1","7","5.33333349227905","5.33333349227905"
"2005","Full Time","Urban Area","5.35","5.33","5398","4","4.67","6","6.67","7","5.32","5.38","1.33","7","5.33333349227905","5.33333349227905"
"2005","Not Working","Rural Area","5.53","5.67","2660","4","4.67","6.33","7","7","5.49","5.57","1","7","5.66666650772095","5.66666650772095"
"2005","Not Working","Urban Area","5.56","5.67","5227","4.33","5","6.33","7","7","5.53","5.59","1","7","5.66666650772095","5.66666650772095"
"2005","Part Time","Rural Area","5.47","5.67","1558","4","4.67","6","6.67","7","5.42","5.52","2.67","7","5.33333349227905","5.66666650772095"
"2005","Part Time","Urban Area","5.55","5.67","3265","4.33","5","6.33","6.67","7","5.52","5.58","1","7","5.66666650772095","5.66666650772095"
"2006","Full Time","Rural Area","","","","","","","","","","","","","",""
"2006","Full Time","Urban Area","","","","","","","","","","","","","",""
"2006","Not Working","Rural Area","","","","","","","","","","","","","",""
"2006","Not Working","Urban Area","","","","","","","","","","","","","",""
"2006","Part Time","Rural Area","","","","","","","","","","","","","",""
"2006","Part Time","Urban Area","","","","","","","","","","","","","",""
"2007","Full Time","Rural Area","","","","","","","","","","","","","",""
"2007","Full Time","Urban Area","","","","","","","","","","","","","",""
"2007","Not Working","Rural Area","","","","","","","","","","","","","",""
"2007","Not Working","Urban Area","","","","","","","","","","","","","",""
"2007","Part Time","Rural Area","","","","","","","","","","","","","",""
"2007","Part Time","Urban Area","","","","","","","","","","","","","",""
"2008","Full Time","Rural Area","","","","","","","","","","","","","",""
"2008","Full Time","Urban Area","","","","","","","","","","","","","",""
"2008","Not Working","Rural Area","","","","","","","","","","","","","",""
"2008","Not Working","Urban Area","","","","","","","","","","","","","",""
"2008","Part Time","Rural Area","","","","","","","","","","","","","",""
"2008","Part Time","Urban Area","","","","","","","","","","","","","",""
"2009","Full Time","Rural Area","5.23","5.33","2447","4","4.67","6","6.67","7","5.19","5.27","1","7","5.33333349227905","5.33333349227905"
"2009","Full Time","Urban Area","5.15","5","4555","4","4.67","6","6.33","7","5.12","5.18","1","7","5.33333349227905","5.33333349227905"
"2009","Not Working","Rural Area","5.4","5.33","2387","4","4.67","6","6.67","7","5.36","5.44","1.33","7","5.33333349227905","5.33333349227905"
"2009","Not Working","Urban Area","5.43","5.33","4438","4","4.67","6.33","6.67","7","5.4","5.46","2","7","5.33333349227905","5.66666650772095"
"2009","Part Time","Rural Area","5.3","5.33","1404","4","4.67","6","6.67","7","5.25","5.35","1.67","7","5.33333349227905","5.66666650772095"
"2009","Part Time","Urban Area","5.33","5.33","2821","4","4.67","6","6.67","7","5.29","5.37","1.67","7","5.33333349227905","5.66666650772095"
"2010","Full Time","Rural Area","","","","","","","","","","","","","",""
"2010","Full Time","Urban Area","","","","","","","","","","","","","",""
"2010","Not Working","Rural Area","","","","","","","","","","","","","",""
"2010","Not Working","Urban Area","","","","","","","","","","","","","",""
"2010","Part Time","Rural Area","","","","","","","","","","","","","",""
"2010","Part Time","Urban Area","","","","","","","","","","","","","",""
"2011","Full Time","Rural Area","","","","","","","","","","","","","",""
"2011","Full Time","Urban Area","","","","","","","","","","","","","",""
"2011","Not Working","Rural Area","","","","","","","","","","","","","",""
"2011","Not Working","Urban Area","","","","","","","","","","","","","",""
