"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2008","(0) in school","7.62","8","355","5","6","9","10","7.41","7.83","8","8"
"2008","(1a) inadequately completed","6.16","7","190","2","5","8","10","5.81","6.51","6","7"
"2008","(1b) general elementary school","6.41","7","1587","3","5","8","10","6.29","6.53","7","7"
"2008","(1c) basic vocational qualification","6.56","7","5267","3","5","8","9","6.5","6.62","7","7"
"2008","(2a) intermediate vocational","6.68","7","4652","3","5","8","9","6.62","6.74","7","7"
"2008","(2b) intermediate general qualification","6.95","7","484","3","5","9","10","6.75","7.15","7","8"
"2008","(2c_gen) general maturity certificate","7.13","8","737","4","6","9","10","6.98","7.28","7","8"
"2008","(2c_voc) vocational maturity certificate","6.82","7","1449","3","5","8","9","6.71","6.93","7","7"
"2008","(3a) lower tertiary education","6.88","7","1647","4","5","8","10","6.77","6.99","7","7"
"2008","(3b) higher tertiary education","7.01","7","2556","4","6","9","9","6.93","7.09","7","8"
"2009","(0) in school","7.6","8","312","5","6","9","10","7.38","7.82","8","8"
"2009","(1a) inadequately completed","6.12","7","171","3","4","8","9","5.75","6.49","6","8"
"2009","(1b) general elementary school","6.25","7","1406","3","5","8","9","6.13","6.37","6","7"
"2009","(1c) basic vocational qualification","6.55","7","4841","3","5","8","9","6.48","6.62","7","7"
"2009","(2a) intermediate vocational","6.69","7","4391","3","5","8","9","6.62","6.76","7","7"
"2009","(2b) intermediate general qualification","6.7","7","435","3","5","9","10","6.49","6.91","7","8"
"2009","(2c_gen) general maturity certificate","7.29","8","694","4","6","9","10","7.13","7.45","8","8"
"2009","(2c_voc) vocational maturity certificate","6.73","7","1327","4","5","8","9","6.61","6.85","7","7"
"2009","(3a) lower tertiary education","6.84","7","1583","4","5","9","10","6.73","6.95","7","7"
"2009","(3b) higher tertiary education","7.02","7","2461","4","6","9","10","6.93","7.11","7","8"
"2010","(0) in school","7.47","8","417","5","6","9","10","7.27","7.67","8","8"
"2010","(1a) inadequately completed","5.67","6","357","2","3","8","10","5.4","5.94","6","7"
"2010","(1b) general elementary school","6.35","7","1893","3","5","8","9","6.24","6.46","7","7"
"2010","(1c) basic vocational qualification","6.46","7","5636","3","5","8","9","6.4","6.52","7","7"
"2010","(2a) intermediate vocational","6.66","7","6169","3","5","8","9","6.6","6.72","7","7"
"2010","(2b) intermediate general qualification","7","7","629","3","6","9","10","6.81","7.19","7","8"
"2010","(2c_gen) general maturity certificate","7.22","8","923","4","6","9","10","7.08","7.36","7","8"
"2010","(2c_voc) vocational maturity certificate","6.88","7","2155","4","5","9","10","6.79","6.97","7","7"
"2010","(3a) lower tertiary education","6.77","7","1945","4","5","8","10","6.67","6.87","7","7"
"2010","(3b) higher tertiary education","7.04","7","3434","4","6","9","10","6.97","7.11","7","8"
"2011","(0) in school","7.65","8","432","5","6","9","10","7.45","7.85","8","8"
"2011","(1a) inadequately completed","6.08","6","374","3","4","8","10","5.81","6.35","6","7"
