"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2008","6.73","7","19400","3","5","8","10","6.7","6.76","7","7"
"2009","6.71","7","18095","3","5","8","10","6.68","6.74","7","7"
"2010","6.7","7","24028","3","5","8","10","6.67","6.73","7","7"
"2011","6.71","7","25893","3","5","8","10","6.68","6.74","7","7"
"2012","6.72","7","26510","3","5","8","10","6.69","6.75","7","7"
"2013","6.72","7","25764","3","5","8","10","6.69","6.75","7","7"
"2014","6.7","7","27191","3","5","8","10","6.67","6.73","7","7"
"2015","6.72","7","25133","3","5","8","9","6.69","6.75","7","7"
"2016","6.69","7","24263","3","5","8","9","6.66","6.72","7","7"
"2017","6.63","7","26574","3","5","8","9","6.6","6.66","7","7"
"2018","6.54","7","25692","3","5","8","9","6.51","6.57","7","7"
"2019","6.65","7","25860","3","5","8","9","6.62","6.68","7","7"
