"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2013","East Germany","Female","3.77","5","3099","1","2","5","5","5","3.71","3.83","1","5","5","5"
"2013","East Germany","Male","3.73","5","2604","1","2","5","5","5","3.67","3.79","1","5","5","5"
"2013","West Germany","Female","3.58","5","10840","1","2","5","5","5","3.55","3.61","1","5","4","5"
"2013","West Germany","Male","3.46","5","8926","1","1","5","5","5","3.42","3.5","1","5","4","5"
"2014","East Germany","Female","","","","","","","","","","","","","",""
"2014","East Germany","Male","","","","","","","","","","","","","",""
"2014","West Germany","Female","","","","","","","","","","","","","",""
"2014","West Germany","Male","","","","","","","","","","","","","",""
"2015","East Germany","Female","","","","","","","","","","","","","",""
"2015","East Germany","Male","","","","","","","","","","","","","",""
"2015","West Germany","Female","","","","","","","","","","","","","",""
"2015","West Germany","Male","","","","","","","","","","","","","",""
"2016","East Germany","Female","","","","","","","","","","","","","",""
"2016","East Germany","Male","","","","","","","","","","","","","",""
"2016","West Germany","Female","","","","","","","","","","","","","",""
"2016","West Germany","Male","","","","","","","","","","","","","",""
"2017","East Germany","Female","2.2","1","295","1","1","3","5","5","2.01","2.39","1","5","1","2"
"2017","East Germany","Male","2.09","1","443","1","1","3","5","5","1.96","2.22","1","5","1","1"
"2017","West Germany","Female","2.48","2","1902","1","1","5","5","5","2.4","2.56","1","5","1","2"
"2017","West Germany","Male","1.83","1","2899","1","1","2","5","5","1.78","1.88","1","5","1","1"
"2018","East Germany","Female","2.22","1","213","1","1","3","5","5","1.99","2.45","1","5","1","2"
"2018","East Germany","Male","1.83","1","341","1","1","2","5","5","1.69","1.97","1","5","1","1"
"2018","West Germany","Female","2.11","1","1260","1","1","3","5","5","2.03","2.19","1","5","1","1"
"2018","West Germany","Male","1.61","1","2056","1","1","2","4","5","1.56","1.66","1","5","1","1"
"2019","East Germany","Female","2.16","1","198","1","1","4","5","5","1.94","2.38","1","5","1","2"
"2019","East Germany","Male","1.75","1","278","1","1","2","5","5","1.61","1.89","1","5","1","1"
"2019","West Germany","Female","1.91","1","1184","1","1","2","5","5","1.83","1.99","1","5","1","1"
"2019","West Germany","Male","1.52","1","1909","1","1","2","3","5","1.47","1.57","1","5","1","1"
