"plh0164","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","West Germany","152","0.0105854618004734","0.00842841578470211","0.0127425078162448","0"
"0 Completely dissatisfied","1989","East Germany","","","","","0"
"1 on Scale 1 to 10","1989","East Germany","","","","","1"
"1 on Scale 1 to 10","1989","West Germany","110","0.00626565361369421","0.0046024948721141","0.00792881235527433","1"
"10 Completely satisfied","1989","East Germany","","","","","10"
"10 Completely satisfied","1989","West Germany","1150","0.145021252232749","0.137599459071881","0.152443045393616","10"
"2 on Scale 1 to 10","1989","West Germany","220","0.0177773204529557","0.0149921390225352","0.0205625018833761","2"
"2 on Scale 1 to 10","1989","East Germany","","","","","2"
"3 on Scale 1 to 10","1989","East Germany","","","","","3"
"3 on Scale 1 to 10","1989","West Germany","395","0.0379099813550367","0.0338846651518076","0.0419352975582659","3"
"4 on Scale 1 to 10","1989","East Germany","","","","","4"
"4 on Scale 1 to 10","1989","West Germany","419","0.0431744634451356","0.038890505341504","0.0474584215487672","4"
"5 on Scale 1 to 10","1989","West Germany","1342","0.156708490071015","0.14904634291582","0.164370637226209","5"
"5 on Scale 1 to 10","1989","East Germany","","","","","5"
"6 on Scale 1 to 10","1989","East Germany","","","","","6"
"6 on Scale 1 to 10","1989","West Germany","879","0.097851918640523","0.091589545385565","0.104114291895481","6"
"7 on Scale 1 to 10","1989","West Germany","1295","0.152450099881177","0.144873718002231","0.160026481760122","7"
"7 on Scale 1 to 10","1989","East Germany","","","","","7"
"8 on Scale 1 to 10","1989","West Germany","1768","0.218098600853137","0.209394622617187","0.226802579089087","8"
"8 on Scale 1 to 10","1989","East Germany","","","","","8"
"9 on Scale 1 to 10","1989","West Germany","917","0.114156757654104","0.107454137433518","0.120859377874691","9"
"9 on Scale 1 to 10","1989","East Germany","","","","","9"
"0 Completely dissatisfied","1990","West Germany","","","","","0"
"0 Completely dissatisfied","1990","East Germany","","","","","0"
"1 on Scale 1 to 10","1990","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","West Germany","","","","","1"
"10 Completely satisfied","1990","East Germany","","","","","10"
"10 Completely satisfied","1990","West Germany","","","","","10"
"2 on Scale 1 to 10","1990","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","East Germany","","","","","2"
"3 on Scale 1 to 10","1990","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","West Germany","","","","","3"
"4 on Scale 1 to 10","1990","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","East Germany","","","","","4"
"5 on Scale 1 to 10","1990","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","East Germany","","","","","5"
"6 on Scale 1 to 10","1990","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","East Germany","","","","","6"
"7 on Scale 1 to 10","1990","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","East Germany","","","","","7"
"8 on Scale 1 to 10","1990","East Germany","","","","","8"
"8 on Scale 1 to 10","1990","West Germany","","","","","8"
"9 on Scale 1 to 10","1990","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","East Germany","","","","","9"
"0 Completely dissatisfied","1991","West Germany","","","","","0"
"0 Completely dissatisfied","1991","East Germany","","","","","0"
"1 on Scale 1 to 10","1991","East Germany","","","","","1"
"1 on Scale 1 to 10","1991","West Germany","","","","","1"
"10 Completely satisfied","1991","East Germany","","","","","10"
"10 Completely satisfied","1991","West Germany","","","","","10"
"2 on Scale 1 to 10","1991","West Germany","","","","","2"
"2 on Scale 1 to 10","1991","East Germany","","","","","2"
"3 on Scale 1 to 10","1991","West Germany","","","","","3"
"3 on Scale 1 to 10","1991","East Germany","","","","","3"
"4 on Scale 1 to 10","1991","West Germany","","","","","4"
"4 on Scale 1 to 10","1991","East Germany","","","","","4"
"5 on Scale 1 to 10","1991","West Germany","","","","","5"
"5 on Scale 1 to 10","1991","East Germany","","","","","5"
"6 on Scale 1 to 10","1991","West Germany","","","","","6"
"6 on Scale 1 to 10","1991","East Germany","","","","","6"
"7 on Scale 1 to 10","1991","West Germany","","","","","7"
"7 on Scale 1 to 10","1991","East Germany","","","","","7"
"8 on Scale 1 to 10","1991","East Germany","","","","","8"
"8 on Scale 1 to 10","1991","West Germany","","","","","8"
"9 on Scale 1 to 10","1991","West Germany","","","","","9"
"9 on Scale 1 to 10","1991","East Germany","","","","","9"
"0 Completely dissatisfied","1992","West Germany","","","","","0"
"0 Completely dissatisfied","1992","East Germany","","","","","0"
"1 on Scale 1 to 10","1992","East Germany","","","","","1"
"1 on Scale 1 to 10","1992","West Germany","","","","","1"
"10 Completely satisfied","1992","East Germany","","","","","10"
"10 Completely satisfied","1992","West Germany","","","","","10"
"2 on Scale 1 to 10","1992","West Germany","","","","","2"
"2 on Scale 1 to 10","1992","East Germany","","","","","2"
"3 on Scale 1 to 10","1992","West Germany","","","","","3"
"3 on Scale 1 to 10","1992","East Germany","","","","","3"
"4 on Scale 1 to 10","1992","West Germany","","","","","4"
"4 on Scale 1 to 10","1992","East Germany","","","","","4"
"5 on Scale 1 to 10","1992","West Germany","","","","","5"
"5 on Scale 1 to 10","1992","East Germany","","","","","5"
"6 on Scale 1 to 10","1992","West Germany","","","","","6"
"6 on Scale 1 to 10","1992","East Germany","","","","","6"
"7 on Scale 1 to 10","1992","East Germany","","","","","7"
"7 on Scale 1 to 10","1992","West Germany","","","","","7"
"8 on Scale 1 to 10","1992","East Germany","","","","","8"
"8 on Scale 1 to 10","1992","West Germany","","","","","8"
"9 on Scale 1 to 10","1992","East Germany","","","","","9"
"9 on Scale 1 to 10","1992","West Germany","","","","","9"
"0 Completely dissatisfied","1993","West Germany","169","0.0135361078508657","0.011017764048525","0.0160544516532063","0"
"0 Completely dissatisfied","1993","East Germany","33","0.0117681220447368","0.00795092106034474","0.0155853230291289","0"
"1 on Scale 1 to 10","1993","West Germany","78","0.0063945706243371","0.00465740913979991","0.0081317321088743","1"
"1 on Scale 1 to 10","1993","East Germany","24","","","","1"
"10 Completely satisfied","1993","West Germany","976","0.131950076236326","0.124574351606593","0.13932580086606","10"
"10 Completely satisfied","1993","East Germany","292","0.104988715452884","0.0941382696421494","0.115839161263619","10"
"2 on Scale 1 to 10","1993","East Germany","51","0.0159825617178291","0.0115435467616849","0.0204215766739733","2"
"2 on Scale 1 to 10","1993","West Germany","238","0.020398537220232","0.0173178206477087","0.0234792537927552","2"
"3 on Scale 1 to 10","1993","West Germany","364","0.0371242028076483","0.0330037853057539","0.0412446203095427","3"
"3 on Scale 1 to 10","1993","East Germany","109","0.0343237981656987","0.0278795026161048","0.0407680937152927","3"
"4 on Scale 1 to 10","1993","West Germany","409","0.045513895891628","0.040971506816513","0.050056284966743","4"
"4 on Scale 1 to 10","1993","East Germany","130","0.0383024388817049","0.0315089246862688","0.045095953077141","4"
"5 on Scale 1 to 10","1993","West Germany","1139","0.135347581523533","0.127892136879328","0.142803026167738","5"
"5 on Scale 1 to 10","1993","East Germany","548","0.191687054502092","0.177753941002773","0.20562016800141","5"
"6 on Scale 1 to 10","1993","West Germany","857","0.113121438676777","0.106218531109945","0.120024346243609","6"
"6 on Scale 1 to 10","1993","East Germany","366","0.115493448205647","0.104180098367587","0.126806798043707","6"
"7 on Scale 1 to 10","1993","West Germany","1265","0.163987786080741","0.15591841695546","0.172057155206022","7"
"7 on Scale 1 to 10","1993","East Germany","497","0.154350309638326","0.141562062653995","0.167138556622657","7"
"8 on Scale 1 to 10","1993","West Germany","1703","0.216740568995013","0.207761104435325","0.2257200335547","8"
"8 on Scale 1 to 10","1993","East Germany","697","0.221466290129526","0.20676841538318","0.236164164875872","8"
"9 on Scale 1 to 10","1993","West Germany","890","0.115885234092899","0.108909404020052","0.122861064165745","9"
"9 on Scale 1 to 10","1993","East Germany","319","0.105136217346836","0.0942790469137728","0.115993387779899","9"
"0 Completely dissatisfied","1994","West Germany","","","","","0"
"0 Completely dissatisfied","1994","East Germany","","","","","0"
"1 on Scale 1 to 10","1994","West Germany","","","","","1"
"1 on Scale 1 to 10","1994","East Germany","","","","","1"
"10 Completely satisfied","1994","East Germany","","","","","10"
"10 Completely satisfied","1994","West Germany","","","","","10"
"2 on Scale 1 to 10","1994","West Germany","","","","","2"
"2 on Scale 1 to 10","1994","East Germany","","","","","2"
"3 on Scale 1 to 10","1994","West Germany","","","","","3"
"3 on Scale 1 to 10","1994","East Germany","","","","","3"
"4 on Scale 1 to 10","1994","East Germany","","","","","4"
"4 on Scale 1 to 10","1994","West Germany","","","","","4"
"5 on Scale 1 to 10","1994","East Germany","","","","","5"
"5 on Scale 1 to 10","1994","West Germany","","","","","5"
"6 on Scale 1 to 10","1994","East Germany","","","","","6"
"6 on Scale 1 to 10","1994","West Germany","","","","","6"
"7 on Scale 1 to 10","1994","East Germany","","","","","7"
"7 on Scale 1 to 10","1994","West Germany","","","","","7"
"8 on Scale 1 to 10","1994","East Germany","","","","","8"
"8 on Scale 1 to 10","1994","West Germany","","","","","8"
"9 on Scale 1 to 10","1994","West Germany","","","","","9"
"9 on Scale 1 to 10","1994","East Germany","","","","","9"
"0 Completely dissatisfied","1995","West Germany","","","","","0"
"0 Completely dissatisfied","1995","East Germany","","","","","0"
"1 on Scale 1 to 10","1995","East Germany","","","","","1"
"1 on Scale 1 to 10","1995","West Germany","","","","","1"
"10 Completely satisfied","1995","East Germany","","","","","10"
"10 Completely satisfied","1995","West Germany","","","","","10"
"2 on Scale 1 to 10","1995","West Germany","","","","","2"
"2 on Scale 1 to 10","1995","East Germany","","","","","2"
"3 on Scale 1 to 10","1995","East Germany","","","","","3"
"3 on Scale 1 to 10","1995","West Germany","","","","","3"
"4 on Scale 1 to 10","1995","West Germany","","","","","4"
"4 on Scale 1 to 10","1995","East Germany","","","","","4"
"5 on Scale 1 to 10","1995","West Germany","","","","","5"
"5 on Scale 1 to 10","1995","East Germany","","","","","5"
"6 on Scale 1 to 10","1995","West Germany","","","","","6"
"6 on Scale 1 to 10","1995","East Germany","","","","","6"
"7 on Scale 1 to 10","1995","East Germany","","","","","7"
"7 on Scale 1 to 10","1995","West Germany","","","","","7"
"8 on Scale 1 to 10","1995","West Germany","","","","","8"
"8 on Scale 1 to 10","1995","East Germany","","","","","8"
"9 on Scale 1 to 10","1995","West Germany","","","","","9"
"9 on Scale 1 to 10","1995","East Germany","","","","","9"
"0 Completely dissatisfied","1996","West Germany","","","","","0"
"0 Completely dissatisfied","1996","East Germany","","","","","0"
"1 on Scale 1 to 10","1996","East Germany","","","","","1"
"1 on Scale 1 to 10","1996","West Germany","","","","","1"
"10 Completely satisfied","1996","East Germany","","","","","10"
"10 Completely satisfied","1996","West Germany","","","","","10"
"2 on Scale 1 to 10","1996","West Germany","","","","","2"
"2 on Scale 1 to 10","1996","East Germany","","","","","2"
"3 on Scale 1 to 10","1996","East Germany","","","","","3"
"3 on Scale 1 to 10","1996","West Germany","","","","","3"
"4 on Scale 1 to 10","1996","West Germany","","","","","4"
"4 on Scale 1 to 10","1996","East Germany","","","","","4"
"5 on Scale 1 to 10","1996","West Germany","","","","","5"
"5 on Scale 1 to 10","1996","East Germany","","","","","5"
"6 on Scale 1 to 10","1996","East Germany","","","","","6"
"6 on Scale 1 to 10","1996","West Germany","","","","","6"
"7 on Scale 1 to 10","1996","West Germany","","","","","7"
"7 on Scale 1 to 10","1996","East Germany","","","","","7"
"8 on Scale 1 to 10","1996","East Germany","","","","","8"
"8 on Scale 1 to 10","1996","West Germany","","","","","8"
"9 on Scale 1 to 10","1996","West Germany","","","","","9"
"9 on Scale 1 to 10","1996","East Germany","","","","","9"
"0 Completely dissatisfied","1997","West Germany","","","","","0"
"0 Completely dissatisfied","1997","East Germany","","","","","0"
"1 on Scale 1 to 10","1997","East Germany","","","","","1"
"1 on Scale 1 to 10","1997","West Germany","","","","","1"
"10 Completely satisfied","1997","East Germany","","","","","10"
"10 Completely satisfied","1997","West Germany","","","","","10"
"2 on Scale 1 to 10","1997","West Germany","","","","","2"
"2 on Scale 1 to 10","1997","East Germany","","","","","2"
"3 on Scale 1 to 10","1997","West Germany","","","","","3"
"3 on Scale 1 to 10","1997","East Germany","","","","","3"
"4 on Scale 1 to 10","1997","West Germany","","","","","4"
"4 on Scale 1 to 10","1997","East Germany","","","","","4"
"5 on Scale 1 to 10","1997","West Germany","","","","","5"
"5 on Scale 1 to 10","1997","East Germany","","","","","5"
"6 on Scale 1 to 10","1997","West Germany","","","","","6"
"6 on Scale 1 to 10","1997","East Germany","","","","","6"
"7 on Scale 1 to 10","1997","West Germany","","","","","7"
"7 on Scale 1 to 10","1997","East Germany","","","","","7"
"8 on Scale 1 to 10","1997","East Germany","","","","","8"
"8 on Scale 1 to 10","1997","West Germany","","","","","8"
"9 on Scale 1 to 10","1997","West Germany","","","","","9"
"9 on Scale 1 to 10","1997","East Germany","","","","","9"
"0 Completely dissatisfied","1998","West Germany","","","","","0"
"0 Completely dissatisfied","1998","East Germany","","","","","0"
"1 on Scale 1 to 10","1998","East Germany","","","","","1"
"1 on Scale 1 to 10","1998","West Germany","","","","","1"
"10 Completely satisfied","1998","East Germany","","","","","10"
"10 Completely satisfied","1998","West Germany","","","","","10"
"2 on Scale 1 to 10","1998","East Germany","","","","","2"
"2 on Scale 1 to 10","1998","West Germany","","","","","2"
"3 on Scale 1 to 10","1998","East Germany","","","","","3"
"3 on Scale 1 to 10","1998","West Germany","","","","","3"
"4 on Scale 1 to 10","1998","East Germany","","","","","4"
"4 on Scale 1 to 10","1998","West Germany","","","","","4"
"5 on Scale 1 to 10","1998","West Germany","","","","","5"
"5 on Scale 1 to 10","1998","East Germany","","","","","5"
"6 on Scale 1 to 10","1998","East Germany","","","","","6"
"6 on Scale 1 to 10","1998","West Germany","","","","","6"
"7 on Scale 1 to 10","1998","West Germany","","","","","7"
"7 on Scale 1 to 10","1998","East Germany","","","","","7"
"8 on Scale 1 to 10","1998","East Germany","","","","","8"
"8 on Scale 1 to 10","1998","West Germany","","","","","8"
"9 on Scale 1 to 10","1998","West Germany","","","","","9"
"9 on Scale 1 to 10","1998","East Germany","","","","","9"
"0 Completely dissatisfied","1999","West Germany","","","","","0"
"0 Completely dissatisfied","1999","East Germany","","","","","0"
"1 on Scale 1 to 10","1999","West Germany","","","","","1"
"1 on Scale 1 to 10","1999","East Germany","","","","","1"
"10 Completely satisfied","1999","East Germany","","","","","10"
"10 Completely satisfied","1999","West Germany","","","","","10"
"2 on Scale 1 to 10","1999","West Germany","","","","","2"
"2 on Scale 1 to 10","1999","East Germany","","","","","2"
"3 on Scale 1 to 10","1999","East Germany","","","","","3"
"3 on Scale 1 to 10","1999","West Germany","","","","","3"
"4 on Scale 1 to 10","1999","West Germany","","","","","4"
"4 on Scale 1 to 10","1999","East Germany","","","","","4"
"5 on Scale 1 to 10","1999","West Germany","","","","","5"
"5 on Scale 1 to 10","1999","East Germany","","","","","5"
"6 on Scale 1 to 10","1999","East Germany","","","","","6"
"6 on Scale 1 to 10","1999","West Germany","","","","","6"
"7 on Scale 1 to 10","1999","West Germany","","","","","7"
"7 on Scale 1 to 10","1999","East Germany","","","","","7"
"8 on Scale 1 to 10","1999","East Germany","","","","","8"
"8 on Scale 1 to 10","1999","West Germany","","","","","8"
"9 on Scale 1 to 10","1999","West Germany","","","","","9"
"9 on Scale 1 to 10","1999","East Germany","","","","","9"
"0 Completely dissatisfied","2000","East Germany","37","0.00612931755441666","0.00397303521010017","0.00828559989873314","0"
"0 Completely dissatisfied","2000","West Germany","240","0.0146907250529163","0.0128988007345575","0.016482649371275","0"
"1 on Scale 1 to 10","2000","East Germany","22","","","","1"
"1 on Scale 1 to 10","2000","West Germany","110","0.00611716939281122","0.00495584216043781","0.00727849662518462","1"
"10 Completely satisfied","2000","East Germany","579","0.119865770135756","0.11089237748418","0.128839162787332","10"
"10 Completely satisfied","2000","West Germany","2168","0.131690067542511","0.12665360443346","0.136726530651562","10"
"2 on Scale 1 to 10","2000","East Germany","47","0.00770890732905421","0.0052926088265521","0.0101252058315563","2"
"2 on Scale 1 to 10","2000","West Germany","314","0.0173580930004279","0.0154129102537481","0.0193032757471077","2"
"3 on Scale 1 to 10","2000","East Germany","117","0.0213163501313345","0.0173259888773917","0.0253067113852772","3"
"3 on Scale 1 to 10","2000","West Germany","545","0.0307862104265432","0.028213448077069","0.0333589727760174","3"
"4 on Scale 1 to 10","2000","East Germany","170","0.035564584240535","0.0304480007065076","0.0406811677745625","4"
"4 on Scale 1 to 10","2000","West Germany","783","0.0424528534214556","0.0394499228669501","0.045455783975961","4"
"5 on Scale 1 to 10","2000","West Germany","2362","0.133658648792767","0.128590436268227","0.138726861317306","5"
"5 on Scale 1 to 10","2000","East Germany","670","0.139484715190739","0.129913276314877","0.149056154066602","5"
"6 on Scale 1 to 10","2000","East Germany","524","0.101009823727941","0.0926846384907586","0.109335008965123","6"
"6 on Scale 1 to 10","2000","West Germany","1838","0.107218503435014","0.102610431783307","0.11182657508672","6"
"7 on Scale 1 to 10","2000","East Germany","935","0.181363565885459","0.170718332592201","0.192008799178718","7"
"7 on Scale 1 to 10","2000","West Germany","2790","0.157655075698573","0.152227439591922","0.163082711805224","7"
"8 on Scale 1 to 10","2000","East Germany","1317","0.262912669756436","0.25075081376718","0.275074525745692","8"
"8 on Scale 1 to 10","2000","West Germany","4128","0.238710168477165","0.232360921268695","0.245059415685635","8"
"9 on Scale 1 to 10","2000","East Germany","615","0.119833214716105","0.110860874794356","0.128805554637854","9"
"9 on Scale 1 to 10","2000","West Germany","2039","0.119662484759817","0.114828387592875","0.124496581926758","9"
"0 Completely dissatisfied","2001","East Germany","","","","","0"
"0 Completely dissatisfied","2001","West Germany","","","","","0"
"1 on Scale 1 to 10","2001","East Germany","","","","","1"
"1 on Scale 1 to 10","2001","West Germany","","","","","1"
"10 Completely satisfied","2001","East Germany","","","","","10"
"10 Completely satisfied","2001","West Germany","","","","","10"
"2 on Scale 1 to 10","2001","East Germany","","","","","2"
"2 on Scale 1 to 10","2001","West Germany","","","","","2"
"3 on Scale 1 to 10","2001","East Germany","","","","","3"
"3 on Scale 1 to 10","2001","West Germany","","","","","3"
"4 on Scale 1 to 10","2001","East Germany","","","","","4"
"4 on Scale 1 to 10","2001","West Germany","","","","","4"
"5 on Scale 1 to 10","2001","West Germany","","","","","5"
"5 on Scale 1 to 10","2001","East Germany","","","","","5"
"6 on Scale 1 to 10","2001","East Germany","","","","","6"
"6 on Scale 1 to 10","2001","West Germany","","","","","6"
"7 on Scale 1 to 10","2001","East Germany","","","","","7"
"7 on Scale 1 to 10","2001","West Germany","","","","","7"
"8 on Scale 1 to 10","2001","East Germany","","","","","8"
"8 on Scale 1 to 10","2001","West Germany","","","","","8"
"9 on Scale 1 to 10","2001","East Germany","","","","","9"
"9 on Scale 1 to 10","2001","West Germany","","","","","9"
"0 Completely dissatisfied","2002","East Germany","","","","","0"
"0 Completely dissatisfied","2002","West Germany","","","","","0"
"1 on Scale 1 to 10","2002","East Germany","","","","","1"
"1 on Scale 1 to 10","2002","West Germany","","","","","1"
"10 Completely satisfied","2002","East Germany","","","","","10"
"10 Completely satisfied","2002","West Germany","","","","","10"
"2 on Scale 1 to 10","2002","East Germany","","","","","2"
"2 on Scale 1 to 10","2002","West Germany","","","","","2"
"3 on Scale 1 to 10","2002","East Germany","","","","","3"
"3 on Scale 1 to 10","2002","West Germany","","","","","3"
"4 on Scale 1 to 10","2002","East Germany","","","","","4"
"4 on Scale 1 to 10","2002","West Germany","","","","","4"
"5 on Scale 1 to 10","2002","West Germany","","","","","5"
"5 on Scale 1 to 10","2002","East Germany","","","","","5"
"6 on Scale 1 to 10","2002","East Germany","","","","","6"
"6 on Scale 1 to 10","2002","West Germany","","","","","6"
"7 on Scale 1 to 10","2002","East Germany","","","","","7"
"7 on Scale 1 to 10","2002","West Germany","","","","","7"
"8 on Scale 1 to 10","2002","East Germany","","","","","8"
"8 on Scale 1 to 10","2002","West Germany","","","","","8"
"9 on Scale 1 to 10","2002","East Germany","","","","","9"
"9 on Scale 1 to 10","2002","West Germany","","","","","9"
"0 Completely dissatisfied","2003","East Germany","","","","","0"
"0 Completely dissatisfied","2003","West Germany","","","","","0"
"1 on Scale 1 to 10","2003","East Germany","","","","","1"
"1 on Scale 1 to 10","2003","West Germany","","","","","1"
"10 Completely satisfied","2003","East Germany","","","","","10"
"10 Completely satisfied","2003","West Germany","","","","","10"
"2 on Scale 1 to 10","2003","East Germany","","","","","2"
"2 on Scale 1 to 10","2003","West Germany","","","","","2"
"3 on Scale 1 to 10","2003","East Germany","","","","","3"
"3 on Scale 1 to 10","2003","West Germany","","","","","3"
"4 on Scale 1 to 10","2003","East Germany","","","","","4"
"4 on Scale 1 to 10","2003","West Germany","","","","","4"
"5 on Scale 1 to 10","2003","West Germany","","","","","5"
"5 on Scale 1 to 10","2003","East Germany","","","","","5"
"6 on Scale 1 to 10","2003","East Germany","","","","","6"
"6 on Scale 1 to 10","2003","West Germany","","","","","6"
"7 on Scale 1 to 10","2003","East Germany","","","","","7"
"7 on Scale 1 to 10","2003","West Germany","","","","","7"
"8 on Scale 1 to 10","2003","East Germany","","","","","8"
"8 on Scale 1 to 10","2003","West Germany","","","","","8"
"9 on Scale 1 to 10","2003","East Germany","","","","","9"
"9 on Scale 1 to 10","2003","West Germany","","","","","9"
"0 Completely dissatisfied","2004","East Germany","28","","","","0"
"0 Completely dissatisfied","2004","West Germany","172","0.0134628977270282","0.011652509931705","0.0152732855223513","0"
"1 on Scale 1 to 10","2004","East Germany","16","","","","1"
"1 on Scale 1 to 10","2004","West Germany","105","0.00873001664797271","0.00726868381513393","0.0101913494808115","1"
"10 Completely satisfied","2004","East Germany","462","0.102611466650235","0.093848032458286","0.111374900842184","10"
"10 Completely satisfied","2004","West Germany","1756","0.100819138040241","0.0960893612501409","0.105548914830341","10"
"2 on Scale 1 to 10","2004","East Germany","48","0.0105641818854217","0.00761162772297435","0.013516736047869","2"
"2 on Scale 1 to 10","2004","West Germany","274","0.0185607095595858","0.0164405202717799","0.0206808988473917","2"
"3 on Scale 1 to 10","2004","East Germany","118","0.0255450069345812","0.0209886259650384","0.0301013879041241","3"
"3 on Scale 1 to 10","2004","West Germany","482","0.0341259422447357","0.0312739508892093","0.036977933600262","3"
"4 on Scale 1 to 10","2004","East Germany","159","0.0386811674872295","0.0331122647072244","0.0442500702672345","4"
"4 on Scale 1 to 10","2004","West Germany","721","0.0532245778648383","0.0496982293770577","0.0567509263526189","4"
"5 on Scale 1 to 10","2004","West Germany","2152","0.151097299883625","0.145471258303514","0.156723341463737","5"
"5 on Scale 1 to 10","2004","East Germany","597","0.141172348933823","0.131116610827176","0.15122808704047","5"
"6 on Scale 1 to 10","2004","East Germany","458","0.101203133961274","0.0924932197046363","0.109913048217913","6"
"6 on Scale 1 to 10","2004","West Germany","1661","0.108803151379917","0.103911526034209","0.113694776725626","6"
