"plh0164","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","Not Employed","67","0.0132092488997951","0.00910943223539877","0.0173090655641914","0"
"0 Completely dissatisfied","1989","Employed","85","0.00887809001802043","0.00643602917092636","0.0113201508651145","0"
"1 on Scale 1 to 10","1989","Employed","63","0.0061151989215453","0.00408561745107765","0.00814478039201295","1"
"1 on Scale 1 to 10","1989","Not Employed","47","0.0064968634089771","0.00361184008349305","0.00938188673446116","1"
"10 Completely satisfied","1989","Employed","733","0.13664748709418","0.127705622816659","0.145589351371702","10"
"10 Completely satisfied","1989","Not Employed","417","0.157889554947555","0.144795502782639","0.170983607112472","10"
"2 on Scale 1 to 10","1989","Not Employed","81","0.0166875440765191","0.0120875759484353","0.0212875122046029","2"
"2 on Scale 1 to 10","1989","Employed","139","0.0184864684759766","0.0149796903156891","0.021993246636264","2"
"3 on Scale 1 to 10","1989","Employed","227","0.0321269213095057","0.0275362422672975","0.0367176003517139","3"
"3 on Scale 1 to 10","1989","Not Employed","168","0.0467970430354556","0.039212756436944","0.0543813296339672","3"
"4 on Scale 1 to 10","1989","Employed","267","0.0408494794988501","0.0356963647044865","0.0460025942932138","4"
"4 on Scale 1 to 10","1989","Not Employed","152","0.0467473600732087","0.0391669029971626","0.0543278171492549","4"
"5 on Scale 1 to 10","1989","Not Employed","505","0.171802892135345","0.158257395602805","0.185348388667885","5"
"5 on Scale 1 to 10","1989","Employed","837","0.146886139711757","0.137670466253831","0.156101813169682","5"
"6 on Scale 1 to 10","1989","Employed","573","0.0943309931787655","0.0867216858202756","0.101940300537255","6"
"6 on Scale 1 to 10","1989","Not Employed","306","0.103262666843799","0.0923352594862053","0.114190074201393","6"
"7 on Scale 1 to 10","1989","Not Employed","408","0.141527182066647","0.129010303369086","0.154044060764208","7"
"7 on Scale 1 to 10","1989","Employed","887","0.159557948556629","0.150024582277169","0.169091314836088","7"
"8 on Scale 1 to 10","1989","Not Employed","562","0.202613451115013","0.18817962632946","0.217047275900567","8"
"8 on Scale 1 to 10","1989","Employed","1206","0.228175221672246","0.217250087752817","0.239100355591675","8"
