"plh0164","year","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","152","0.0105854618004734","0.00842841578470211","0.0127425078162448","0"
"1 on Scale 1 to 10","1989","110","0.00626565361369421","0.0046024948721141","0.00792881235527433","1"
"10 Completely satisfied","1989","1150","0.145021252232749","0.137599459071881","0.152443045393616","10"
"2 on Scale 1 to 10","1989","220","0.0177773204529557","0.0149921390225352","0.0205625018833761","2"
"3 on Scale 1 to 10","1989","395","0.0379099813550367","0.0338846651518076","0.0419352975582659","3"
"4 on Scale 1 to 10","1989","419","0.0431744634451356","0.038890505341504","0.0474584215487672","4"
"5 on Scale 1 to 10","1989","1342","0.156708490071015","0.14904634291582","0.164370637226209","5"
"6 on Scale 1 to 10","1989","879","0.097851918640523","0.091589545385565","0.104114291895481","6"
"7 on Scale 1 to 10","1989","1295","0.152450099881177","0.144873718002231","0.160026481760122","7"
"8 on Scale 1 to 10","1989","1768","0.218098600853137","0.209394622617187","0.226802579089087","8"
"9 on Scale 1 to 10","1989","917","0.114156757654104","0.107454137433518","0.120859377874691","9"
"0 Completely dissatisfied","1990","","","","","0"
"1 on Scale 1 to 10","1990","","","","","1"
"10 Completely satisfied","1990","","","","","10"
"2 on Scale 1 to 10","1990","","","","","2"
"3 on Scale 1 to 10","1990","","","","","3"
"4 on Scale 1 to 10","1990","","","","","4"
"5 on Scale 1 to 10","1990","","","","","5"
"6 on Scale 1 to 10","1990","","","","","6"
"7 on Scale 1 to 10","1990","","","","","7"
"8 on Scale 1 to 10","1990","","","","","8"
"9 on Scale 1 to 10","1990","","","","","9"
"0 Completely dissatisfied","1991","","","","","0"
"1 on Scale 1 to 10","1991","","","","","1"
"10 Completely satisfied","1991","","","","","10"
"2 on Scale 1 to 10","1991","","","","","2"
"3 on Scale 1 to 10","1991","","","","","3"
"4 on Scale 1 to 10","1991","","","","","4"
"5 on Scale 1 to 10","1991","","","","","5"
"6 on Scale 1 to 10","1991","","","","","6"
"7 on Scale 1 to 10","1991","","","","","7"
"8 on Scale 1 to 10","1991","","","","","8"
"9 on Scale 1 to 10","1991","","","","","9"
"0 Completely dissatisfied","1992","","","","","0"
