"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","6.34","6","4434","4","5","8","9","10","6.28","6.4","0","10","6","7"
"1991","6.98","7","13623","5","6","8","9","10","6.95","7.01","0","10","7","7"
"1992","6.82","7","13303","4","5","8","9","10","6.79","6.85","0","10","7","7"
"1993","7.04","7","13117","5","6","8","9","10","7.01","7.07","0","10","7","7"
"1994","","","","","","","","","","","","","",""
"1995","7.02","7","13299","5","6","8","9","10","6.99","7.05","0","10","7","7"
"1996","7.13","8","13091","5","6","8","9","10","7.1","7.16","0","10","7","7"
"1997","6.73","7","12860","4","5","8","9","10","6.7","6.76","0","10","7","7"
"1998","6.99","7","14264","5","6","8","9","10","6.96","7.02","0","10","7","7"
"1999","7.1","7","13712","5","6","8","9","10","7.07","7.13","0","10","7","7"
"2000","7.23","8","24194","5","6","8","10","10","7.21","7.25","0","10","7","8"
"2001","7.23","8","21965","5","6","8","9","10","7.21","7.25","0","10","8","8"
"2002","6.96","7","23084","5","6","8","9","10","6.94","6.98","0","10","7","7"
"2003","6.96","7","22248","5","6","8","9","10","6.94","6.98","0","10","7","7"
"2004","6.9","7","21611","4","6","8","9","10","6.88","6.92","0","10","7","7"
"2005","6.92","7","20731","4","6","8","9","10","6.89","6.95","0","10","7","7"
"2006","7","7","22006","4","6","8","9","10","6.98","7.02","0","10","8","8"
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","7.47","8","23854","5","7","9","10","10","7.45","7.49","0","10","8","8"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","7.61","8","25624","5","7","9","10","10","7.59","7.63","0","10","8","8"
