"ple0162","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Brandenburg","Rural Area","24","","","","2"
"No","2012","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"No","2012","Mecklenburg-Western Pomerania","Rural Area","15","","","","2"
"No","2012","Saxony","Urban Area","18","","","","2"
"No","2012","Hamburg","Urban Area","9","","","","2"
"No","2012","Hamburg","Rural Area","","","","","2"
"No","2012","Lower Saxony","Urban Area","38","0.0894582395499284","0.0622601740440024","0.116656305055854","2"
"No","2012","Lower Saxony","Rural Area","36","0.0554709824659053","0.0354076222661921","0.0755343426656185","2"
"No","2012","Brandenburg","Urban Area","2","","","","2"
"No","2012","Bremen","Rural Area","","","","","2"
"No","2012","Saxony","Rural Area","16","","","","2"
"No","2012","Saxony-Anhalt","Urban Area","9","","","","2"
"No","2012","Schleswig-Holstein","Urban Area","8","","","","2"
"No","2012","Schleswig-Holstein","Rural Area","23","","","","2"
"No","2012","Bremen","Urban Area","3","","","","2"
"No","2012","North Rhine-Westphalia","Urban Area","105","0.0527654225617392","0.0419782009577008","0.0635526441657777","2"
"No","2012","North Rhine-Westphalia","Rural Area","5","","","","2"
"No","2012","Saxony-Anhalt","Rural Area","15","","","","2"
"No","2012","Hesse","Urban Area","27","","","","2"
"No","2012","Hesse","Rural Area","7","","","","2"
"No","2012","Rhineland-Palatinate,Saarland","Urban Area","35","0.104560250394136","0.073995615086947","0.135124885701325","2"
"No","2012","Rhineland-Palatinate,Saarland","Rural Area","14","","","","2"
"No","2012","Baden-Württemberg","Urban Area","60","0.0639320505598674","0.0478148555564339","0.0800492455633008","2"
"No","2012","Baden-Württemberg","Rural Area","10","","","","2"
"No","2012","Bavaria","Urban Area","30","0.0392836242114411","0.0235946765452736","0.0549725718776087","2"
"No","2012","Bavaria","Rural Area","40","0.0472717182669691","0.0319606626820033","0.0625827738519348","2"
"No","2012","Berlin","Urban Area","21","","","","2"
"No","2012","Berlin","Rural Area","","","","","2"
"No","2012","Thuringia","Urban Area","8","","","","2"
"No","2012","Thuringia","Rural Area","16","","","","2"
"Yes","2012","Schleswig-Holstein","Urban Area","92","0.909870965466462","0.853744156208366","0.965997774724558","1"
