"ple0162","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Full Time","Male","122","0.0848430617223691","0.0701574190944518","0.0995287043502864","2"
"No","2012","Part Time","Male","32","0.0574966762500727","0.0370306884081094","0.077962664092036","2"
"No","2012","Full Time","Female","71","0.0840052740752531","0.0649256488610438","0.103084899289462","2"
"No","2012","Part Time","Female","125","0.0788334166431004","0.0652861849274531","0.0923806483587477","2"
"No","2012","Not Working","Male","97","0.0386470726219757","0.0302580021272854","0.047036143116666","2"
"No","2012","Not Working","Female","147","0.0465449417839668","0.0388525247455014","0.0542373588224321","2"
"Yes","2012","Full Time","Male","1261","0.915156938277631","0.900471295649714","0.929842580905548","1"
"Yes","2012","Full Time","Female","741","0.915994725924747","0.896915100710538","0.935074351138956","1"
"Yes","2012","Part Time","Male","465","0.942503323749927","0.922037335907964","0.962969311591891","1"
"Yes","2012","Part Time","Female","1395","0.9211665833569","0.907619351641252","0.934713815072547","1"
"Yes","2012","Not Working","Male","1931","0.961352927378024","0.952963856883334","0.969741997872715","1"
"Yes","2012","Not Working","Female","2734","0.953455058216033","0.945762641177568","0.961147475254499","1"
"No","2013","Full Time","Male","106","0.0859493394296908","0.0701629640888379","0.101735714770544","2"
"No","2013","Part Time","Male","35","0.0804346275371279","0.0563542726543386","0.104514982419917","2"
"No","2013","Full Time","Female","76","0.0773655113800933","0.0582574483507641","0.0964735744094225","2"
"No","2013","Part Time","Female","114","0.0799146005835358","0.0658059970533131","0.0940232041137585","2"
"No","2013","Not Working","Male","95","0.0345188247424118","0.0269939770230142","0.0420436724618093","2"
"No","2013","Not Working","Female","162","0.0410457127926673","0.0340730164866852","0.0480184090986495","2"
"Yes","2013","Full Time","Male","1105","0.914050660570309","0.898264285229456","0.929837035911162","1"
"Yes","2013","Full Time","Female","675","0.922634488619907","0.903526425590577","0.941742551649236","1"
"Yes","2013","Part Time","Male","455","0.919565372462872","0.895485017580083","0.943645727345661","1"
"Yes","2013","Part Time","Female","1305","0.920085399416464","0.905976795886242","0.934194002946687","1"
"Yes","2013","Not Working","Male","2166","0.965481175257588","0.957956327538191","0.973006022976986","1"
"Yes","2013","Not Working","Female","2948","0.958954287207333","0.95198159090135","0.965926983513315","1"
"No","2014","Full Time","Male","","","","","2"
"No","2014","Full Time","Female","","","","","2"
"No","2014","Part Time","Male","","","","","2"
"No","2014","Part Time","Female","","","","","2"
"No","2014","Not Working","Male","","","","","2"
"No","2014","Not Working","Female","","","","","2"
"Yes","2014","Full Time","Male","","","","","1"
"Yes","2014","Part Time","Male","","","","","1"
"Yes","2014","Part Time","Female","","","","","1"
"Yes","2014","Full Time","Female","","","","","1"
"Yes","2014","Not Working","Male","","","","","1"
"Yes","2014","Not Working","Female","","","","","1"
"No","2015","Full Time","Male","199","0.212254089076045","0.189905571625998","0.234602606526093","2"
"No","2015","Full Time","Female","112","0.160169497524439","0.13467477701497","0.185664218033908","2"
"No","2015","Part Time","Male","51","0.0867556742104428","0.0632103673619847","0.110300981058901","2"
"No","2015","Part Time","Female","164","0.103853947027","0.0884206524232764","0.119287241630723","2"
"No","2015","Not Working","Male","120","0.0650485966513169","0.0539098477018018","0.076187345600832","2"
"No","2015","Not Working","Female","171","0.0531601551863333","0.0447504606996203","0.0615698496730463","2"
"Yes","2015","Full Time","Male","1087","0.787745910923955","0.765397393473907","0.810094428374002","1"
"Yes","2015","Full Time","Female","683","0.839830502475561","0.814335781966092","0.86532522298503","1"
"Yes","2015","Part Time","Male","498","0.913244325789557","0.889699018941099","0.936789632638015","1"
"Yes","2015","Part Time","Female","1337","0.896146052973","0.880712758369277","0.911579347576724","1"
"Yes","2015","Not Working","Male","1763","0.934951403348683","0.923812654399168","0.946090152298198","1"
"Yes","2015","Not Working","Female","2563","0.946839844813667","0.938430150326954","0.95524953930038","1"
"No","2016","Full Time","Male","","","","","2"
"No","2016","Full Time","Female","","","","","2"
"No","2016","Part Time","Male","","","","","2"
"No","2016","Part Time","Female","","","","","2"
"No","2016","Not Working","Male","90","0.20415405881528","0.16786694454443","0.24044117308613","2"
"No","2016","Not Working","Female","105","0.260861418376543","0.21973897630053","0.301983860452557","2"
"Yes","2016","Full Time","Male","","","","","1"
"Yes","2016","Full Time","Female","","","","","1"
"Yes","2016","Part Time","Male","","","","","1"
"Yes","2016","Part Time","Female","","","","","1"
"Yes","2016","Not Working","Male","384","0.79584594118472","0.75955882691387","0.83213305545557","1"
"Yes","2016","Not Working","Female","333","0.739138581623457","0.698016139547443","0.78026102369947","1"
"No","2017","Full Time","Male","100","0.0713193752941034","0.0572971186852348","0.0853416319029719","2"
"No","2017","Full Time","Female","82","0.0891527218005962","0.0706176081847635","0.107687835416429","2"
"No","2017","Not Working","Male","110","0.0356553084748255","0.0275988507900283","0.0437117661596227","2"
"No","2017","Part Time","Male","31","0.0472179498306882","0.0299413149255032","0.0644945847358732","2"
"No","2017","Part Time","Female","104","0.0693193074658715","0.0565587918129983","0.0820798231187447","2"
"No","2017","Not Working","Female","135","0.0343466790160335","0.0275621759501123","0.0411311820819547","2"
"Yes","2017","Full Time","Male","1194","0.928680624705897","0.914658368097028","0.942702881314765","1"
"Yes","2017","Full Time","Female","826","0.910847278199404","0.892312164583571","0.929382391815237","1"
"Yes","2017","Part Time","Male","548","0.952782050169312","0.935505415264127","0.970058685074497","1"
"Yes","2017","Part Time","Female","1418","0.930680692534129","0.917920176881255","0.943441208187002","1"
"Yes","2017","Not Working","Male","1925","0.964344691525174","0.956288233840377","0.972401149209972","1"
"Yes","2017","Not Working","Female","2633","0.965653320983967","0.958868817918045","0.972437824049888","1"
"No","2018","Full Time","Male","","","","","2"
"No","2018","Full Time","Female","","","","","2"
"No","2018","Part Time","Male","","","","","2"
"No","2018","Part Time","Female","","","","","2"
"No","2018","Not Working","Male","4","","","","2"
"No","2018","Not Working","Female","17","","","","2"
"Yes","2018","Full Time","Male","","","","","1"
"Yes","2018","Full Time","Female","","","","","1"
"Yes","2018","Part Time","Male","","","","","1"
"Yes","2018","Not Working","Male","34","0.916580172800718","0.828662503807326","1.00449784179411","1"
"Yes","2018","Part Time","Female","","","","","1"
"Yes","2018","Not Working","Female","32","0.444787452437961","0.305646186349989","0.583928718525933","1"
"No","2019","Full Time","Male","118","0.0817012310198918","0.0673069218264341","0.0960955402133494","2"
"No","2019","Full Time","Female","99","0.114156536209605","0.0941134895321432","0.134199582887066","2"
"No","2019","Part Time","Male","52","0.0637133825466598","0.0447464057004195","0.0826803593929","2"
"No","2019","Part Time","Female","143","0.0730655121998793","0.0602938187962212","0.0858372056035373","2"
"No","2019","Not Working","Male","139","0.0349506732295213","0.0272518288503452","0.0426495176086974","2"
"No","2019","Not Working","Female","177","0.0428813305357349","0.0352929624460341","0.0504696986254358","2"
"Yes","2019","Full Time","Male","1273","0.918298768980108","0.903904459786651","0.932693078173566","1"
"Yes","2019","Full Time","Female","868","0.885843463790395","0.865800417112934","0.905886510467857","1"
"Yes","2019","Part Time","Male","585","0.93628661745334","0.9173196406071","0.95525359429958","1"
"Yes","2019","Not Working","Male","2047","0.965049326770479","0.957350482391302","0.972748171149655","1"
"Yes","2019","Part Time","Female","1452","0.926934487800121","0.914162794396463","0.939706181203779","1"
"Yes","2019","Not Working","Female","2561","0.957118669464265","0.949530301374564","0.964707037553966","1"
