"ple0162","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2012","lower secondary degree","Male","1580","0.945896103505631","0.935068868837386","0.956723338173876"
"Yes","2012","lower secondary degree","Female","1849","0.950766037190852","0.941163190137766","0.960368884243938"
"Yes","2012","secondary school degree","Male","941","0.940496975737678","0.925929255594117","0.955064695881238"
"Yes","2012","secondary school degree","Female","1531","0.942714033903917","0.931473792938865","0.95395427486897"
"Yes","2012","college entrance qualification","Male","774","0.927732544856746","0.910211908037328","0.945253181676165"
"Yes","2012","college entrance qualification","Female","949","0.924018080496977","0.907852042047652","0.940184118946302"
"Yes","2012","Other degree","Male","227","0.977179351386269","0.958127235162837","0.996231467609701"
"Yes","2012","Other degree","Female","317","0.920045711875946","0.891384506381631","0.948706917370262"
"Yes","2012","no degree/no degree yet","Male","91","0.955982210192867","0.914947488155957","0.997016932229776"
"Yes","2012","no degree/no degree yet","Female","139","0.899637686677266","0.852485162819663","0.946790210534869"
"No","2012","lower secondary degree","Male","97","0.0541038964943687","0.0432766618261239","0.0649311311626135"
"No","2012","lower secondary degree","Female","101","0.0492339628091484","0.0396311157560622","0.0588368098622345"
"No","2012","secondary school degree","Male","72","0.0595030242623222","0.0449353041187616","0.0740707444058827"
"No","2012","secondary school degree","Female","111","0.0572859660960826","0.0460457251310304","0.0685262070611347"
"No","2012","college entrance qualification","Male","65","0.0722674551432535","0.0547468183238354","0.0897880919626716"
"No","2012","college entrance qualification","Female","83","0.0759819195030231","0.059815881053698","0.0921479579523482"
"No","2012","Other degree","Male","9","","",""
"No","2012","Other degree","Female","27","","",""
"No","2012","no degree/no degree yet","Male","5","","",""
"No","2012","no degree/no degree yet","Female","17","","",""
"Yes","2013","lower secondary degree","Male","1469","0.949867304778898","0.938961394520037","0.960773215037758"
"Yes","2013","lower secondary degree","Female","1707","0.959856516745006","0.950770602533604","0.968942430956407"
"Yes","2013","secondary school degree","Male","888","0.949919358755933","0.935961301304286","0.96387741620758"
