"ple0162","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"No","2012","16-34 y.","103","0.104814125849823","0.0848352644316848","0.124792987267961","2"
"No","2012","35-65 y.","339","0.0615449749102606","0.0549368761486621","0.0681530736718591","2"
"No","2012","66 and older","152","0.0443386165987832","0.0371352765069756","0.0515419566905907","2"
"Yes","2012","16-34 y.","800","0.895185874150177","0.875207012732039","0.915164735568315","1"
"Yes","2012","35-65 y.","4742","0.938455025089739","0.931846926328141","0.945063123851338","1"
"Yes","2012","66 and older","2985","0.955661383401217","0.948458043309409","0.962864723493024","1"
"No","2013","16-34 y.","108","0.11593193496667","0.0964091251311189","0.13545474480222","2"
"No","2013","35-65 y.","361","0.0583424373794249","0.052044025485334","0.0646408492735158","2"
"No","2013","66 and older","119","0.0391821295488434","0.0321069270513252","0.0462573320463616","2"
"Yes","2013","16-34 y.","925","0.88406806503333","0.86454525519778","0.903590874868881","1"
"Yes","2013","35-65 y.","4959","0.941657562620575","0.935359150726484","0.947955974514666","1"
"Yes","2013","66 and older","2770","0.960817870451157","0.953742667953638","0.967893072948675","1"
"No","2014","16-34 y.","","","","","2"
"No","2014","35-65 y.","","","","","2"
"No","2014","66 and older","","","","","2"
"Yes","2014","35-65 y.","","","","","1"
"Yes","2014","16-34 y.","","","","","1"
"Yes","2014","66 and older","","","","","1"
"No","2015","16-34 y.","144","0.1889036997203","0.164181256419085","0.213626143021514","2"
"No","2015","35-65 y.","486","0.107522835129777","0.0988136230459285","0.116232047213626","2"
"No","2015","66 and older","187","0.0646660646467031","0.055753417406833","0.0735787118865732","2"
"Yes","2015","16-34 y.","819","0.8110963002797","0.786373856978486","0.835818743580915","1"
"Yes","2015","35-65 y.","4374","0.892477164870223","0.883767952786374","0.901186376954072","1"
"Yes","2015","66 and older","2738","0.935333935353297","0.926421288113427","0.944246582593167","1"
"No","2016","16-34 y.","114","0.292444853762913","0.247182788454734","0.337706919071091","2"
"No","2016","35-65 y.","82","0.153726663860236","0.122423161349996","0.185030166370476","2"
"No","2016","66 and older","","","","","2"
"Yes","2016","16-34 y.","274","0.707555146237087","0.662293080928908","0.752817211545266","1"
"Yes","2016","35-65 y.","428","0.846273336139764","0.814969833629524","0.877576838650004","1"
"Yes","2016","66 and older","19","","","","1"
"No","2017","16-34 y.","139","0.108053254528394","0.0899604797416342","0.126146029315154","2"
"No","2017","66 and older","114","0.0409064026590905","0.0335802547974365","0.0482325505207445","2"
"No","2017","35-65 y.","309","0.0476100017187226","0.0418038902179065","0.0534161132195387","2"
"Yes","2017","16-34 y.","992","0.891946745471606","0.873853970684846","0.910039520258366","1"
"Yes","2017","35-65 y.","4858","0.952389998281277","0.946583886780461","0.958196109782093","1"
"Yes","2017","66 and older","2694","0.959093597340909","0.951767449479256","0.966419745202563","1"
"No","2018","16-34 y.","17","","","","2"
"No","2018","35-65 y.","4","","","","2"
"No","2018","66 and older","","","","","2"
"Yes","2018","16-34 y.","18","","","","1"
"Yes","2018","35-65 y.","44","0.921270150548765","0.84508142957405","0.99745887152348","1"
"Yes","2018","66 and older","4","","","","1"
"No","2019","16-34 y.","157","0.081951333083757","0.0659869394673443","0.0979157267001697","2"
"No","2019","35-65 y.","424","0.0656896438528832","0.0591130043765144","0.0722662833292521","2"
"No","2019","66 and older","147","0.0459115269478027","0.0383371441056146","0.0534859097899909","2"
"Yes","2019","16-34 y.","977","0.918048666916243","0.90208427329983","0.934013060532656","1"
"Yes","2019","35-65 y.","5027","0.934310356147117","0.927733716670748","0.940886995623486","1"
"Yes","2019","66 and older","2786","0.954088473052197","0.946514090210009","0.961662855894385","1"
