"ple0162","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Part Time","middle vocational","73","0.0589329003251988","0.0448354718095511","0.0730303288408466","2"
"No","2012","Not Working","in school","10","","","","2"
"No","2012","Not Working","inadequately","7","","","","2"
"No","2012","Not Working","general elemantary","45","0.0450219076557185","0.0311797717505837","0.0588640435608532","2"
"No","2012","Part Time","higher vocational","8","","","","2"
"No","2012","Part Time","vocational + Abi","15","","","","2"
"No","2012","Part Time","higher education","35","0.0941028511824703","0.0644726559821622","0.123733046382778","2"
"No","2012","Not Working","middle vocational","122","0.0396820689157128","0.0322186110888144","0.0471455267426113","2"
"No","2012","Not Working","vocational + Abi","3","","","","2"
"No","2012","Not Working","higher vocational","10","","","","2"
"No","2012","Not Working","higher education","46","0.0555197664156441","0.0392180347567671","0.071821498074521","2"
"No","2012","Part Time","inadequately","","","","","2"
"No","2012","Part Time","general elemantary","23","","","","2"
"No","2012","Full Time","higher education","47","0.0654563935899674","0.0447862940335882","0.0861264931463466","2"
"No","2012","Part Time","in school","1","","","","2"
"No","2012","Full Time","vocational + Abi","16","","","","2"
"No","2012","Full Time","higher vocational","9","","","","2"
"No","2012","Full Time","general elemantary","15","","","","2"
"No","2012","Full Time","middle vocational","104","0.0951426795499784","0.0778427357063834","0.112442623393573","2"
"No","2012","Full Time","in school","","","","","2"
"No","2012","Full Time","inadequately","","","","","2"
"Yes","2012","Full Time","in school","","","","","1"
"Yes","2012","Full Time","inadequately","19","","","","1"
"Yes","2012","Full Time","general elemantary","118","0.909951318949724","0.861302754656511","0.958599883242936","1"
"Yes","2012","Full Time","middle vocational","1001","0.904857320450022","0.887557376606427","0.922157264293617","1"
"Yes","2012","Full Time","vocational + Abi","148","0.901571776848063","0.855980039338701","0.947163514357426","1"
"Yes","2012","Full Time","higher vocational","192","0.93825886379971","0.904985346732284","0.971532380867137","1"
"Yes","2012","Full Time","higher education","503","0.934543606410033","0.913873506853653","0.955213705966412","1"
"Yes","2012","Part Time","in school","12","","","","1"
