"ple0162","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2012","16-34 y.","no migration background","84","0.112480496806289","0.0890073650298899","0.135953628582688","2"
"No","2012","16-34 y.","indirect migration background","11","","","","2"
"No","2012","35-65 y.","no migration background","285","0.0590059785402495","0.0520180538360779","0.0659939032444212","2"
"No","2012","35-65 y.","direct migration background","40","0.07248159985289","0.0509683439177202","0.0939948557880599","2"
"No","2012","66 and older","no migration background","142","0.044751746189174","0.0372162463326339","0.0522872460457141","2"
"No","2012","66 and older","direct migration background","9","","","","2"
"No","2012","66 and older","indirect migration background","1","","","","2"
"No","2012","16-34 y.","direct migration background","8","","","","2"
"No","2012","35-65 y.","indirect migration background","14","","","","2"
"Yes","2012","16-34 y.","no migration background","612","0.887519503193711","0.864046371417312","0.91099263497011","1"
"Yes","2012","16-34 y.","direct migration background","86","0.933045806176785","0.882518686776576","0.983572925576993","1"
"Yes","2012","16-34 y.","indirect migration background","102","0.909482179910821","0.856580068044935","0.962384291776708","1"
"Yes","2012","35-65 y.","no migration background","4083","0.940994021459751","0.934006096755579","0.947981946163922","1"
"Yes","2012","35-65 y.","direct migration background","518","0.92751840014711","0.90600514421194","0.94903165608228","1"
"Yes","2012","35-65 y.","indirect migration background","141","0.91266182146931","0.868215149403292","0.957108493535328","1"
"Yes","2012","66 and older","no migration background","2750","0.955248253810826","0.947712753954286","0.962783753667366","1"
"Yes","2012","66 and older","direct migration background","233","0.961556090320925","0.937332333744879","0.985779846896971","1"
"Yes","2012","66 and older","indirect migration background","2","","","","1"
"No","2013","16-34 y.","no migration background","73","0.135567311752774","0.109371054051925","0.161763569453623","2"
"No","2013","35-65 y.","direct migration background","94","0.0665269027059886","0.0521115025557108","0.0809423028562664","2"
"No","2013","35-65 y.","no migration background","252","0.0564890219232647","0.0493274504403117","0.0636505934062177","2"
"No","2013","16-34 y.","indirect migration background","15","","","","2"
"No","2013","16-34 y.","direct migration background","20","","","","2"
"No","2013","35-65 y.","indirect migration background","15","","","","2"
"No","2013","66 and older","no migration background","109","0.0406119107337543","0.0330608613627495","0.0481629601047592","2"
"No","2013","66 and older","direct migration background","10","","","","2"
"No","2013","66 and older","indirect migration background","","","","","2"
"Yes","2013","16-34 y.","no migration background","583","0.864432688247226","0.838236430546377","0.890628945948075","1"
"Yes","2013","16-34 y.","direct migration background","181","0.934764407783992","0.900625985134847","0.968902830433136","1"
