"ple0162","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2012","in school","Urban Area","28","","",""
"Yes","2012","in school","Rural Area","16","","",""
"Yes","2012","inadequately","Urban Area","104","0.962002866114129","0.925945017104357","0.998060715123902"
"Yes","2012","inadequately","Rural Area","58","0.947009524831875","0.890793613699363","1.00322543596439"
"Yes","2012","general elemantary","Urban Area","719","0.944739225160241","0.928579575548446","0.960898874772036"
"Yes","2012","general elemantary","Rural Area","407","0.930048183949994","0.906242480581213","0.953853887318776"
"Yes","2012","middle vocational","Urban Area","2696","0.94246757247591","0.933952862972447","0.950982281979372"
"Yes","2012","middle vocational","Rural Area","1810","0.946131298496941","0.936064566928395","0.956198030065487"
"Yes","2012","vocational + Abi","Urban Area","327","0.944403698751827","0.920432137393897","0.968375260109758"
"Yes","2012","vocational + Abi","Rural Area","137","0.91198581731756","0.866186416520456","0.957785218114664"
"Yes","2012","higher vocational","Urban Area","347","0.954037290037582","0.932584042851225","0.975490537223939"
"Yes","2012","higher vocational","Rural Area","241","0.959162191930139","0.934579714161936","0.983744669698342"
"Yes","2012","higher education","Urban Area","1035","0.927157064112934","0.911964351879038","0.94234977634683"
"Yes","2012","higher education","Rural Area","518","0.949938594010335","0.931828538518667","0.968048649502002"
"No","2012","in school","Urban Area","8","","",""
"No","2012","in school","Rural Area","3","","",""
"No","2012","inadequately","Urban Area","4","","",""
"No","2012","inadequately","Rural Area","3","","",""
"No","2012","general elemantary","Urban Area","49","0.0552607748397593","0.0391011252279646","0.071420424451554"
"No","2012","general elemantary","Rural Area","34","0.0699518160500056","0.0461461126812244","0.0937575194187868"
"No","2012","middle vocational","Urban Area","177","0.0575324275240902","0.0490177180206279","0.0660471370275526"
"No","2012","middle vocational","Rural Area","122","0.0538687015030588","0.0438019699345127","0.063935433071605"
"No","2012","vocational + Abi","Urban Area","24","","",""
"No","2012","vocational + Abi","Rural Area","10","","",""
"No","2012","higher vocational","Urban Area","19","","",""
"No","2012","higher vocational","Rural Area","8","","",""
"No","2012","higher education","Urban Area","89","0.0728429358870658","0.0576502236531698","0.0880356481209618"
"No","2012","higher education","Rural Area","39","0.0500614059896654","0.0319513504979981","0.0681714614813328"
"Yes","2013","in school","Urban Area","41","0.995236597931206","0.9746570584219","1.01581613744051"
"Yes","2013","in school","Rural Area","16","","",""
"Yes","2013","inadequately","Urban Area","171","0.936491668217644","0.90106097019674","0.971922366238549"
"Yes","2013","inadequately","Rural Area","73","0.960540368448882","0.916479628838915","1.00460110805885"
"Yes","2013","general elemantary","Urban Area","839","0.949469973923447","0.935143962225777","0.963795985621117"
"Yes","2013","general elemantary","Rural Area","401","0.953343002774227","0.933362372178625","0.973323633369829"
"Yes","2013","middle vocational","Urban Area","2671","0.94285732881706","0.934310046216869","0.951404611417252"
"Yes","2013","middle vocational","Rural Area","1760","0.941475019187682","0.930847342394278","0.952102695981086"
"Yes","2013","vocational + Abi","Urban Area","390","0.95751595000934","0.938087691003938","0.976944209014741"
"Yes","2013","vocational + Abi","Rural Area","144","0.956293805851287","0.923467491543533","0.989120120159041"
"Yes","2013","higher vocational","Urban Area","322","0.964751931885099","0.945321362390887","0.984182501379311"
"Yes","2013","higher vocational","Rural Area","222","0.932010289705433","0.899894098235418","0.964126481175448"
"Yes","2013","higher education","Urban Area","1024","0.936686930024053","0.922418474554929","0.950955385493177"
"Yes","2013","higher education","Rural Area","468","0.957998249098475","0.940415809101226","0.975580689095724"
"No","2013","in school","Urban Area","2","","",""
"No","2013","in school","Rural Area","","","",""
"No","2013","inadequately","Urban Area","11","","",""
"No","2013","inadequately","Rural Area","2","","",""
"No","2013","general elemantary","Urban Area","59","0.0505300260765531","0.036204014378883","0.0648560377742231"
"No","2013","general elemantary","Rural Area","27","","",""
"No","2013","middle vocational","Urban Area","162","0.0571426711829396","0.0485953885827478","0.0656899537831315"
"No","2013","middle vocational","Rural Area","114","0.0585249808123181","0.0478973040189142","0.0691526576057219"
"No","2013","vocational + Abi","Urban Area","24","","",""
"No","2013","vocational + Abi","Rural Area","5","","",""
"No","2013","higher vocational","Urban Area","24","","",""
"No","2013","higher vocational","Rural Area","14","","",""
"No","2013","higher education","Urban Area","95","0.063313069975947","0.0490446145068231","0.077581525445071"
"No","2013","higher education","Rural Area","32","0.0420017509015248","0.0244193109042761","0.0595841908987736"
"Yes","2014","in school","Urban Area","","","",""
"Yes","2014","in school","Rural Area","","","",""
"Yes","2014","inadequately","Urban Area","","","",""
"Yes","2014","inadequately","Rural Area","","","",""
"Yes","2014","general elemantary","Urban Area","","","",""
"Yes","2014","general elemantary","Rural Area","","","",""
"Yes","2014","middle vocational","Urban Area","","","",""
"Yes","2014","middle vocational","Rural Area","","","",""
"Yes","2014","vocational + Abi","Urban Area","","","",""
"Yes","2014","vocational + Abi","Rural Area","","","",""
"Yes","2014","higher vocational","Urban Area","","","",""
"Yes","2014","higher vocational","Rural Area","","","",""
"Yes","2014","higher education","Urban Area","","","",""
"Yes","2014","higher education","Rural Area","","","",""
"No","2014","in school","Urban Area","","","",""
"No","2014","in school","Rural Area","","","",""
"No","2014","inadequately","Urban Area","","","",""
"No","2014","inadequately","Rural Area","","","",""
"No","2014","general elemantary","Urban Area","","","",""
"No","2014","general elemantary","Rural Area","","","",""
"No","2014","middle vocational","Urban Area","","","",""
"No","2014","middle vocational","Rural Area","","","",""
"No","2014","vocational + Abi","Urban Area","","","",""
"No","2014","vocational + Abi","Rural Area","","","",""
"No","2014","higher vocational","Urban Area","","","",""
"No","2014","higher vocational","Rural Area","","","",""
"No","2014","higher education","Urban Area","","","",""
"No","2014","higher education","Rural Area","","","",""
"Yes","2015","in school","Urban Area","29","","",""
"Yes","2015","in school","Rural Area","9","","",""
"Yes","2015","inadequately","Urban Area","138","0.959380755422387","0.92778971829735","0.990971792547425"
"Yes","2015","inadequately","Rural Area","58","0.911101189769012","0.840824855884783","0.981377523653241"
"Yes","2015","general elemantary","Urban Area","697","0.92841566771102","0.909866417561635","0.946964917860405"
"Yes","2015","general elemantary","Rural Area","344","0.929703661332794","0.903619700978754","0.955787621686835"
"Yes","2015","middle vocational","Urban Area","2501","0.910784911142737","0.900125190311504","0.92144463197397"
"Yes","2015","middle vocational","Rural Area","1607","0.883419705758711","0.868507007455758","0.898332404061663"
"Yes","2015","vocational + Abi","Urban Area","365","0.928602648936927","0.903400828470649","0.953804469403205"
"Yes","2015","vocational + Abi","Rural Area","122","0.749687912964945","0.677149345852008","0.822226480077883"
"Yes","2015","higher vocational","Urban Area","323","0.893831417456305","0.861512173337894","0.926150661574716"
"Yes","2015","higher vocational","Rural Area","187","0.878017654720568","0.833859900574452","0.922175408866685"
"Yes","2015","higher education","Urban Area","961","0.902401376957829","0.884734687715956","0.920068066199701"
"Yes","2015","higher education","Rural Area","459","0.876431563691486","0.848119130636267","0.904743996746705"
"No","2015","in school","Urban Area","9","","",""
"No","2015","in school","Rural Area","4","","",""
"No","2015","inadequately","Urban Area","12","","",""
"No","2015","inadequately","Rural Area","5","","",""
"No","2015","general elemantary","Urban Area","45","0.0715843322889803","0.0530350821395954","0.0901335824383652"
"No","2015","general elemantary","Rural Area","25","","",""
"No","2015","middle vocational","Urban Area","246","0.0892150888572631","0.0785553680260299","0.0998748096884963"
"No","2015","middle vocational","Rural Area","172","0.116580294241289","0.101667595938336","0.131492992544242"
"No","2015","vocational + Abi","Urban Area","36","0.0713973510630731","0.0461955305967948","0.0965991715293514"
"No","2015","vocational + Abi","Rural Area","15","","",""
"No","2015","higher vocational","Urban Area","26","","",""
"No","2015","higher vocational","Rural Area","24","","",""
"No","2015","higher education","Urban Area","123","0.0975986230421712","0.0799319338002987","0.115265312284044"
"No","2015","higher education","Rural Area","60","0.123568436308514","0.0952560032532954","0.151880869363733"
"Yes","2016","in school","Urban Area","3","","",""
"Yes","2016","in school","Rural Area","","","",""
"Yes","2016","inadequately","Urban Area","205","0.79520403072209","0.746524529880615","0.843883531563566"
"Yes","2016","inadequately","Rural Area","119","0.804136035950926","0.738861175639238","0.869410896262613"
"Yes","2016","general elemantary","Urban Area","76","0.791412205633922","0.713698206284716","0.869126204983129"
"Yes","2016","general elemantary","Rural Area","51","0.801003610965128","0.702417064993027","0.899590156937229"
"Yes","2016","middle vocational","Urban Area","76","0.772632486036634","0.686517629238726","0.858747342834543"
"Yes","2016","middle vocational","Rural Area","43","0.796125253015195","0.687662012956991","0.904588493073398"
"Yes","2016","vocational + Abi","Urban Area","10","","",""
"Yes","2016","vocational + Abi","Rural Area","6","","",""
"Yes","2016","higher vocational","Urban Area","","","",""
"Yes","2016","higher vocational","Rural Area","","","",""
"Yes","2016","higher education","Urban Area","58","0.628236882071605","0.520987288486704","0.735486475656505"
"Yes","2016","higher education","Rural Area","24","","",""
"No","2016","in school","Urban Area","1","","",""
"No","2016","in school","Rural Area","","","",""
"No","2016","inadequately","Urban Area","59","0.20479596927791","0.156116468436435","0.253475470119385"
"No","2016","inadequately","Rural Area","23","","",""
"No","2016","general elemantary","Urban Area","29","","",""
"No","2016","general elemantary","Rural Area","12","","",""
"No","2016","middle vocational","Urban Area","15","","",""
"No","2016","middle vocational","Rural Area","10","","",""
"No","2016","vocational + Abi","Urban Area","3","","",""
"No","2016","vocational + Abi","Rural Area","3","","",""
"No","2016","higher vocational","Urban Area","","","",""
"No","2016","higher vocational","Rural Area","","","",""
"No","2016","higher education","Urban Area","20","","",""
"No","2016","higher education","Rural Area","11","","",""
"Yes","2017","in school","Urban Area","32","0.848477691448999","0.737361691556998","0.959593691341001"
"Yes","2017","in school","Rural Area","10","","",""
"Yes","2017","inadequately","Urban Area","312","0.958549531572073","0.937546497220285","0.979552565923862"
"Yes","2017","inadequately","Rural Area","118","0.993526506664455","0.9797405948323","1.00731241849661"
"Yes","2017","general elemantary","Urban Area","679","0.936143362522421","0.91843139714114","0.953855327903701"
"Yes","2017","general elemantary","Rural Area","416","0.964822503428202","0.947628184690595","0.982016822165809"
"Yes","2017","middle vocational","Urban Area","2453","0.956168700257846","0.948272295378663","0.96406510513703"
"Yes","2017","middle vocational","Rural Area","1739","0.966520720829413","0.958260958732623","0.974780482926203"
"Yes","2017","vocational + Abi","Urban Area","395","0.921248954185848","0.895641270602661","0.946856637769034"
"Yes","2017","vocational + Abi","Rural Area","152","0.97654773192867","0.953024949503132","1.00007051435421"
"Yes","2017","higher vocational","Urban Area","317","0.964383886709873","0.944327190156746","0.984440583262999"
"Yes","2017","higher vocational","Rural Area","224","0.943564028908906","0.914122810522191","0.973005247295621"
"Yes","2017","higher education","Urban Area","1032","0.914460924940497","0.898211357251308","0.930710492629685"
"Yes","2017","higher education","Rural Area","519","0.946319340161695","0.927618601018342","0.965020079305048"
"No","2017","in school","Urban Area","8","","",""
"No","2017","in school","Rural Area","","","",""
"No","2017","inadequately","Urban Area","34","0.0414504684279267","0.020447434076138","0.0624535027797153"
"No","2017","inadequately","Rural Area","12","","",""
"No","2017","general elemantary","Urban Area","53","0.0638566374775793","0.0461446720962991","0.0815686028588596"
"No","2017","general elemantary","Rural Area","25","","",""
"No","2017","middle vocational","Urban Area","129","0.0438312997421539","0.0359348948629705","0.0517277046213374"
"No","2017","middle vocational","Rural Area","83","0.0334792791705872","0.0252195170737969","0.0417390412673774"
"No","2017","vocational + Abi","Urban Area","30","0.0787510458141525","0.0531433622309657","0.104358729397339"
"No","2017","vocational + Abi","Rural Area","7","","",""
"No","2017","higher vocational","Urban Area","11","","",""
"No","2017","higher vocational","Rural Area","12","","",""
"No","2017","higher education","Urban Area","106","0.0855390750595034","0.0692895073703148","0.101788642748692"
"No","2017","higher education","Rural Area","39","0.053680659838305","0.0349799206949521","0.0723813989816579"
"Yes","2018","in school","Urban Area","","","",""
"Yes","2018","in school","Rural Area","1","","",""
"Yes","2018","inadequately","Urban Area","21","","",""
"Yes","2018","inadequately","Rural Area","11","","",""
"Yes","2018","general elemantary","Urban Area","7","","",""
"Yes","2018","general elemantary","Rural Area","4","","",""
"Yes","2018","middle vocational","Urban Area","7","","",""
"Yes","2018","middle vocational","Rural Area","3","","",""
"Yes","2018","vocational + Abi","Urban Area","1","","",""
"Yes","2018","vocational + Abi","Rural Area","","","",""
"Yes","2018","higher vocational","Urban Area","","","",""
"Yes","2018","higher vocational","Rural Area","","","",""
"Yes","2018","higher education","Urban Area","3","","",""
"Yes","2018","higher education","Rural Area","3","","",""
"No","2018","in school","Urban Area","","","",""
"No","2018","in school","Rural Area","","","",""
"No","2018","inadequately","Urban Area","6","","",""
"No","2018","inadequately","Rural Area","3","","",""
"No","2018","general elemantary","Urban Area","6","","",""
"No","2018","general elemantary","Rural Area","2","","",""
"No","2018","middle vocational","Urban Area","1","","",""
"No","2018","middle vocational","Rural Area","1","","",""
"No","2018","vocational + Abi","Urban Area","","","",""
"No","2018","vocational + Abi","Rural Area","","","",""
"No","2018","higher vocational","Urban Area","","","",""
"No","2018","higher vocational","Rural Area","","","",""
"No","2018","higher education","Urban Area","1","","",""
"No","2018","higher education","Rural Area","1","","",""
"Yes","2019","in school","Urban Area","22","","",""
"Yes","2019","in school","Rural Area","13","","",""
