"ple0162","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2012","lower secondary degree","1-pers.-HH","778","0.951400256491962","0.936655565225763","0.966144947758161"
"Yes","2012","lower secondary degree","(Married) couple without C. ","1616","0.951711865077319","0.941524335283423","0.961899394871215"
"Yes","2012","lower secondary degree","Single parent ","243","0.956553055782098","0.931629174196163","0.981476937368034"
"Yes","2012","lower secondary degree","Couple + C. LE 16 ","307","0.851181725564805","0.813294960958156","0.889068490171454"
"Yes","2012","lower secondary degree","Couple + C. GT 16 ","285","0.964409037684149","0.943338754744761","0.985479320623538"
"Yes","2012","lower secondary degree","Couple + C. LE and GT 16","112","0.948229928487826","0.909232725398967","0.987227131576686"
"Yes","2012","secondary school degree","1-pers.-HH","408","0.952879814087448","0.932990151877327","0.97276947629757"
"Yes","2012","secondary school degree","(Married) couple without C. ","891","0.944642631349005","0.930070468615247","0.959214794082763"
"Yes","2012","secondary school degree","Single parent ","288","0.944401008421002","0.918851618771206","0.969950398070797"
"Yes","2012","secondary school degree","Couple + C. LE 16 ","461","0.919838094158756","0.896107762326234","0.943568425991278"
"Yes","2012","secondary school degree","Couple + C. GT 16 ","240","0.932600022560055","0.902007462281071","0.963192582839039"
"Yes","2012","secondary school degree","Couple + C. LE and GT 16","136","0.908612069631804","0.862650665376476","0.954573473887132"
"Yes","2012","college entrance qualification","1-pers.-HH","292","0.93709642474289","0.910156238139402","0.964036611346379"
"Yes","2012","college entrance qualification","(Married) couple without C. ","642","0.927584031271212","0.908259771300981","0.946908291241443"
"Yes","2012","college entrance qualification","Single parent ","166","0.92197600309704","0.882902467600958","0.961049538593122"
"Yes","2012","college entrance qualification","Couple + C. LE 16 ","380","0.905167996261437","0.877047555587168","0.933288436935707"
"Yes","2012","college entrance qualification","Couple + C. GT 16 ","144","0.895399879315366","0.848418160923811","0.94238159770692"
"Yes","2012","college entrance qualification","Couple + C. LE and GT 16","83","0.98057934532282","0.951909431251951","1.00924925939369"
"Yes","2012","Other degree","1-pers.-HH","83","0.992957988083352","0.9750757339404","1.0108402422263"
"Yes","2012","Other degree","(Married) couple without C. ","196","0.938358646743786","0.905674516238519","0.971042777249053"
"Yes","2012","Other degree","Single parent ","38","0.876612353261592","0.778312357940676","0.974912348582508"
"Yes","2012","Other degree","Couple + C. LE 16 ","97","0.96122405233911","0.923940009041146","0.998508095637075"
"Yes","2012","Other degree","Couple + C. GT 16 ","54","0.959123161848945","0.90816544850343","1.01008087519446"
"Yes","2012","Other degree","Couple + C. LE and GT 16","53","0.815956941368978","0.718709873573705","0.91320400916425"
"Yes","2012","no degree/no degree yet","1-pers.-HH","39","0.920301441804209","0.837402984954974","1.00319989865344"
"Yes","2012","no degree/no degree yet","(Married) couple without C. ","55","0.944489789854759","0.886063655285372","1.00291592442415"
"Yes","2012","no degree/no degree yet","Single parent ","40","0.81386727706318","0.701391932013221","0.926342622113139"
"Yes","2012","no degree/no degree yet","Couple + C. LE 16 ","29","","",""
