"ple0162","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2012","Full Time","1-pers.-HH","261","0.927788981878483","0.897632462619889","0.957945501137076"
"Yes","2012","Full Time","(Married) couple without C. ","577","0.91074512129573","0.888552026363259","0.932938216228201"
"Yes","2012","Full Time","Single parent ","172","0.919611155766301","0.880745215908839","0.958477095623763"
"Yes","2012","Full Time","Couple + C. LE 16 ","522","0.893487374605396","0.868162026824399","0.918812722386393"
"Yes","2012","Full Time","Couple + C. GT 16 ","278","0.923788497589571","0.894059250224693","0.953517744954449"
"Yes","2012","Full Time","Couple + C. LE and GT 16","159","0.91373901969242","0.872610805203327","0.954867234181514"
"Yes","2012","Part Time","1-pers.-HH","210","0.950285728270131","0.921564408320836","0.979007048219425"
"Yes","2012","Part Time","(Married) couple without C. ","490","0.927845535514417","0.905733706671246","0.949957364357587"
"Yes","2012","Part Time","Single parent ","322","0.932692219652771","0.906405451850916","0.958978987454627"
"Yes","2012","Part Time","Couple + C. LE 16 ","442","0.890351813301186","0.862630121509114","0.918073505093257"
"Yes","2012","Part Time","Couple + C. GT 16 ","212","0.936988540627146","0.905789083355018","0.968187997899274"
"Yes","2012","Part Time","Couple + C. LE and GT 16","147","0.915594717707336","0.872384547060623","0.958804888354048"
"Yes","2012","Not Working","1-pers.-HH","1149","0.956952428590428","0.94550694555699","0.968397911623865"
"Yes","2012","Not Working","(Married) couple without C. ","2366","0.957968373936043","0.950069348554327","0.965867399317758"
"Yes","2012","Not Working","Single parent ","297","0.93929994759923","0.912972956187662","0.965626939010799"
"Yes","2012","Not Working","Couple + C. LE 16 ","320","0.942771995606543","0.91833257018186","0.967211421031226"
"Yes","2012","Not Working","Couple + C. GT 16 ","274","0.965187311948062","0.94383084270427","0.986543781191854"
"Yes","2012","Not Working","Couple + C. LE and GT 16","134","0.915465752674241","0.870647530058944","0.960283975289538"
"No","2012","Full Time","1-pers.-HH","22","","",""
"No","2012","Full Time","(Married) couple without C. ","57","0.0892548787042699","0.0670617837717987","0.111447973636741"
"No","2012","Full Time","Single parent ","16","","",""
"No","2012","Full Time","Couple + C. LE 16 ","48","0.106512625394604","0.081187277613607","0.131837973175601"
"No","2012","Full Time","Couple + C. GT 16 ","28","","",""
"No","2012","Full Time","Couple + C. LE and GT 16","20","","",""
"No","2012","Part Time","1-pers.-HH","10","","",""
"No","2012","Part Time","(Married) couple without C. ","36","0.0721544644855835","0.050042635642413","0.094266293328754"
"No","2012","Part Time","Single parent ","27","","",""
"No","2012","Part Time","Couple + C. LE 16 ","46","0.109648186698814","0.0819264949067426","0.137369878490886"
"No","2012","Part Time","Couple + C. GT 16 ","21","","",""
"No","2012","Part Time","Couple + C. LE and GT 16","12","","",""
"No","2012","Not Working","1-pers.-HH","59","0.0430475714095726","0.0316020883761353","0.0544930544430098"
"No","2012","Not Working","(Married) couple without C. ","113","0.0420316260639572","0.0341326006822417","0.0499306514456728"
"No","2012","Not Working","Single parent ","19","","",""
"No","2012","Not Working","Couple + C. LE 16 ","27","","",""
"No","2012","Not Working","Couple + C. GT 16 ","9","","",""
"No","2012","Not Working","Couple + C. LE and GT 16","14","","",""
"Yes","2013","Full Time","1-pers.-HH","244","0.91349062067399","0.87977151055179","0.94720973079619"
"Yes","2013","Full Time","(Married) couple without C. ","491","0.910461030830844","0.886244373938563","0.934677687723125"
"Yes","2013","Full Time","Single parent ","182","0.935026976139007","0.900608345477736","0.969445606800277"
"Yes","2013","Full Time","Couple + C. LE 16 ","437","0.892840528753719","0.865701140926994","0.919979916580444"
