"ple0162","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2012","16-34 y.","lower secondary degree","162","0.865981740857194","0.817023255598292","0.914940226116096"
"Yes","2012","16-34 y.","secondary school degree","259","0.894634201354377","0.859419075450078","0.929849327258676"
"Yes","2012","16-34 y.","college entrance qualification","197","0.895457333257706","0.855209654348262","0.93570501216715"
"Yes","2012","16-34 y.","Other degree","41","0.984510731495681","0.947601113992952","1.02142034899841"
"Yes","2012","16-34 y.","no degree/no degree yet","76","0.848338664763563","0.774641723506618","0.922035606020508"
"Yes","2012","35-65 y.","lower secondary degree","1522","0.943762056774641","0.932533109257508","0.954991004291773"
"Yes","2012","35-65 y.","secondary school degree","1674","0.947607651018621","0.937291271685524","0.957924030351718"
"Yes","2012","35-65 y.","college entrance qualification","1074","0.918243734001211","0.90253047820842","0.933956989794003"
"Yes","2012","35-65 y.","Other degree","341","0.921823005308131","0.894395428596733","0.949250582019528"
"Yes","2012","35-65 y.","no degree/no degree yet","99","0.965694142433699","0.930371600955615","1.00101668391178"
"Yes","2012","66 and older","lower secondary degree","1745","0.958071617462366","0.948873716780039","0.967269518144692"
"Yes","2012","66 and older","secondary school degree","539","0.947696549914462","0.929435327112809","0.965957772716115"
"Yes","2012","66 and older","college entrance qualification","452","0.950710261156925","0.931364852778054","0.970055669535797"
"Yes","2012","66 and older","Other degree","162","0.976908676443275","0.954264520584088","0.999552832302463"
"Yes","2012","66 and older","no degree/no degree yet","55","0.913973159547236","0.842423793094028","0.985522526000443"
"No","2012","16-34 y.","lower secondary degree","24","","",""
"No","2012","16-34 y.","secondary school degree","33","0.105365798645623","0.0701506727413246","0.140580924549922"
"No","2012","16-34 y.","college entrance qualification","25","","",""
"No","2012","16-34 y.","Other degree","2","","",""
"No","2012","16-34 y.","no degree/no degree yet","15","","",""
"No","2012","35-65 y.","lower secondary degree","95","0.0562379432253594","0.0450089957082267","0.067466890742492"
"No","2012","35-65 y.","secondary school degree","118","0.0523923489813789","0.0420759696482821","0.0627087283144757"
"No","2012","35-65 y.","college entrance qualification","94","0.0817562659987887","0.066043010205997","0.0974695217915805"
"No","2012","35-65 y.","Other degree","27","","",""
"No","2012","35-65 y.","no degree/no degree yet","3","","",""
"No","2012","66 and older","lower secondary degree","79","0.0419283825376342","0.0327304818553077","0.0511262832199607"
"No","2012","66 and older","secondary school degree","32","0.0523034500855377","0.0340422272838849","0.0705646728871906"
"No","2012","66 and older","college entrance qualification","29","","",""
"No","2012","66 and older","Other degree","7","","",""
"No","2012","66 and older","no degree/no degree yet","4","","",""
