"ple0162","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2012","1-pers.-HH","West Germany","1176","0.950829951949624","0.938785431537151","0.962874472362098"
"Yes","2012","1-pers.-HH","East Germany","444","0.950952231503399","0.931489378694621","0.970415084312176"
"Yes","2012","(Married) couple without C. ","West Germany","2439","0.939936703727342","0.930800150191394","0.949073257263289"
"Yes","2012","(Married) couple without C. ","East Germany","994","0.961476531599054","0.949785448136303","0.973167615061804"
"Yes","2012","Single parent ","West Germany","607","0.930634951840755","0.911221839402426","0.950048064279084"
"Yes","2012","Single parent ","East Germany","184","0.942312893695548","0.909588792320327","0.97503699507077"
"Yes","2012","Couple + C. LE 16 ","West Germany","1019","0.900739812318906","0.883204692819853","0.918274931817958"
"Yes","2012","Couple + C. LE 16 ","East Germany","265","0.915462570239365","0.883333610590339","0.947591529888391"
"Yes","2012","Couple + C. GT 16 ","West Germany","600","0.94074759217886","0.922527196957812","0.958967987399908"
"Yes","2012","Couple + C. GT 16 ","East Germany","164","0.94495856389694","0.911360618587624","0.978556509206256"
"Yes","2012","Couple + C. LE and GT 16","West Germany","370","0.912273814013141","0.884957209714305","0.939590418311977"
"Yes","2012","Couple + C. LE and GT 16","East Germany","70","0.930706591515403","0.872845770971635","0.988567412059172"
"No","2012","1-pers.-HH","West Germany","62","0.0491700480503754","0.0371255276379019","0.0612145684628489"
"No","2012","1-pers.-HH","East Germany","29","","",""
"No","2012","(Married) couple without C. ","West Germany","159","0.0600632962726584","0.0509267427367107","0.0691998498086061"
"No","2012","(Married) couple without C. ","East Germany","47","0.0385234684009465","0.0268323849381961","0.050214551863697"
"No","2012","Single parent ","West Germany","51","0.0693650481592449","0.0499519357209159","0.0887781605975738"
"No","2012","Single parent ","East Germany","11","","",""
"No","2012","Couple + C. LE 16 ","West Germany","98","0.0992601876810946","0.0817250681820424","0.116795307180147"
"No","2012","Couple + C. LE 16 ","East Germany","23","","",""
"No","2012","Couple + C. GT 16 ","West Germany","45","0.0592524078211399","0.0410320126000919","0.0774728030421879"
"No","2012","Couple + C. GT 16 ","East Germany","13","","",""
"No","2012","Couple + C. LE and GT 16","West Germany","42","0.0877261859868591","0.0604095816880231","0.115042790285695"
"No","2012","Couple + C. LE and GT 16","East Germany","4","","",""
"Yes","2013","1-pers.-HH","West Germany","1139","0.948260135790944","0.935758961038886","0.960761310543002"
"Yes","2013","1-pers.-HH","East Germany","405","0.957190232535798","0.937944954507127","0.97643551056447"
"Yes","2013","(Married) couple without C. ","West Germany","2348","0.944501975406585","0.935498452100993","0.953505498712177"
"Yes","2013","(Married) couple without C. ","East Germany","954","0.972955408376411","0.962814940015943","0.98309587673688"
"Yes","2013","Single parent ","West Germany","640","0.92739586858132","0.908020421807097","0.946771315355543"
"Yes","2013","Single parent ","East Germany","165","0.910671671162498","0.869460524589715","0.951882817735281"
"Yes","2013","Couple + C. LE 16 ","West Germany","1127","0.902086277665556","0.885577716082214","0.918594839248898"
"Yes","2013","Couple + C. LE 16 ","East Germany","243","0.883142689407552","0.845174041947675","0.92111133686743"
"Yes","2013","Couple + C. GT 16 ","West Germany","665","0.949878617798936","0.933907545027666","0.965849690570207"
"Yes","2013","Couple + C. GT 16 ","East Germany","128","0.94356024488714","0.905058011219018","0.982062478555262"
"Yes","2013","Couple + C. LE and GT 16","West Germany","460","0.925832458002798","0.902630576990023","0.949034339015573"
"Yes","2013","Couple + C. LE and GT 16","East Germany","77","0.961803135691845","0.920062166209657","1.00354410517403"
"No","2013","1-pers.-HH","West Germany","67","0.0517398642090557","0.0392386894569976","0.0642410389611138"
"No","2013","1-pers.-HH","East Germany","20","","",""
"No","2013","(Married) couple without C. ","West Germany","136","0.0554980245934149","0.0464945012878228","0.0645015478990069"
"No","2013","(Married) couple without C. ","East Germany","29","","",""
"No","2013","Single parent ","West Germany","49","0.0726041314186801","0.0532286846444568","0.0919795781929033"
"No","2013","Single parent ","East Germany","19","","",""
"No","2013","Couple + C. LE 16 ","West Germany","118","0.0979137223344443","0.0814051607511023","0.114422283917786"
"No","2013","Couple + C. LE 16 ","East Germany","32","0.116857310592448","0.0788886631325703","0.154825958052325"
"No","2013","Couple + C. GT 16 ","West Germany","52","0.0501213822010635","0.0341503094297931","0.066092454972334"
"No","2013","Couple + C. GT 16 ","East Germany","10","","",""
"No","2013","Couple + C. LE and GT 16","West Germany","30","0.074167541997202","0.0509656609844272","0.0973694230099767"
"No","2013","Couple + C. LE and GT 16","East Germany","4","","",""
"Yes","2014","1-pers.-HH","West Germany","","","",""
"Yes","2014","1-pers.-HH","East Germany","","","",""
"Yes","2014","(Married) couple without C. ","West Germany","","","",""
"Yes","2014","(Married) couple without C. ","East Germany","","","",""
"Yes","2014","Single parent ","West Germany","","","",""
"Yes","2014","Single parent ","East Germany","","","",""
"Yes","2014","Couple + C. LE 16 ","West Germany","","","",""
"Yes","2014","Couple + C. LE 16 ","East Germany","","","",""
"Yes","2014","Couple + C. GT 16 ","West Germany","","","",""
"Yes","2014","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2014","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","2014","Couple + C. LE and GT 16","East Germany","","","",""
"No","2014","1-pers.-HH","West Germany","","","",""
"No","2014","1-pers.-HH","East Germany","","","",""
"No","2014","(Married) couple without C. ","West Germany","","","",""
"No","2014","(Married) couple without C. ","East Germany","","","",""
"No","2014","Single parent ","West Germany","","","",""
"No","2014","Single parent ","East Germany","","","",""
"No","2014","Couple + C. LE 16 ","West Germany","","","",""
"No","2014","Couple + C. LE 16 ","East Germany","","","",""
"No","2014","Couple + C. GT 16 ","West Germany","","","",""
"No","2014","Couple + C. GT 16 ","East Germany","","","",""
"No","2014","Couple + C. LE and GT 16","West Germany","","","",""
"No","2014","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","2015","1-pers.-HH","West Germany","1127","0.927241199734545","0.912648288974022","0.941834110495068"
"Yes","2015","1-pers.-HH","East Germany","420","0.919949473857333","0.894904308516368","0.944994639198297"
"Yes","2015","(Married) couple without C. ","West Germany","2206","0.91314953583086","0.901934051191602","0.924365020470118"
"Yes","2015","(Married) couple without C. ","East Germany","896","0.899252410115006","0.880281289202966","0.918223531027046"
"Yes","2015","Single parent ","West Germany","552","0.887977532435356","0.862824915436116","0.913130149434597"
"Yes","2015","Single parent ","East Germany","143","0.933950090780387","0.894849781847525","0.973050399713248"
"Yes","2015","Couple + C. LE 16 ","West Germany","932","0.870536895341218","0.850346146217221","0.890727644465214"
"Yes","2015","Couple + C. LE 16 ","East Germany","196","0.826679006251262","0.777545845073269","0.875812167429255"
"Yes","2015","Couple + C. GT 16 ","West Germany","608","0.812196361653239","0.783366931828705","0.841025791477773"
"Yes","2015","Couple + C. GT 16 ","East Germany","143","0.902235046337153","0.855479440612005","0.9489906520623"
"Yes","2015","Couple + C. LE and GT 16","West Germany","392","0.883301812878757","0.853370651263001","0.913232974494512"
"Yes","2015","Couple + C. LE and GT 16","East Germany","67","0.79608176630478","0.705498461004301","0.886665071605259"
"No","2015","1-pers.-HH","West Germany","90","0.0727588002654547","0.0581658895049316","0.0873517110259778"
"No","2015","1-pers.-HH","East Germany","31","0.0800505261426676","0.0550053608017035","0.105095691483632"
"No","2015","(Married) couple without C. ","West Germany","216","0.0868504641691397","0.0756349795298814","0.0980659488083979"
"No","2015","(Married) couple without C. ","East Germany","71","0.100747589884994","0.0817764689729543","0.119718710797034"
"No","2015","Single parent ","West Germany","52","0.112022467564644","0.0868698505654029","0.137175084563884"
"No","2015","Single parent ","East Germany","12","","",""
"No","2015","Couple + C. LE 16 ","West Germany","130","0.129463104658782","0.109272355534786","0.149653853782779"
"No","2015","Couple + C. LE 16 ","East Germany","32","0.173320993748738","0.124187832570745","0.222454154926731"
"No","2015","Couple + C. GT 16 ","West Germany","97","0.187803638346761","0.158974208522227","0.216633068171295"
"No","2015","Couple + C. GT 16 ","East Germany","12","","",""
"No","2015","Couple + C. LE and GT 16","West Germany","50","0.116698187121243","0.0867670255054884","0.146629348736998"
"No","2015","Couple + C. LE and GT 16","East Germany","9","","",""
"Yes","2016","1-pers.-HH","West Germany","90","0.792254869346064","0.717782777916612","0.866726960775515"
"Yes","2016","1-pers.-HH","East Germany","23","","",""
"Yes","2016","(Married) couple without C. ","West Germany","26","","",""
"Yes","2016","(Married) couple without C. ","East Germany","7","","",""
"Yes","2016","Single parent ","West Germany","69","0.847514981418347","0.767736076601359","0.927293886235335"
"Yes","2016","Single parent ","East Germany","28","","",""
"Yes","2016","Couple + C. LE 16 ","West Germany","223","0.710110555392495","0.658769280484487","0.761451830300502"
"Yes","2016","Couple + C. LE 16 ","East Germany","53","0.662282224065828","0.553793357859714","0.770771090271942"
"Yes","2016","Couple + C. GT 16 ","West Germany","15","","",""
"Yes","2016","Couple + C. GT 16 ","East Germany","3","","",""
"Yes","2016","Couple + C. LE and GT 16","West Germany","82","0.875738089500758","0.810426359730976","0.94104981927054"
"Yes","2016","Couple + C. LE and GT 16","East Germany","17","","",""
"No","2016","1-pers.-HH","West Germany","24","","",""
"No","2016","1-pers.-HH","East Germany","10","","",""
"No","2016","(Married) couple without C. ","West Germany","8","","",""
"No","2016","(Married) couple without C. ","East Germany","2","","",""
"No","2016","Single parent ","West Germany","9","","",""
"No","2016","Single parent ","East Germany","1","","",""
"No","2016","Couple + C. LE 16 ","West Germany","77","0.289889444607505","0.238548169699498","0.341230719515513"
"No","2016","Couple + C. LE 16 ","East Germany","20","","",""
"No","2016","Couple + C. GT 16 ","West Germany","","","",""
"No","2016","Couple + C. GT 16 ","East Germany","","","",""
"No","2016","Couple + C. LE and GT 16","West Germany","16","","",""
"No","2016","Couple + C. LE and GT 16","East Germany","3","","",""
"Yes","2017","1-pers.-HH","West Germany","1240","0.953691643518972","0.942315883603918","0.965067403434025"
"Yes","2017","1-pers.-HH","East Germany","460","0.958759237042652","0.940951921251171","0.976566552834134"
"Yes","2017","(Married) couple without C. ","West Germany","2351","0.952902606165114","0.944546378932403","0.961258833397825"
"Yes","2017","(Married) couple without C. ","East Germany","893","0.964117729252796","0.952163774414218","0.976071684091374"
"Yes","2017","Single parent ","West Germany","561","0.949618963424927","0.932146341322491","0.967091585527363"
"Yes","2017","Single parent ","East Germany","146","0.900425820932657","0.853438235389075","0.947413406476239"
"Yes","2017","Couple + C. LE 16 ","West Germany","930","0.900513583741541","0.882304988511732","0.918722178971351"
"Yes","2017","Couple + C. LE 16 ","East Germany","195","0.915884735692864","0.879455213343234","0.952314258042494"
"Yes","2017","Couple + C. GT 16 ","West Germany","736","0.931560670285023","0.91396449436033","0.949156846209716"
"Yes","2017","Couple + C. GT 16 ","East Germany","142","0.957521392562142","0.92502938006499","0.990013405059293"
"Yes","2017","Couple + C. LE and GT 16","West Germany","461","0.958945470650416","0.941466212901177","0.976424728399656"
"Yes","2017","Couple + C. LE and GT 16","East Germany","88","0.970920284462519","0.936770066420369","1.00507050250467"
"No","2017","1-pers.-HH","West Germany","71","0.0463083564810282","0.0349325965659749","0.0576841163960815"
"No","2017","1-pers.-HH","East Germany","19","","",""
"No","2017","(Married) couple without C. ","West Germany","118","0.0470973938348861","0.0387411666021748","0.0554536210675973"
"No","2017","(Married) couple without C. ","East Germany","37","0.0358822707472041","0.0239283159086257","0.0478362255857825"
"No","2017","Single parent ","West Germany","41","0.0503810365750733","0.0329084144726373","0.0678536586775093"
"No","2017","Single parent ","East Germany","10","","",""
"No","2017","Couple + C. LE 16 ","West Germany","108","0.0994864162584586","0.0812778210286491","0.117695011488268"
"No","2017","Couple + C. LE 16 ","East Germany","28","","",""
"No","2017","Couple + C. GT 16 ","West Germany","55","0.0684393297149768","0.0508431537902839","0.0860355056396698"
"No","2017","Couple + C. GT 16 ","East Germany","6","","",""
"No","2017","Couple + C. LE and GT 16","West Germany","34","0.0410545293495836","0.0235752716003441","0.0585337870988232"
"No","2017","Couple + C. LE and GT 16","East Germany","5","","",""
"Yes","2018","1-pers.-HH","West Germany","1","","",""
"Yes","2018","1-pers.-HH","East Germany","","","",""
"Yes","2018","(Married) couple without C. ","West Germany","2","","",""
"Yes","2018","(Married) couple without C. ","East Germany","","","",""
"Yes","2018","Single parent ","West Germany","3","","",""
"Yes","2018","Single parent ","East Germany","","","",""
"Yes","2018","Couple + C. LE 16 ","West Germany","15","","",""
"Yes","2018","Couple + C. LE 16 ","East Germany","1","","",""
"Yes","2018","Couple + C. GT 16 ","West Germany","5","","",""
"Yes","2018","Couple + C. GT 16 ","East Germany","","","",""
"Yes","2018","Couple + C. LE and GT 16","West Germany","16","","",""
"Yes","2018","Couple + C. LE and GT 16","East Germany","5","","",""
"No","2018","1-pers.-HH","West Germany","","","",""
"No","2018","1-pers.-HH","East Germany","","","",""
"No","2018","(Married) couple without C. ","West Germany","","","",""
"No","2018","(Married) couple without C. ","East Germany","","","",""
"No","2018","Single parent ","West Germany","1","","",""
"No","2018","Single parent ","East Germany","1","","",""
"No","2018","Couple + C. LE 16 ","West Germany","10","","",""
"No","2018","Couple + C. LE 16 ","East Germany","3","","",""
"No","2018","Couple + C. GT 16 ","West Germany","","","",""
"No","2018","Couple + C. GT 16 ","East Germany","","","",""
"No","2018","Couple + C. LE and GT 16","West Germany","2","","",""
"No","2018","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","2019","1-pers.-HH","West Germany","1375","0.959735683796404","0.949666053219811","0.969805314372997"
"Yes","2019","1-pers.-HH","East Germany","462","0.925365477761004","0.902190936726665","0.948540018795342"
"Yes","2019","(Married) couple without C. ","West Germany","2417","0.941343872244654","0.932275000406066","0.950412744083241"
"Yes","2019","(Married) couple without C. ","East Germany","943","0.94242132529037","0.927983510189284","0.956859140391457"
"Yes","2019","Single parent ","West Germany","546","0.946127187441787","0.92783229991395","0.964422074969623"
"Yes","2019","Single parent ","East Germany","156","0.927106989885303","0.887913619759984","0.966300360010622"
"Yes","2019","Couple + C. LE 16 ","West Germany","897","0.879985926132443","0.860272968254","0.899698884010886"
"Yes","2019","Couple + C. LE 16 ","East Germany","247","0.931074827807736","0.900969395943239","0.961180259672232"
"Yes","2019","Couple + C. GT 16 ","West Germany","706","0.948056561860398","0.932216937119226","0.96389618660157"
"Yes","2019","Couple + C. GT 16 ","East Germany","143","0.925361140781276","0.883443412044607","0.967278869517944"
"Yes","2019","Couple + C. LE and GT 16","West Germany","496","0.883932717938651","0.857451104288453","0.910414331588849"
"Yes","2019","Couple + C. LE and GT 16","East Germany","112","0.870620438341675","0.812704179193938","0.928536697489412"
"No","2019","1-pers.-HH","West Germany","89","0.040264316203596","0.030194685627003","0.0503339467801891"
"No","2019","1-pers.-HH","East Germany","32","0.0746345222389963","0.0514599812046581","0.0978090632733345"
"No","2019","(Married) couple without C. ","West Germany","162","0.0586561277553461","0.0495872559167586","0.0677249995939336"
"No","2019","(Married) couple without C. ","East Germany","57","0.0575786747096296","0.043140859608543","0.0720164898107161"
"No","2019","Single parent ","West Germany","39","0.0538728125582134","0.0355779250303772","0.0721677000860496"
"No","2019","Single parent ","East Germany","13","","",""
"No","2019","Couple + C. LE 16 ","West Germany","147","0.120014073867557","0.100301115989114","0.139727031746"
"No","2019","Couple + C. LE 16 ","East Germany","25","","",""
"No","2019","Couple + C. GT 16 ","West Germany","48","0.051943438139602","0.0361038133984303","0.0677830628807736"
"No","2019","Couple + C. GT 16 ","East Germany","8","","",""
"No","2019","Couple + C. LE and GT 16","West Germany","66","0.116067282061349","0.0895856684111514","0.142548895711547"
"No","2019","Couple + C. LE and GT 16","East Germany","17","","",""
