"ple0162","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2012","(0) in school","in school","44","0.784791469466831","0.676180516524538","0.893402422409123"
"Yes","2012","(0) in school","inadequately","","","",""
"Yes","2012","(0) in school","general elemantary","","","",""
"Yes","2012","(0) in school","middle vocational","1","","",""
"Yes","2012","(0) in school","vocational + Abi","","","",""
"Yes","2012","(0) in school","higher vocational","","","",""
"Yes","2012","(0) in school","higher education","","","",""
"Yes","2012","(1a) inadequately completed","in school","","","",""
"Yes","2012","(1a) inadequately completed","inadequately","138","0.95179629607671","0.9169323693429","0.98666022281052"
"Yes","2012","(1a) inadequately completed","general elemantary","","","",""
"Yes","2012","(1a) inadequately completed","middle vocational","45","0.923250077967803","0.847944677862842","0.998555478072763"
"Yes","2012","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2012","(1a) inadequately completed","higher vocational","1","","",""
"Yes","2012","(1a) inadequately completed","higher education","","","",""
"Yes","2012","(1b) general elementary school","in school","","","",""
"Yes","2012","(1b) general elementary school","inadequately","24","","",""
"Yes","2012","(1b) general elementary school","general elemantary","940","0.9497775249044","0.936220621172639","0.963334428636161"
"Yes","2012","(1b) general elementary school","middle vocational","","","",""
"Yes","2012","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2012","(1b) general elementary school","higher vocational","","","",""
"Yes","2012","(1b) general elementary school","higher education","","","",""
"Yes","2012","(1c) basic vocational qualification","in school","","","",""
"Yes","2012","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2012","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2012","(1c) basic vocational qualification","middle vocational","2480","0.949208694358352","0.940805885435113","0.957611503281592"
"Yes","2012","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2012","(1c) basic vocational qualification","higher vocational","193","0.966404061952788","0.941369251242332","0.991438872663243"
"Yes","2012","(1c) basic vocational qualification","higher education","","","",""
"Yes","2012","(2b) intermediate general qualification","in school","","","",""
"Yes","2012","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2012","(2b) intermediate general qualification","general elemantary","186","0.875345602648772","0.830880045386144","0.9198111599114"
"Yes","2012","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2012","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2012","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2012","(2b) intermediate general qualification","higher education","","","",""
"Yes","2012","(2a) intermediate vocational","in school","","","",""
"Yes","2012","(2a) intermediate vocational","inadequately","","","",""
"Yes","2012","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2012","(2a) intermediate vocational","middle vocational","1780","0.944334304594502","0.934046668144665","0.954621941044339"
"Yes","2012","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2012","(2a) intermediate vocational","higher vocational","247","0.956046500767235","0.931033000206832","0.981060001327638"
"Yes","2012","(2a) intermediate vocational","higher education","","","",""
"Yes","2012","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2012","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2012","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2012","(2c_gen) general maturity certificate","middle vocational","168","0.868003597482492","0.819873903476082","0.916133291488902"
"Yes","2012","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2012","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2012","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","vocational + Abi","464","0.936224529779495","0.914763514576032","0.957685544982958"
"Yes","2012","(2c_voc) vocational maturity certificate","higher vocational","142","0.935495770586926","0.896443948063462","0.974547593110391"
"Yes","2012","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2012","(3a) lower tertiary education","in school","","","",""
"Yes","2012","(3a) lower tertiary education","inadequately","","","",""
"Yes","2012","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2012","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2012","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2012","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2012","(3a) lower tertiary education","higher education","638","0.947971014678493","0.931315504255839","0.964626525101148"
"Yes","2012","(3b) higher tertiary education","in school","","","",""
"Yes","2012","(3b) higher tertiary education","inadequately","","","",""
"Yes","2012","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2012","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2012","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2012","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2012","(3b) higher tertiary education","higher education","915","0.923425246008164","0.906927428421153","0.939923063595174"
"No","2012","(0) in school","in school","11","","",""
"No","2012","(0) in school","inadequately","","","",""
"No","2012","(0) in school","general elemantary","","","",""
"No","2012","(0) in school","middle vocational","1","","",""
"No","2012","(0) in school","vocational + Abi","","","",""
"No","2012","(0) in school","higher vocational","","","",""
"No","2012","(0) in school","higher education","","","",""
"No","2012","(1a) inadequately completed","in school","","","",""
"No","2012","(1a) inadequately completed","inadequately","7","","",""
"No","2012","(1a) inadequately completed","general elemantary","","","",""
"No","2012","(1a) inadequately completed","middle vocational","3","","",""
"No","2012","(1a) inadequately completed","vocational + Abi","","","",""
"No","2012","(1a) inadequately completed","higher vocational","","","",""
"No","2012","(1a) inadequately completed","higher education","","","",""
"No","2012","(1b) general elementary school","in school","","","",""
"No","2012","(1b) general elementary school","inadequately","","","",""
"No","2012","(1b) general elementary school","general elemantary","57","0.0502224750956003","0.0366655713638392","0.0637793788273614"
"No","2012","(1b) general elementary school","middle vocational","","","",""
"No","2012","(1b) general elementary school","vocational + Abi","","","",""
"No","2012","(1b) general elementary school","higher vocational","","","",""
"No","2012","(1b) general elementary school","higher education","","","",""
"No","2012","(1c) basic vocational qualification","in school","","","",""
"No","2012","(1c) basic vocational qualification","inadequately","","","",""
"No","2012","(1c) basic vocational qualification","general elemantary","","","",""
"No","2012","(1c) basic vocational qualification","middle vocational","143","0.0507913056416479","0.0423884967184082","0.0591941145648876"
"No","2012","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","2012","(1c) basic vocational qualification","higher vocational","6","","",""
"No","2012","(1c) basic vocational qualification","higher education","","","",""
"No","2012","(2b) intermediate general qualification","in school","","","",""
"No","2012","(2b) intermediate general qualification","inadequately","","","",""
"No","2012","(2b) intermediate general qualification","general elemantary","26","","",""
"No","2012","(2b) intermediate general qualification","middle vocational","","","",""
"No","2012","(2b) intermediate general qualification","vocational + Abi","","","",""
"No","2012","(2b) intermediate general qualification","higher vocational","","","",""
"No","2012","(2b) intermediate general qualification","higher education","","","",""
"No","2012","(2a) intermediate vocational","in school","","","",""
"No","2012","(2a) intermediate vocational","inadequately","","","",""
"No","2012","(2a) intermediate vocational","general elemantary","","","",""
"No","2012","(2a) intermediate vocational","middle vocational","128","0.0556656954054981","0.0453780589556615","0.0659533318553347"
"No","2012","(2a) intermediate vocational","vocational + Abi","","","",""
"No","2012","(2a) intermediate vocational","higher vocational","11","","",""
"No","2012","(2a) intermediate vocational","higher education","","","",""
"No","2012","(2c_gen) general maturity certificate","in school","","","",""
"No","2012","(2c_gen) general maturity certificate","inadequately","","","",""
"No","2012","(2c_gen) general maturity certificate","general elemantary","","","",""
"No","2012","(2c_gen) general maturity certificate","middle vocational","22","","",""
"No","2012","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No","2012","(2c_gen) general maturity certificate","higher vocational","","","",""
"No","2012","(2c_gen) general maturity certificate","higher education","","","",""
"No","2012","(2c_voc) vocational maturity certificate","in school","","","",""
"No","2012","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No","2012","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No","2012","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No","2012","(2c_voc) vocational maturity certificate","vocational + Abi","34","0.0637754702205053","0.0423144550170423","0.0852364854239684"
"No","2012","(2c_voc) vocational maturity certificate","higher vocational","10","","",""
"No","2012","(2c_voc) vocational maturity certificate","higher education","","","",""
"No","2012","(3a) lower tertiary education","in school","","","",""
"No","2012","(3a) lower tertiary education","inadequately","","","",""
"No","2012","(3a) lower tertiary education","general elemantary","","","",""
"No","2012","(3a) lower tertiary education","middle vocational","","","",""
"No","2012","(3a) lower tertiary education","vocational + Abi","","","",""
"No","2012","(3a) lower tertiary education","higher vocational","","","",""
"No","2012","(3a) lower tertiary education","higher education","45","0.0520289853215067","0.0353734748988523","0.0686844957441611"
"No","2012","(3b) higher tertiary education","in school","","","",""
"No","2012","(3b) higher tertiary education","inadequately","","","",""
"No","2012","(3b) higher tertiary education","general elemantary","","","",""
"No","2012","(3b) higher tertiary education","middle vocational","","","",""
"No","2012","(3b) higher tertiary education","vocational + Abi","","","",""
"No","2012","(3b) higher tertiary education","higher vocational","","","",""
