"ple0162","year","n","percent","lower_confidence","upper_confidence","value"
"No","2012","594","0.0581977711327726","0.0533931417128044","0.0630024005527409","2"
"Yes","2012","8527","0.941802228867227","0.936997599447259","0.946606858287196","1"
"No","2013","588","0.0551256328635202","0.0504726769584713","0.0597785887685691","2"
"Yes","2013","8654","0.94487436713648","0.940221411231431","0.949527323041529","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","817","0.0977624619818557","0.0915388828641143","0.103986041099597","2"
"Yes","2015","7931","0.902237538018144","0.896013958900403","0.908461117135886","1"
"No","2016","196","0.225912646249386","0.198861105364868","0.252964187133903","2"
"Yes","2016","722","0.774087353750614","0.747035812866097","0.801138894635132","1"
"No","2017","562","0.050723230816805","0.0462162661997684","0.0552301954338417","2"
"Yes","2017","8544","0.949276769183195","0.944769804566158","0.953783733800232","1"
"No","2018","21","","","","2"
"Yes","2018","66","0.621456814741997","0.519538635091172","0.723374994392821","1"
"No","2019","728","0.059609563499126","0.0548530655532962","0.0643660614449558","2"
"Yes","2019","8790","0.940390436500874","0.935633938555044","0.945146934446704","1"
