"ple0162","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2012","Not Employed","(0) in school","32","0.710852971446667","0.573741843306089","0.847964099587245"
"Yes","2012","Not Employed","(1a) inadequately completed","119","0.945251897420614","0.90553080962437","0.984972985216857"
"Yes","2012","Not Employed","(1b) general elementary school","729","0.960327193401832","0.946486511490722","0.974167875312942"
"Yes","2012","Not Employed","(1c) basic vocational qualification","1778","0.96381981600317","0.95531966702921","0.972319964977129"
"Yes","2012","Not Employed","(2b) intermediate general qualification","103","0.913220590514003","0.861316084508432","0.965125096519574"
"Yes","2012","Not Employed","(2a) intermediate vocational","831","0.954917586714225","0.941185554352131","0.968649619076319"
"Yes","2012","Not Employed","(2c_gen) general maturity certificate","87","0.922469595897371","0.868407084234858","0.976532107559883"
"Yes","2012","Not Employed","(2c_voc) vocational maturity certificate","206","0.9766119871137","0.956219765092226","0.997004209135173"
"Yes","2012","Not Employed","(3a) lower tertiary education","311","0.967183441256927","0.947873757566672","0.986493124947182"
"Yes","2012","Not Employed","(3b) higher tertiary education","401","0.926731697308698","0.902131163544625","0.951332231072771"
"Yes","2012","Employed","(0) in school","13","","",""
"Yes","2012","Employed","(1a) inadequately completed","65","0.946080943036028","0.892398913600037","0.999762972472019"
"Yes","2012","Employed","(1b) general elementary school","235","0.917333749915391","0.883666368882801","0.95100113094798"
"Yes","2012","Employed","(1c) basic vocational qualification","895","0.922565124426058","0.905727639059045","0.93940260979307"
"Yes","2012","Employed","(2b) intermediate general qualification","83","0.826705676775606","0.752147012018757","0.901264341532455"
"Yes","2012","Employed","(2a) intermediate vocational","1196","0.938765543155396","0.925676794208067","0.951854292102725"
"Yes","2012","Employed","(2c_gen) general maturity certificate","81","0.824459923640921","0.748359795009416","0.900560052272426"
"Yes","2012","Employed","(2c_voc) vocational maturity certificate","400","0.908794942291362","0.881863584924282","0.935726299658442"
"Yes","2012","Employed","(3a) lower tertiary education","327","0.928066054087737","0.901226241565941","0.954905866609533"
"Yes","2012","Employed","(3b) higher tertiary education","514","0.920312955221636","0.898022538385557","0.942603372057714"
"No","2012","Not Employed","(0) in school","10","","",""
"No","2012","Not Employed","(1a) inadequately completed","7","","",""
"No","2012","Not Employed","(1b) general elementary school","35","0.0396728065981684","0.0258321246870584","0.0535134885092784"
"No","2012","Not Employed","(1c) basic vocational qualification","76","0.0361801839968301","0.0276800350228705","0.0446803329707896"
"No","2012","Not Employed","(2b) intermediate general qualification","10","","",""
"No","2012","Not Employed","(2a) intermediate vocational","46","0.045082413285775","0.0313503809236806","0.0588144456478695"
"No","2012","Not Employed","(2c_gen) general maturity certificate","7","","",""
"No","2012","Not Employed","(2c_voc) vocational maturity certificate","5","","",""
"No","2012","Not Employed","(3a) lower tertiary education","16","","",""
"No","2012","Not Employed","(3b) higher tertiary education","30","0.0732683026913018","0.0486677689272288","0.0978688364553748"
"No","2012","Employed","(0) in school","2","","",""
"No","2012","Employed","(1a) inadequately completed","3","","",""
"No","2012","Employed","(1b) general elementary school","22","","",""
"No","2012","Employed","(1c) basic vocational qualification","73","0.0774348755739422","0.0605973902069297","0.0942723609409547"
"No","2012","Employed","(2b) intermediate general qualification","16","","",""
"No","2012","Employed","(2a) intermediate vocational","93","0.0612344568446043","0.0481457078972754","0.0743232057919333"
"No","2012","Employed","(2c_gen) general maturity certificate","15","","",""
"No","2012","Employed","(2c_voc) vocational maturity certificate","39","0.0912050577086382","0.0642737003415582","0.118136415075718"
"No","2012","Employed","(3a) lower tertiary education","29","","",""
"No","2012","Employed","(3b) higher tertiary education","53","0.0796870447783644","0.0573966279422862","0.101977461614443"
"Yes","2013","Not Employed","(0) in school","47","0.994981418740732","0.975195873791725","1.01476696368974"
"Yes","2013","Not Employed","(1a) inadequately completed","214","0.944782356048217","0.914938038309684","0.97462667378675"
