"ple0162","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2012","16-34 y.","(Married) couple without C. ","13","","","","2"
"No","2012","16-34 y.","1-pers.-HH","7","","","","2"
"No","2012","16-34 y.","Couple + C. GT 16 ","11","","","","2"
"No","2012","16-34 y.","Couple + C. LE and GT 16","13","","","","2"
"No","2012","16-34 y.","Single parent ","18","","","","2"
"No","2012","16-34 y.","Couple + C. LE 16 ","39","0.127899003389297","0.0923992280937509","0.163398778684843","2"
"No","2012","35-65 y.","(Married) couple without C. ","97","0.0691923494891757","0.0564677118172263","0.0819169871611251","2"
"No","2012","35-65 y.","Single parent ","41","0.0620938486884813","0.0433532976524519","0.0808343997245107","2"
"No","2012","35-65 y.","Couple + C. LE 16 ","82","0.087440090511362","0.0704268867692151","0.104453294253509","2"
"No","2012","66 and older","1-pers.-HH","51","0.0526490158072466","0.0382490092687381","0.0670490223457551","2"
"No","2012","66 and older","(Married) couple without C. ","96","0.0403914438175364","0.0317545104889437","0.0490283771461291","2"
"No","2012","66 and older","Couple + C. GT 16 ","1","","","","2"
"No","2012","66 and older","Couple + C. LE and GT 16","","","","","2"
"No","2012","35-65 y.","1-pers.-HH","33","0.039554827342675","0.0250010905728245","0.0541085641125256","2"
"No","2012","35-65 y.","Couple + C. GT 16 ","46","0.0587430707733552","0.0405112485343635","0.0769748930123469","2"
"No","2012","35-65 y.","Couple + C. LE and GT 16","33","0.0739467366151629","0.0486168262911955","0.0992766469391303","2"
"No","2012","66 and older","Single parent ","3","","","","2"
"No","2012","66 and older","Couple + C. LE 16 ","","","","","2"
"Yes","2012","16-34 y.","1-pers.-HH","91","0.91813252472589","0.863852074894687","0.972412974557093","1"
"Yes","2012","16-34 y.","(Married) couple without C. ","102","0.880367583769056","0.821053800019986","0.939681367518127","1"
"Yes","2012","16-34 y.","Single parent ","142","0.904371421347861","0.858803904264529","0.949938938431193","1"
"Yes","2012","16-34 y.","Couple + C. LE 16 ","301","0.872100996610703","0.836601221315157","0.907600771906249","1"
"Yes","2012","16-34 y.","Couple + C. GT 16 ","84","0.919838441222264","0.865234355110907","0.97444252733362","1"
"Yes","2012","16-34 y.","Couple + C. LE and GT 16","62","0.863655087189345","0.785993350816488","0.941316823562202","1"
"Yes","2012","35-65 y.","1-pers.-HH","656","0.960445172657325","0.945891435887474","0.974998909427176","1"
"Yes","2012","35-65 y.","(Married) couple without C. ","1431","0.930807650510824","0.918083012838875","0.943532288182774","1"
"Yes","2012","35-65 y.","Single parent ","596","0.937906151311519","0.919165600275489","0.956646702347548","1"
