"ple0162","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2012","1-pers.-HH","91","0.0491444242029127","0.0389016525581628","0.0593871958476626","2"
"No","2012","Single parent ","62","0.0674134081085702","0.0505870045441671","0.0842398116729732","2"
"No","2012","(Married) couple without C. ","206","0.0553335878013456","0.0479052658953378","0.0627619097073534","2"
"No","2012","Couple + C. LE 16 ","121","0.0966231440426164","0.081174691204013","0.11207159688122","2"
"No","2012","Couple + C. GT 16 ","58","0.0586328763412562","0.0425722567497442","0.0746934959327681","2"
"No","2012","Couple + C. LE and GT 16","46","0.0851541671031966","0.060339590686249","0.109968743520144","2"
"Yes","2012","1-pers.-HH","1620","0.950855575797087","0.940612804152337","0.961098347441837","1"
"Yes","2012","(Married) couple without C. ","3433","0.944666412198654","0.937238090292646","0.952094734104662","1"
"Yes","2012","Single parent ","791","0.93258659189143","0.915760188327027","0.949412995455833","1"
"Yes","2012","Couple + C. LE 16 ","1284","0.903376855957384","0.88792840311878","0.918825308795987","1"
"Yes","2012","Couple + C. GT 16 ","764","0.941367123658744","0.925306504067232","0.957427743250256","1"
"Yes","2012","Couple + C. LE and GT 16","440","0.914845832896803","0.890031256479856","0.939660409313751","1"
"No","2013","1-pers.-HH","87","0.0499235383562593","0.0393540717965745","0.0604930049159441","2"
"No","2013","Single parent ","68","0.0754134744702176","0.0578973015368696","0.0929296474035656","2"
"No","2013","(Married) couple without C. ","165","0.0492116067608569","0.0420113683237009","0.0564118451980129","2"
"No","2013","Couple + C. LE 16 ","150","0.101034552806292","0.0858838507217796","0.116185254890804","2"
"No","2013","Couple + C. GT 16 ","62","0.050895387308482","0.0361634016456869","0.065627372971277","2"
"No","2013","Couple + C. LE and GT 16","34","0.0690332301605775","0.0482397958768225","0.0898266644443324","2"
"Yes","2013","1-pers.-HH","1544","0.950076461643741","0.939506995084056","0.960645928203426","1"
"Yes","2013","(Married) couple without C. ","3302","0.950788393239143","0.943588154801987","0.957988631676299","1"
"Yes","2013","Single parent ","805","0.924586525529782","0.907070352596434","0.94210269846313","1"
"Yes","2013","Couple + C. LE 16 ","1370","0.898965447193708","0.883814745109196","0.91411614927822","1"
"Yes","2013","Couple + C. GT 16 ","793","0.949104612691518","0.934372627028723","0.963836598354313","1"
"Yes","2013","Couple + C. LE and GT 16","537","0.930966769839423","0.910173335555668","0.951760204123177","1"
"No","2014","1-pers.-HH","","","","","2"
"No","2014","(Married) couple without C. ","","","","","2"
"No","2014","Single parent ","","","","","2"
"No","2014","Couple + C. LE 16 ","","","","","2"
"No","2014","Couple + C. GT 16 ","","","","","2"
"No","2014","Couple + C. LE and GT 16","","","","","2"
"Yes","2014","1-pers.-HH","","","","","1"
"Yes","2014","Single parent ","","","","","1"
"Yes","2014","Couple + C. LE 16 ","","","","","1"
"Yes","2014","(Married) couple without C. ","","","","","1"
"Yes","2014","Couple + C. GT 16 ","","","","","1"
