"ple0162","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2012","16-34 y.","Urban Area","67","0.115708218168762","0.0894944186306149","0.141922017706909","2"
"No","2012","35-65 y.","Urban Area","206","0.0604357149909728","0.0520863126062883","0.0687851173756574","2"
"No","2012","16-34 y.","Rural Area","36","0.0846860342767464","0.0546926800581605","0.114679388495332","2"
"No","2012","35-65 y.","Rural Area","133","0.0636074232202187","0.0527808487721587","0.0744339976682788","2"
"No","2012","66 and older","Urban Area","100","0.045980081287067","0.0367478145219308","0.0552123480522031","2"
"No","2012","66 and older","Rural Area","52","0.040885639083528","0.0294899736937108","0.0522813044733453","2"
"Yes","2012","16-34 y.","Urban Area","505","0.884291781831238","0.858077982293091","0.910505581369385","1"
"Yes","2012","16-34 y.","Rural Area","295","0.915313965723254","0.885320611504668","0.945307319941839","1"
"Yes","2012","35-65 y.","Urban Area","2923","0.939564285009027","0.931214882624343","0.947913687393712","1"
"Yes","2012","35-65 y.","Rural Area","1819","0.936392576779781","0.925566002331721","0.947219151227841","1"
"Yes","2012","66 and older","Urban Area","1877","0.954019918712933","0.944787651947797","0.963252185478069","1"
"Yes","2012","66 and older","Rural Area","1108","0.959114360916472","0.947718695526655","0.970510026306289","1"
"No","2013","16-34 y.","Urban Area","72","0.127890150592079","0.1032027949448","0.152577506239358","2"
"No","2013","35-65 y.","Urban Area","239","0.0592941545047209","0.0513156058663765","0.0672727031430653","2"
"No","2013","16-34 y.","Rural Area","36","0.0925927606099782","0.0613189532075114","0.123866568012445","2"
"No","2013","35-65 y.","Rural Area","122","0.0565937134898259","0.0463485406339508","0.066838886345701","2"
"No","2013","66 and older","Urban Area","77","0.0370934613884775","0.0284838087425725","0.0457031140343825","2"
"No","2013","66 and older","Rural Area","42","0.0436516254658328","0.0312220101913746","0.056081240740291","2"
"Yes","2013","16-34 y.","Urban Area","631","0.872109849407921","0.847422493760642","0.8967972050552","1"
"Yes","2013","16-34 y.","Rural Area","294","0.907407239390022","0.876133431987555","0.938681046792489","1"
"Yes","2013","35-65 y.","Urban Area","3127","0.940705845495279","0.932727296856935","0.948684394133623","1"
"Yes","2013","35-65 y.","Rural Area","1832","0.943406286510174","0.933161113654299","0.953651459366049","1"
"Yes","2013","66 and older","Urban Area","1774","0.962906538611523","0.954296885965618","0.971516191257427","1"
"Yes","2013","66 and older","Rural Area","996","0.956348374534167","0.943918759259709","0.968777989808625","1"
"No","2014","16-34 y.","Urban Area","","","","","2"
"No","2014","16-34 y.","Rural Area","","","","","2"
"No","2014","35-65 y.","Urban Area","","","","","2"
"No","2014","35-65 y.","Rural Area","","","","","2"
"No","2014","66 and older","Urban Area","","","","","2"
"No","2014","66 and older","Rural Area","","","","","2"
"Yes","2014","16-34 y.","Urban Area","","","","","1"
"Yes","2014","35-65 y.","Urban Area","","","","","1"
"Yes","2014","35-65 y.","Rural Area","","","","","1"
"Yes","2014","16-34 y.","Rural Area","","","","","1"
"Yes","2014","66 and older","Urban Area","","","","","1"
"Yes","2014","66 and older","Rural Area","","","","","1"
"No","2015","16-34 y.","Urban Area","98","0.1785368494001","0.149005056878442","0.208068641921759","2"
"No","2015","16-34 y.","Rural Area","46","0.208892793000594","0.16414229643722","0.253643289563969","2"
"No","2015","35-65 y.","Urban Area","290","0.0942934669857264","0.0839728114056335","0.104614122565819","2"
"No","2015","35-65 y.","Rural Area","196","0.132652474885142","0.116894792585061","0.148410157185223","2"
"No","2015","66 and older","Urban Area","117","0.0613125393577044","0.050433393108727","0.0721916856066818","2"
"No","2015","66 and older","Rural Area","70","0.072047580719268","0.0564598407399189","0.0876353206986171","2"
"Yes","2015","16-34 y.","Urban Area","548","0.8214631505999","0.791931358078241","0.850994943121559","1"
"Yes","2015","16-34 y.","Rural Area","271","0.791107206999406","0.746356710436031","0.83585770356278","1"
"Yes","2015","35-65 y.","Urban Area","2790","0.905706533014274","0.895385877434181","0.916027188594366","1"
"Yes","2015","35-65 y.","Rural Area","1584","0.867347525114858","0.851589842814777","0.883105207414939","1"
"Yes","2015","66 and older","Urban Area","1751","0.938687460642295","0.927808314393318","0.949566606891273","1"
"Yes","2015","66 and older","Rural Area","987","0.927952419280732","0.912364679301383","0.943540159260081","1"
"No","2016","16-34 y.","Urban Area","77","0.303768274168831","0.245342062999912","0.362194485337751","2"
"No","2016","16-34 y.","Rural Area","37","0.273367244883693","0.202043656509887","0.3446908332575","2"
"No","2016","35-65 y.","Urban Area","56","0.15241024319652","0.114429033087249","0.19039145330579","2"
"No","2016","35-65 y.","Rural Area","26","","","","2"
"No","2016","66 and older","Urban Area","","","","","2"
"No","2016","66 and older","Rural Area","","","","","2"
