"ple0162","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Schleswig-Holstein","Part Time","9","","","","2"
"No","2012","Berlin","Part Time","5","","","","2"
"No","2012","Brandenburg","Part Time","6","","","","2"
"No","2012","Brandenburg","Not Working","13","","","","2"
"No","2012","Schleswig-Holstein","Full Time","16","","","","2"
"No","2012","Saxony-Anhalt","Part Time","4","","","","2"
"No","2012","Saxony-Anhalt","Not Working","15","","","","2"
"No","2012","Brandenburg","Full Time","7","","","","2"
"No","2012","Hamburg","Part Time","1","","","","2"
"No","2012","Hamburg","Not Working","6","","","","2"
"No","2012","Berlin","Not Working","9","","","","2"
"No","2012","Lower Saxony","Part Time","24","","","","2"
"No","2012","Lower Saxony","Not Working","27","","","","2"
"No","2012","Bremen","Full Time","1","","","","2"
"No","2012","Bremen","Part Time","1","","","","2"
"No","2012","Saxony","Not Working","10","","","","2"
"No","2012","Saxony-Anhalt","Full Time","5","","","","2"
"No","2012","Schleswig-Holstein","Not Working","6","","","","2"
"No","2012","Hamburg","Full Time","2","","","","2"
"No","2012","Mecklenburg-Western Pomerania","Full Time","5","","","","2"
"No","2012","Mecklenburg-Western Pomerania","Part Time","1","","","","2"
"No","2012","Mecklenburg-Western Pomerania","Not Working","9","","","","2"
"No","2012","Saxony","Full Time","14","","","","2"
"No","2012","Saxony","Part Time","10","","","","2"
"No","2012","Lower Saxony","Full Time","23","","","","2"
"No","2012","Bavaria","Part Time","24","","","","2"
"No","2012","Bavaria","Not Working","25","","","","2"
"No","2012","Berlin","Full Time","7","","","","2"
"No","2012","Thuringia","Full Time","9","","","","2"
"No","2012","Thuringia","Part Time","3","","","","2"
"No","2012","Thuringia","Not Working","12","","","","2"
"No","2012","Bremen","Not Working","1","","","","2"
"No","2012","North Rhine-Westphalia","Full Time","33","0.0508633712455626","0.0302630349360938","0.0714637075550313","2"
"No","2012","North Rhine-Westphalia","Part Time","28","","","","2"
"No","2012","North Rhine-Westphalia","Not Working","49","0.0473601965969022","0.0333183325653265","0.0614020606284778","2"
"No","2012","Hesse","Full Time","11","","","","2"
"No","2012","Hesse","Part Time","8","","","","2"
"No","2012","Hesse","Not Working","15","","","","2"
"No","2012","Rhineland-Palatinate,Saarland","Full Time","19","","","","2"
"No","2012","Rhineland-Palatinate,Saarland","Part Time","10","","","","2"
"No","2012","Rhineland-Palatinate,Saarland","Not Working","20","","","","2"
"No","2012","Baden-Württemberg","Full Time","20","","","","2"
"No","2012","Baden-Württemberg","Part Time","23","","","","2"
"No","2012","Baden-Württemberg","Not Working","27","","","","2"
"No","2012","Bavaria","Full Time","21","","","","2"
"Yes","2012","Schleswig-Holstein","Full Time","62","0.884491325386797","0.813557255421323","0.955425395352272","1"
