"ple0162","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Couple + C. GT 16 ","Rural Area","24","","","","2"
"No","2012","(Married) couple without C. ","Rural Area","75","0.0442049347826878","0.0335251276447293","0.0548847419206463","2"
"No","2012","Couple + C. GT 16 ","Urban Area","34","0.0553297842312046","0.0352502784461116","0.0754092900162976","2"
"No","2012","Couple + C. LE and GT 16","Urban Area","32","0.0965815993912292","0.0626430513021109","0.130520147480347","2"
"No","2012","Couple + C. LE and GT 16","Rural Area","14","","","","2"
"No","2012","1-pers.-HH","Rural Area","39","0.0631890907782959","0.0437535392910704","0.0826246422655213","2"
"No","2012","(Married) couple without C. ","Urban Area","131","0.0614243364646928","0.0514273732417131","0.0714212996876726","2"
"No","2012","1-pers.-HH","Urban Area","52","0.0431384182555989","0.0311809569176609","0.055095879593537","2"
"No","2012","Single parent ","Urban Area","41","0.0739624918185377","0.0520905771815502","0.0958344064555253","2"
"No","2012","Single parent ","Rural Area","21","","","","2"
"No","2012","Couple + C. LE 16 ","Urban Area","76","0.0937200011492228","0.0748053640949259","0.11263463820352","2"
"No","2012","Couple + C. LE 16 ","Rural Area","45","0.102229973850398","0.0754878246813734","0.128972123019423","2"
"Yes","2012","1-pers.-HH","Urban Area","1057","0.956861581744401","0.944904120406463","0.968819043082339","1"
"Yes","2012","1-pers.-HH","Rural Area","563","0.936810909221704","0.917375357734479","0.95624646070893","1"
"Yes","2012","(Married) couple without C. ","Urban Area","2085","0.938575663535307","0.928578700312327","0.948572626758287","1"
"Yes","2012","(Married) couple without C. ","Rural Area","1348","0.955795065217312","0.945115258079354","0.966474872355271","1"
"Yes","2012","Single parent ","Urban Area","509","0.926037508181462","0.904165593544475","0.94790942281845","1"
"Yes","2012","Single parent ","Rural Area","282","0.945800680622807","0.920307530450705","0.971293830794908","1"
"Yes","2012","Couple + C. LE 16 ","Urban Area","836","0.906279998850777","0.88736536179648","0.925194635905074","1"
"Yes","2012","Couple + C. LE 16 ","Rural Area","448","0.897770026149602","0.871027876980577","0.924512175318627","1"
"Yes","2012","Couple + C. GT 16 ","Urban Area","464","0.944670215768795","0.924590709983702","0.964749721553888","1"
"Yes","2012","Couple + C. GT 16 ","Rural Area","300","0.935176190079398","0.908366636483229","0.961985743675567","1"
"Yes","2012","Couple + C. LE and GT 16","Urban Area","259","0.903418400608771","0.869479852519653","0.937356948697889","1"
"Yes","2012","Couple + C. LE and GT 16","Rural Area","181","0.934001130691312","0.899153541849556","0.968848719533067","1"
"No","2013","Couple + C. GT 16 ","Urban Area","43","0.0538344596253026","0.0351752314417821","0.072493687808823","2"
"No","2013","Couple + C. GT 16 ","Rural Area","19","","","","2"
"No","2013","1-pers.-HH","Rural Area","27","","","","2"
"No","2013","Couple + C. LE and GT 16","Rural Area","11","","","","2"
