"ple0162","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Couple + C. GT 16 ","Female","32","0.0661351806134286","0.0422250294333062","0.090045331793551","2"
"No","2012","(Married) couple without C. ","Female","98","0.0522674125022615","0.0420841142401942","0.0624507107643288","2"
"No","2012","Couple + C. GT 16 ","Male","26","","","","2"
"No","2012","Couple + C. LE and GT 16","Male","17","","","","2"
"No","2012","Couple + C. LE and GT 16","Female","29","","","","2"
"No","2012","1-pers.-HH","Female","57","0.0529706808082399","0.0398943583181703","0.0660470032983096","2"
"No","2012","(Married) couple without C. ","Male","108","0.0584804312217889","0.0476523929265369","0.0693084695170409","2"
"No","2012","1-pers.-HH","Male","34","0.0423031784450853","0.0259785919195296","0.0586277649706409","2"
"No","2012","Single parent ","Male","14","","","","2"
"No","2012","Single parent ","Female","48","0.0624672431426147","0.044653943694325","0.0802805425909045","2"
"No","2012","Couple + C. LE 16 ","Male","49","0.0874098193162862","0.0659436141740738","0.108876024458499","2"
"No","2012","Couple + C. LE 16 ","Female","72","0.105686640316109","0.0835359565698012","0.127837324062416","2"
"Yes","2012","1-pers.-HH","Male","550","0.957696821554915","0.941372235029359","0.97402140808047","1"
"Yes","2012","1-pers.-HH","Female","1070","0.94702931919176","0.93395299670169","0.96010564168183","1"
"Yes","2012","(Married) couple without C. ","Male","1696","0.941519568778211","0.930691530482959","0.952347607073463","1"
"Yes","2012","(Married) couple without C. ","Female","1737","0.947732587497738","0.937549289235671","0.957915885759806","1"
"Yes","2012","Single parent ","Male","130","0.916697799974396","0.871563347835014","0.961832252113778","1"
"Yes","2012","Single parent ","Female","661","0.937532756857385","0.919719457409095","0.955346056305675","1"
"Yes","2012","Couple + C. LE 16 ","Male","616","0.912590180683714","0.891123975541501","0.934056385825926","1"
"Yes","2012","Couple + C. LE 16 ","Female","668","0.894313359683891","0.872162675937584","0.916464043430199","1"
"Yes","2012","Couple + C. GT 16 ","Male","381","0.948083140630378","0.926529119484283","0.969637161776472","1"
"Yes","2012","Couple + C. GT 16 ","Female","383","0.933864819386571","0.909954668206449","0.957774970566694","1"
"Yes","2012","Couple + C. LE and GT 16","Male","213","0.942776940321057","0.912759463324345","0.972794417317768","1"
"Yes","2012","Couple + C. LE and GT 16","Female","227","0.881556007541977","0.841972927728802","0.921139087355152","1"
"No","2013","Couple + C. GT 16 ","Male","28","","","","2"
"No","2013","Couple + C. GT 16 ","Female","34","0.0489356051379555","0.0283769192761578","0.0694942909997532","2"
"No","2013","1-pers.-HH","Female","57","0.0483961924052921","0.0354893646147453","0.0613030201958389","2"
"No","2013","Couple + C. LE and GT 16","Female","18","","","","2"
"No","2013","(Married) couple without C. ","Female","86","0.043779863240669","0.0342236780833521","0.053336048397986","2"
"No","2013","Couple + C. LE and GT 16","Male","16","","","","2"
"No","2013","1-pers.-HH","Male","30","0.0527189070317392","0.0343571349914474","0.071080679072031","2"
"No","2013","(Married) couple without C. ","Male","79","0.0548811458714903","0.044073941201636","0.0656883505413445","2"
"No","2013","Single parent ","Male","8","","","","2"
"No","2013","Single parent ","Female","60","0.0785646942449942","0.0590468073196157","0.0980825811703726","2"
"No","2013","Couple + C. LE 16 ","Male","71","0.0859007649449351","0.0655872727810891","0.106214257108781","2"
"No","2013","Couple + C. LE 16 ","Female","79","0.116930588424876","0.0945087572718578","0.139352419577893","2"
"Yes","2013","1-pers.-HH","Male","539","0.947281092968261","0.928919320927969","0.965642865008553","1"
"Yes","2013","1-pers.-HH","Female","1005","0.951603807594708","0.938696979804161","0.964510635385255","1"
"Yes","2013","(Married) couple without C. ","Male","1627","0.94511885412851","0.934311649458655","0.955926058798364","1"
"Yes","2013","(Married) couple without C. ","Female","1675","0.956220136759331","0.946663951602014","0.965776321916648","1"
"Yes","2013","Single parent ","Male","135","0.936050699347845","0.895950395992506","0.976151002703183","1"
"Yes","2013","Single parent ","Female","670","0.921435305755006","0.901917418829627","0.940953192680384","1"
"Yes","2013","Couple + C. LE 16 ","Male","660","0.914099235055065","0.893785742891219","0.934412727218911","1"
"Yes","2013","Couple + C. LE 16 ","Female","710","0.883069411575125","0.860647580422107","0.905491242728142","1"
"Yes","2013","Couple + C. GT 16 ","Male","404","0.947431168018622","0.926386396485574","0.96847593955167","1"
"Yes","2013","Couple + C. GT 16 ","Female","389","0.951064394862045","0.930505709000247","0.971623080723842","1"
"Yes","2013","Couple + C. LE and GT 16","Male","245","0.945381984246434","0.917814352581108","0.97294961591176","1"
"Yes","2013","Couple + C. LE and GT 16","Female","292","0.916748757899045","0.88599573793734","0.947501777860751","1"
"No","2014","Couple + C. GT 16 ","Male","","","","","2"
"No","2014","Couple + C. GT 16 ","Female","","","","","2"
"No","2014","Couple + C. LE and GT 16","Male","","","","","2"
"No","2014","Couple + C. LE and GT 16","Female","","","","","2"
"No","2014","1-pers.-HH","Male","","","","","2"
"No","2014","1-pers.-HH","Female","","","","","2"
"No","2014","(Married) couple without C. ","Female","","","","","2"
"No","2014","(Married) couple without C. ","Male","","","","","2"
"No","2014","Single parent ","Male","","","","","2"
"No","2014","Single parent ","Female","","","","","2"
"No","2014","Couple + C. LE 16 ","Male","","","","","2"
"No","2014","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2014","Single parent ","Male","","","","","1"
"Yes","2014","Single parent ","Female","","","","","1"
"Yes","2014","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2014","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2014","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2014","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2014","1-pers.-HH","Male","","","","","1"
"Yes","2014","1-pers.-HH","Female","","","","","1"
"Yes","2014","(Married) couple without C. ","Male","","","","","1"
"Yes","2014","(Married) couple without C. ","Female","","","","","1"
"No","2015","1-pers.-HH","Male","59","0.107715412863644","0.0826572026154557","0.132773623111832","2"
"No","2015","1-pers.-HH","Female","62","0.054359169306177","0.0408373313566884","0.0678810072556655","2"
"No","2015","(Married) couple without C. ","Male","135","0.0937698064763413","0.0796571299271021","0.10788248302558","2"
"No","2015","(Married) couple without C. ","Female","152","0.0862345415757554","0.0730826849820227","0.099386398169488","2"
"No","2015","Couple + C. GT 16 ","Male","59","0.225213924842222","0.185120921841545","0.265306927842898","2"
"No","2015","Couple + C. GT 16 ","Female","50","0.118103618087058","0.0880507026377133","0.148156533536403","2"
"No","2015","Couple + C. LE and GT 16","Male","32","0.173757392712359","0.125416181406875","0.222098604017842","2"
"No","2015","Couple + C. LE and GT 16","Female","27","","","","2"
"No","2015","Single parent ","Male","10","","","","2"
"No","2015","Single parent ","Female","54","0.116678130724428","0.0914080593210619","0.141948202127793","2"
"No","2015","Couple + C. LE 16 ","Male","70","0.130871537544602","0.103680928265971","0.158062146823232","2"
