"ple0162","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Full Time","no migration background","163","0.0829425659726991","0.0705349887084171","0.095350143236981","2"
"No","2012","Full Time","indirect migration background","13","","","","2"
"No","2012","Part Time","no migration background","135","0.070453319324115","0.0583522752404544","0.0825543634077757","2"
"No","2012","Part Time","direct migration background","16","","","","2"
"No","2012","Not Working","no migration background","213","0.0423966633448884","0.0364020401346814","0.0483912865550954","2"
"No","2012","Not Working","direct migration background","24","","","","2"
"No","2012","Not Working","indirect migration background","7","","","","2"
"No","2012","Full Time","direct migration background","17","","","","2"
"No","2012","Part Time","indirect migration background","6","","","","2"
"Yes","2012","Full Time","no migration background","1735","0.917057434027301","0.904649856763019","0.929465011291583","1"
"Yes","2012","Full Time","direct migration background","182","0.935961718028433","0.901946721433339","0.969976714623528","1"
"Yes","2012","Full Time","indirect migration background","85","0.832916707944049","0.759057890146296","0.906775525741803","1"
"Yes","2012","Part Time","no migration background","1583","0.929546680675885","0.917445636592224","0.941647724759546","1"
"Yes","2012","Part Time","direct migration background","188","0.914024637664548","0.875556694484996","0.9524925808441","1"
"Yes","2012","Part Time","indirect migration background","89","0.944036876471597","0.897816684907137","0.990257068036056","1"
"Yes","2012","Not Working","no migration background","4127","0.957603336655112","0.951608713444905","0.963597959865319","1"
"Yes","2012","Not Working","direct migration background","467","0.950734039873757","0.931591024758822","0.969877054988693","1"
"Yes","2012","Not Working","indirect migration background","71","0.954981035139372","0.908966407110854","1.00099566316789","1"
"No","2013","Full Time","no migration background","152","0.0849835867597347","0.0717394780285135","0.0982276954909558","2"
"No","2013","Part Time","direct migration background","11","","","","2"
"No","2013","Part Time","no migration background","133","0.0838348121762041","0.0704136466413065","0.0972559777111017","2"
"No","2013","Full Time","indirect migration background","6","","","","2"
"No","2013","Full Time","direct migration background","24","","","","2"
"No","2013","Part Time","indirect migration background","5","","","","2"
"No","2013","Not Working","no migration background","149","0.0353179617558954","0.0295485538068352","0.0410873697049555","2"
"No","2013","Not Working","direct migration background","89","0.050990251865574","0.0386967828598138","0.0632837208713342","2"
"No","2013","Not Working","indirect migration background","19","","","","2"
"Yes","2013","Full Time","no migration background","1551","0.915016413240265","0.901772304509044","0.928260521971486","1"
"Yes","2013","Full Time","direct migration background","156","0.927596087399656","0.889736810897566","0.965455363901746","1"
