"ple0162","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2012","16-34 y.","in school","44","0.784791469466831","0.676180516524538","0.893402422409123"
"Yes","2012","16-34 y.","inadequately","34","0.985926626391462","0.947971657892898","1.02388159489003"
"Yes","2012","16-34 y.","general elemantary","142","0.84526916687241","0.791378819240813","0.899159514504007"
"Yes","2012","16-34 y.","middle vocational","362","0.890256530754556","0.859663476886689","0.920849584622422"
"Yes","2012","16-34 y.","vocational + Abi","64","0.923924030106844","0.861816972960443","0.986031087253246"
"Yes","2012","16-34 y.","higher vocational","20","","",""
"Yes","2012","16-34 y.","higher education","82","0.970460054812222","0.934882004960909","1.00603810466353"
"Yes","2012","35-65 y.","in school","","","",""
"Yes","2012","35-65 y.","inadequately","87","1","1","1"
"Yes","2012","35-65 y.","general elemantary","446","0.945511189504592","0.925055952271091","0.965966426738093"
"Yes","2012","35-65 y.","middle vocational","2611","0.941553400333669","0.932853491011557","0.95025330965578"
"Yes","2012","35-65 y.","vocational + Abi","336","0.92458082097604","0.897378425748483","0.951783216203596"
"Yes","2012","35-65 y.","higher vocational","350","0.960446444229745","0.940451002577309","0.980441885882181"
"Yes","2012","35-65 y.","higher education","899","0.91272961027409","0.895122258445993","0.930336962102188"
"Yes","2012","66 and older","in school","","","",""
"Yes","2012","66 and older","inadequately","41","0.892929839831856","0.80258887415913","0.983270805504581"
"Yes","2012","66 and older","general elemantary","538","0.952676960602279","0.935138032819763","0.970215888384796"
"Yes","2012","66 and older","middle vocational","1533","0.957218812265993","0.947337096626507","0.967100527905479"
"Yes","2012","66 and older","vocational + Abi","64","0.973652422445636","0.935011414769837","1.01229343012143"
"Yes","2012","66 and older","higher vocational","218","0.96002921609976","0.934490007860959","0.985568424338562"
"Yes","2012","66 and older","higher education","572","0.954468917935974","0.937884943240689","0.971052892631259"
"No","2012","16-34 y.","in school","11","","",""
"No","2012","16-34 y.","inadequately","3","","",""
"No","2012","16-34 y.","general elemantary","31","0.15473083312759","0.100840485495993","0.208621180759187"
"No","2012","16-34 y.","middle vocational","39","0.109743469245444","0.079150415377578","0.14033652311331"
"No","2012","16-34 y.","vocational + Abi","6","","",""
"No","2012","16-34 y.","higher vocational","4","","",""
"No","2012","16-34 y.","higher education","5","","",""
"No","2012","35-65 y.","in school","","","",""
"No","2012","35-65 y.","inadequately","","","",""
"No","2012","35-65 y.","general elemantary","27","","",""
"No","2012","35-65 y.","middle vocational","182","0.0584465996663314","0.0497466903442203","0.0671465089884425"
"No","2012","35-65 y.","vocational + Abi","26","","",""
"No","2012","35-65 y.","higher vocational","15","","",""
