"ple0162","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2012","1-pers.-HH","direct migration background","2","","","","2"
"No","2012","1-pers.-HH","no migration background","87","0.0513640452705742","0.0404416970143922","0.0622863935267562","2"
"No","2012","(Married) couple without C. ","direct migration background","17","","","","2"
"No","2012","(Married) couple without C. ","indirect migration background","4","","","","2"
"No","2012","1-pers.-HH","indirect migration background","2","","","","2"
"No","2012","(Married) couple without C. ","no migration background","185","0.0526026523686303","0.0449987172172947","0.0602065875199659","2"
"No","2012","Single parent ","direct migration background","6","","","","2"
"No","2012","Single parent ","indirect migration background","3","","","","2"
"No","2012","Couple + C. LE 16 ","no migration background","95","0.0926865190461705","0.0757783789684194","0.109594659123922","2"
"No","2012","Couple + C. GT 16 ","no migration background","52","0.0626073380320688","0.0447879694624088","0.0804267066017288","2"
"No","2012","Couple + C. GT 16 ","direct migration background","6","","","","2"
"No","2012","Couple + C. LE and GT 16","direct migration background","10","","","","2"
"No","2012","Couple + C. LE and GT 16","indirect migration background","5","","","","2"
"No","2012","Single parent ","no migration background","53","0.0717912311253641","0.0528962245608363","0.0906862376898918","2"
"No","2012","Couple + C. LE 16 ","direct migration background","14","","","","2"
"No","2012","Couple + C. LE 16 ","indirect migration background","12","","","","2"
"No","2012","Couple + C. GT 16 ","indirect migration background","","","","","2"
"No","2012","Couple + C. LE and GT 16","no migration background","31","0.0609585208948081","0.036480592649708","0.0854364491399083","2"
"Yes","2012","1-pers.-HH","no migration background","1482","0.948635954729426","0.937713606473244","0.959558302985608","1"
"Yes","2012","1-pers.-HH","direct migration background","108","0.981235729939713","0.955878356721377","1.00659310315805","1"
"Yes","2012","1-pers.-HH","indirect migration background","30","0.932693474208569","0.8458831940393","1.01950375437784","1"
"Yes","2012","(Married) couple without C. ","no migration background","3126","0.94739734763137","0.939793412480034","0.955001282782705","1"
"Yes","2012","(Married) couple without C. ","direct migration background","274","0.936753568927408","0.908787444434729","0.964719693420086","1"
"Yes","2012","(Married) couple without C. ","indirect migration background","33","0.812770603662586","0.687075534482108","0.938465672843063","1"
"Yes","2012","Single parent ","no migration background","664","0.928208768874636","0.909313762310108","0.947103775439164","1"
"Yes","2012","Single parent ","direct migration background","75","0.939238904185269","0.887214583626156","0.991263224744382","1"
"Yes","2012","Single parent ","indirect migration background","52","0.963900739136387","0.914602426143826","1.01319905212895","1"
"Yes","2012","Couple + C. LE 16 ","no migration background","1035","0.907313480953829","0.890405340876078","0.924221621031581","1"
"Yes","2012","Couple + C. LE 16 ","direct migration background","166","0.906917017119881","0.864471604487278","0.949362429752485","1"
"Yes","2012","Couple + C. LE 16 ","indirect migration background","83","0.850828701658936","0.779189623435846","0.922467779882025","1"
"Yes","2012","Couple + C. GT 16 ","no migration background","658","0.937392661967931","0.919573293398271","0.955212030537591","1"
"Yes","2012","Couple + C. GT 16 ","direct migration background","82","0.948750783823029","0.902679910742852","0.994821656903206","1"
"Yes","2012","Couple + C. GT 16 ","indirect migration background","24","","","","1"
"Yes","2012","Couple + C. LE and GT 16","no migration background","336","0.939041479105192","0.914563550860092","0.963519407350292","1"
"Yes","2012","Couple + C. LE and GT 16","direct migration background","85","0.857276235800741","0.786937456587714","0.927615015013768","1"
"Yes","2012","Couple + C. LE and GT 16","indirect migration background","19","","","","1"
"No","2013","1-pers.-HH","direct migration background","9","","","","2"
"No","2013","1-pers.-HH","no migration background","76","0.0513044675233837","0.0398458000546388","0.0627631349921286","2"
"No","2013","(Married) couple without C. ","direct migration background","16","","","","2"
"No","2013","(Married) couple without C. ","indirect migration background","3","","","","2"
"No","2013","1-pers.-HH","indirect migration background","2","","","","2"
"No","2013","(Married) couple without C. ","no migration background","146","0.0520445427080427","0.0440936875707418","0.0599953978453436","2"
"No","2013","Single parent ","direct migration background","10","","","","2"
"No","2013","Single parent ","indirect migration background","3","","","","2"
"No","2013","Single parent ","no migration background","55","0.0779864123430394","0.0581502494314253","0.0978225752546535","2"
"No","2013","Couple + C. LE 16 ","no migration background","90","0.0912222201628439","0.0735698993409602","0.108874540984728","2"
"No","2013","Couple + C. LE 16 ","direct migration background","47","0.135714206225366","0.101004284630179","0.170424127820553","2"
"No","2013","Couple + C. LE 16 ","indirect migration background","13","","","","2"
"No","2013","Couple + C. GT 16 ","no migration background","44","0.0527698726754418","0.0349840269896611","0.0705557183612226","2"
"No","2013","Couple + C. GT 16 ","direct migration background","15","","","","2"
"No","2013","Couple + C. LE and GT 16","direct migration background","14","","","","2"
"No","2013","Couple + C. LE and GT 16","indirect migration background","2","","","","2"
"No","2013","Couple + C. GT 16 ","indirect migration background","3","","","","2"
"No","2013","Couple + C. LE and GT 16","no migration background","18","","","","2"
"Yes","2013","1-pers.-HH","no migration background","1348","0.948695532476616","0.937236865007871","0.960154199945361","1"
"Yes","2013","1-pers.-HH","direct migration background","155","0.959602025965288","0.929468389961122","0.989735661969454","1"
"Yes","2013","1-pers.-HH","indirect migration background","41","0.976206801781955","0.930654409563268","1.02175919400064","1"
"Yes","2013","(Married) couple without C. ","no migration background","2852","0.947955457291957","0.940004602154656","0.955906312429258","1"
"Yes","2013","(Married) couple without C. ","direct migration background","415","0.97684420242126","0.962645391373326","0.991043013469194","1"
"Yes","2013","(Married) couple without C. ","indirect migration background","35","0.897413416592582","0.800942177923884","0.99388465526128","1"
"Yes","2013","Single parent ","no migration background","647","0.922013587656961","0.902177424745347","0.941849750568575","1"
"Yes","2013","Single parent ","direct migration background","106","0.914729136568992","0.863905506285901","0.965552766852083","1"
"Yes","2013","Single parent ","indirect migration background","52","0.970388572805344","0.925589476544144","1.01518766906654","1"
"Yes","2013","Couple + C. LE 16 ","no migration background","932","0.908777779837156","0.891125459015272","0.92643010065904","1"
"Yes","2013","Couple + C. LE 16 ","direct migration background","327","0.864285793774634","0.829575872179447","0.898995715369821","1"
"Yes","2013","Couple + C. LE 16 ","indirect migration background","111","0.886108535249658","0.83019379682508","0.942023273674237","1"
"Yes","2013","Couple + C. GT 16 ","no migration background","563","0.947230127324558","0.929444281638777","0.965015973010339","1"
"Yes","2013","Couple + C. GT 16 ","direct migration background","199","0.954844597250206","0.92702425861686","0.982664935883552","1"
"Yes","2013","Couple + C. GT 16 ","indirect migration background","31","0.97666395637916","0.925918772951498","1.02740913980682","1"
