"ple0162","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2012","no migration background","Male","227","0.0583895255850891","0.0505698265510422","0.066209224619136","2"
"No","2012","direct migration background","Male","16","","","","2"
"No","2012","no migration background","Female","284","0.0557320127450624","0.0490309244124776","0.0624331010776471","2"
"No","2012","direct migration background","Female","41","0.0769888552188988","0.0545051121111812","0.0994725983266165","2"
"No","2012","indirect migration background","Male","8","","","","2"
"No","2012","indirect migration background","Female","18","","","","2"
"Yes","2012","no migration background","Male","3227","0.941610474414911","0.933790775380864","0.949430173448958","1"
"Yes","2012","no migration background","Female","4218","0.944267987254938","0.937566898922353","0.950969075587522","1"
"Yes","2012","direct migration background","Male","338","0.965235721250803","0.946153463193698","0.984317979307909","1"
"Yes","2012","direct migration background","Female","499","0.923011144781101","0.900527401673384","0.945494887888819","1"
"Yes","2012","indirect migration background","Male","92","0.928277985183599","0.877705609309036","0.978850361058161","1"
"Yes","2012","indirect migration background","Female","153","0.887470574457684","0.840105298944171","0.934835849971197","1"
"No","2013","no migration background","Male","173","0.0560967879842653","0.048021218968208","0.0641723570003225","2"
"No","2013","direct migration background","Male","53","0.0570968978889459","0.0399083630008885","0.0742854327770033","2"
"No","2013","no migration background","Female","261","0.0543109887487654","0.0474191854929306","0.0612027920046002","2"
"No","2013","direct migration background","Female","71","0.0513014751513226","0.0369757062230966","0.0656272440795485","2"
"No","2013","indirect migration background","Male","10","","","","2"
"No","2013","indirect migration background","Female","20","","","","2"
"Yes","2013","no migration background","Male","2946","0.943903212015735","0.935827642999678","0.951978781031792","1"
"Yes","2013","no migration background","Female","3893","0.945689011251235","0.9387972079954","0.952580814507069","1"
"Yes","2013","direct migration background","Male","647","0.942903102111054","0.925714567222997","0.960091636999111","1"
"Yes","2013","direct migration background","Female","840","0.948698524848677","0.934372755920452","0.963024293776903","1"
"Yes","2013","indirect migration background","Male","133","0.961247336040251","0.929613749927522","0.99288092215298","1"
"Yes","2013","indirect migration background","Female","195","0.914015129673026","0.876542292695914","0.951487966650138","1"
"No","2014","no migration background","Male","","","","","2"
"No","2014","no migration background","Female","","","","","2"
"No","2014","direct migration background","Male","","","","","2"
"No","2014","direct migration background","Female","","","","","2"
"No","2014","indirect migration background","Male","","","","","2"
"No","2014","indirect migration background","Female","","","","","2"
"Yes","2014","no migration background","Male","","","","","1"
"Yes","2014","direct migration background","Male","","","","","1"
"Yes","2014","direct migration background","Female","","","","","1"
"Yes","2014","no migration background","Female","","","","","1"
"Yes","2014","indirect migration background","Male","","","","","1"
"Yes","2014","indirect migration background","Female","","","","","1"
"No","2015","no migration background","Male","287","0.109840955040986","0.0985895885143904","0.121092321567582","2"
"No","2015","no migration background","Female","358","0.0827556433114767","0.0742015248177166","0.0913097618052367","2"
"No","2015","direct migration background","Male","69","0.148001545520425","0.120382176214894","0.175620914825956","2"
"No","2015","direct migration background","Female","63","0.0762747175003225","0.0583030737575479","0.0942463612430971","2"
"No","2015","indirect migration background","Male","14","","","","2"
"No","2015","indirect migration background","Female","26","","","","2"
