"ple0162","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2012","in school","Male","2","","","","2"
"No","2012","general elemantary","Male","21","","","","2"
"No","2012","vocational + Abi","Male","7","","","","2"
"No","2012","higher vocational","Male","16","","","","2"
"No","2012","higher vocational","Female","11","","","","2"
"No","2012","higher education","Male","64","0.0543094706635551","0.0389563145167392","0.069662626810371","2"
"No","2012","higher education","Female","64","0.0784554603401471","0.0603150703161461","0.0965958503641481","2"
"No","2012","in school","Female","9","","","","2"
"No","2012","general elemantary","Female","62","0.0644955227305099","0.0485711361549849","0.0804199093060349","2"
"No","2012","vocational + Abi","Female","27","","","","2"
"No","2012","inadequately","Male","1","","","","2"
"No","2012","inadequately","Female","6","","","","2"
"No","2012","middle vocational","Male","138","0.0611616051854053","0.0509684660454689","0.0713547443253417","2"
"No","2012","middle vocational","Female","161","0.0519908182887119","0.0435887094589202","0.0603929271185037","2"
"Yes","2012","in school","Male","18","","","","1"
"Yes","2012","in school","Female","26","","","","1"
"Yes","2012","inadequately","Male","58","0.974684806801171","0.934603229240129","1.01476638436221","1"
"Yes","2012","inadequately","Female","104","0.948713466521906","0.907492235831273","0.98993469721254","1"
"Yes","2012","general elemantary","Male","274","0.952179572872539","0.927829333288966","0.976529812456111","1"
"Yes","2012","general elemantary","Female","852","0.93550447726949","0.919580090693965","0.951428863845015","1"
"Yes","2012","middle vocational","Male","1985","0.938838394814595","0.928645255674658","0.949031533954531","1"
"Yes","2012","middle vocational","Female","2521","0.948009181711288","0.939607072881496","0.95641129054108","1"
"Yes","2012","vocational + Abi","Male","157","0.97044975651505","0.94453224939356","0.996367263636541","1"
"Yes","2012","vocational + Abi","Female","307","0.912541309683102","0.882244101635708","0.942838517730496","1"
"Yes","2012","higher vocational","Male","361","0.942951021390813","0.919538622210096","0.966363420571529","1"
"Yes","2012","higher vocational","Female","227","0.977827943984647","0.959121388856233","0.996534499113061","1"
"Yes","2012","higher education","Male","773","0.945690529336445","0.930337373189629","0.961043685483261","1"
"Yes","2012","higher education","Female","780","0.921544539659853","0.903404149635852","0.939684929683854","1"
"No","2013","in school","Male","1","","","","2"
"No","2013","in school","Female","1","","","","2"
"No","2013","general elemantary","Male","24","","","","2"
"No","2013","general elemantary","Female","62","0.0503622042033798","0.0364557103286495","0.0642686980781101","2"
