"ple0162","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2012","higher education","128","0.0660959118511662","0.0542190235579959","0.0779728001443366","2"
"No","2012","higher vocational","27","","","","2"
"No","2012","vocational + Abi","34","0.0637754702205053","0.0423144550170423","0.0852364854239684","2"
"No","2012","middle vocational","299","0.0562321784672589","0.0497184982696806","0.0627458586648373","2"
"No","2012","general elemantary","83","0.0603115391143377","0.0468923246652238","0.0737307535634517","2"
"No","2012","inadequately","7","","","","2"
"No","2012","in school","11","","","","2"
"Yes","2012","in school","44","0.784791469466831","0.676180516524538","0.893402422409123","1"
"Yes","2012","inadequately","162","0.957997224074186","0.927754155041639","0.988240293106734","1"
"Yes","2012","general elemantary","1126","0.939688460885662","0.926269246436548","0.953107675334776","1"
"Yes","2012","middle vocational","4506","0.943767821532741","0.937254141335163","0.950281501730319","1"
"Yes","2012","vocational + Abi","464","0.936224529779495","0.914763514576032","0.957685544982958","1"
"Yes","2012","higher vocational","588","0.955875684449912","0.939644499326547","0.972106869573277","1"
"Yes","2012","higher education","1553","0.933904088148834","0.922027199855663","0.945780976442004","1"
"No","2013","higher education","127","0.056933209143237","0.0456462039535095","0.0682202143329645","2"
"No","2013","higher vocational","38","0.0471219950870903","0.0299065964072048","0.0643373937669757","2"
"No","2013","vocational + Abi","29","","","","2"
"No","2013","middle vocational","276","0.0576404695432075","0.0509824040877031","0.0642985349987118","2"
"No","2013","general elemantary","86","0.0492664440245494","0.0376176397399464","0.0609152483091523","2"
"No","2013","inadequately","13","","","","2"
"No","2013","in school","2","","","","2"
"Yes","2013","higher education","1492","0.943066790856763","0.931779785667035","0.954353796046491","1"
"Yes","2013","in school","57","0.996434818359684","0.981226284002733","1.01164335271663","1"
"Yes","2013","inadequately","244","0.942410152294371","0.91392789060209","0.970892413986652","1"
"Yes","2013","general elemantary","1240","0.950733555975451","0.939084751690848","0.962382360260054","1"
"Yes","2013","middle vocational","4431","0.942359530456793","0.935701465001288","0.949017595912297","1"
"Yes","2013","vocational + Abi","534","0.957256065261073","0.940547267363165","0.973964863158982","1"
"Yes","2013","higher vocational","544","0.95287800491291","0.935662606233024","0.970093403592795","1"
