"ple0162","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","2012","16-34 y.","Not Employed","277","0.920900904280104","0.890953236754866","0.950848571805342"
"Yes","2012","16-34 y.","Employed","523","0.88526261403664","0.859567953284837","0.910957274788444"
"Yes","2012","35-65 y.","Not Employed","1544","0.963509394493252","0.954350276272103","0.972668512714401"
"Yes","2012","35-65 y.","Employed","3198","0.926460956186785","0.917777485664728","0.935144426708842"
"Yes","2012","66 and older","Not Employed","2844","0.956175796432926","0.948834777080381","0.96351681578547"
"Yes","2012","66 and older","Employed","141","0.945504945157111","0.909179335587955","0.981830554726267"
"No","2012","16-34 y.","Not Employed","35","0.079099095719896","0.0491514281946581","0.109046763245134"
"No","2012","16-34 y.","Employed","68","0.11473738596336","0.0890427252115559","0.140432046715164"
"No","2012","35-65 y.","Not Employed","66","0.0364906055067481","0.0273314872855989","0.0456497237278973"
"No","2012","35-65 y.","Employed","273","0.0735390438132145","0.0648555732911576","0.0822225143352715"
"No","2012","66 and older","Not Employed","143","0.0438242035670744","0.0364831842145301","0.0511652229196186"
"No","2012","66 and older","Employed","9","","",""
"Yes","2013","16-34 y.","Not Employed","455","0.93549293940822","0.913852335559516","0.957133543256924"
"Yes","2013","16-34 y.","Employed","470","0.853164676374988","0.82325658777207","0.883072764977906"
"Yes","2013","35-65 y.","Not Employed","2049","0.963795942164597","0.955909236637163","0.97168264769203"
"Yes","2013","35-65 y.","Employed","2910","0.928564760940699","0.919592051918771","0.937537469962627"
"Yes","2013","66 and older","Not Employed","2610","0.962678963601546","0.955556972794421","0.969800954408671"
"Yes","2013","66 and older","Employed","160","0.927649189905397","0.888474367702959","0.966824012107835"
"No","2013","16-34 y.","Not Employed","40","0.0645070605917798","0.042866456743076","0.0861476644404836"
"No","2013","16-34 y.","Employed","68","0.146835323625012","0.116927235022094","0.17674341222793"
"No","2013","35-65 y.","Not Employed","106","0.0362040578354035","0.0283173523079704","0.0440907633628366"
"No","2013","35-65 y.","Employed","255","0.0714352390593012","0.0624625300373732","0.0804079480812293"
"No","2013","66 and older","Not Employed","111","0.0373210363984542","0.030199045591329","0.0444430272055794"
"No","2013","66 and older","Employed","8","","",""
"Yes","2014","16-34 y.","Not Employed","","","",""
"Yes","2014","16-34 y.","Employed","","","",""
"Yes","2014","35-65 y.","Not Employed","","","",""
"Yes","2014","35-65 y.","Employed","","","",""
"Yes","2014","66 and older","Not Employed","","","",""
"Yes","2014","66 and older","Employed","","","",""
"No","2014","16-34 y.","Not Employed","","","",""
"No","2014","16-34 y.","Employed","","","",""
"No","2014","35-65 y.","Not Employed","","","",""
"No","2014","35-65 y.","Employed","","","",""
"No","2014","66 and older","Not Employed","","","",""
"No","2014","66 and older","Employed","","","",""
"Yes","2015","16-34 y.","Not Employed","334","0.848142652291896","0.812294226982139","0.883991077601654"
"Yes","2015","16-34 y.","Employed","485","0.794847778973797","0.761927442465452","0.827768115482142"
"Yes","2015","35-65 y.","Not Employed","1441","0.957625339017159","0.94750840139609","0.967742276638229"
"Yes","2015","35-65 y.","Employed","2933","0.86330479574242","0.851649354923461","0.874960236561379"
"Yes","2015","66 and older","Not Employed","2551","0.942713281973049","0.933962227796128","0.95146433614997"
"Yes","2015","66 and older","Employed","187","0.83520599787663","0.785730665764304","0.884681329988957"
"No","2015","16-34 y.","Not Employed","51","0.151857347708104","0.116008922398346","0.187705773017861"
"No","2015","16-34 y.","Employed","93","0.205152221026203","0.172231884517858","0.238072557534548"
"No","2015","35-65 y.","Not Employed","82","0.0423746609828405","0.0322577233617712","0.0524915986039099"
"No","2015","35-65 y.","Employed","404","0.13669520425758","0.125039763438621","0.148350645076539"
"No","2015","66 and older","Not Employed","158","0.0572867180269514","0.0485356638500306","0.0660377722038723"
"No","2015","66 and older","Employed","29","","",""
"Yes","2016","16-34 y.","Not Employed","273","0.709527763586456","0.66423889722377","0.754816629949143"
"Yes","2016","16-34 y.","Employed","","","",""
"Yes","2016","35-65 y.","Not Employed","425","0.844853685443136","0.813339535678842","0.876367835207431"
"Yes","2016","35-65 y.","Employed","","","",""
"Yes","2016","66 and older","Not Employed","19","","",""
"Yes","2016","66 and older","Employed","","","",""
"No","2016","16-34 y.","Not Employed","113","0.290472236413544","0.245183370050857","0.33576110277623"
"No","2016","16-34 y.","Employed","","","",""
"No","2016","35-65 y.","Not Employed","82","0.155146314556864","0.123632164792569","0.186660464321158"
"No","2016","35-65 y.","Employed","","","",""
"No","2016","66 and older","Not Employed","","","",""
"No","2016","66 and older","Employed","","","",""
"Yes","2017","16-34 y.","Not Employed","459","0.929368809932828","0.907638307339218","0.951099312526438"
"Yes","2017","16-34 y.","Employed","533","0.874571957174749","0.848004130939607","0.90113978340989"
"Yes","2017","35-65 y.","Not Employed","1608","0.98230523132404","0.975989610654894","0.988620851993186"
"Yes","2017","35-65 y.","Employed","3250","0.939593975778027","0.931693394664429","0.947494556891624"
"Yes","2017","66 and older","Not Employed","2491","0.961121047582883","0.95368356894848","0.968558526217287"
"Yes","2017","66 and older","Employed","203","0.932729014079315","0.899089483341725","0.966368544816905"
"No","2017","16-34 y.","Not Employed","75","0.0706311900671718","0.0489006874735619","0.0923616926607817"
"No","2017","16-34 y.","Employed","64","0.125428042825251","0.0988602165901098","0.151995869060393"
"No","2017","35-65 y.","Not Employed","66","0.0176947686759602","0.0113791480068145","0.0240103893451059"
"No","2017","35-65 y.","Employed","243","0.0604060242219734","0.0525054431083761","0.0683066053355708"
"No","2017","66 and older","Not Employed","104","0.0388789524171167","0.0314414737827133","0.04631643105152"
"No","2017","66 and older","Employed","10","","",""
"Yes","2018","16-34 y.","Not Employed","18","","",""
"Yes","2018","16-34 y.","Employed","","","",""
"Yes","2018","35-65 y.","Not Employed","44","0.921270150548765","0.84508142957405","0.99745887152348"
"Yes","2018","35-65 y.","Employed","","","",""
"Yes","2018","66 and older","Not Employed","4","","",""
"Yes","2018","66 and older","Employed","","","",""
"No","2018","16-34 y.","Not Employed","17","","",""
"No","2018","16-34 y.","Employed","","","",""
"No","2018","35-65 y.","Not Employed","4","","",""
"No","2018","35-65 y.","Employed","","","",""
"No","2018","66 and older","Not Employed","","","",""
"No","2018","66 and older","Employed","","","",""
"Yes","2019","16-34 y.","Not Employed","409","0.940491753048257","0.919523621354623","0.961459884741891"
"Yes","2019","16-34 y.","Employed","568","0.907959610125766","0.885650064593187","0.930269155658346"
"Yes","2019","35-65 y.","Not Employed","1686","0.977431862750798","0.970566802540103","0.984296922961494"
"Yes","2019","35-65 y.","Employed","3341","0.91628604000517","0.907304770410148","0.925267309600192"
"Yes","2019","66 and older","Not Employed","2516","0.955543217793139","0.947681086222841","0.963405349363437"
"Yes","2019","66 and older","Employed","270","0.937833481858876","0.910186010327986","0.965480953389766"
"No","2019","16-34 y.","Not Employed","80","0.0595082469517428","0.0385401152581088","0.0804763786453768"
"No","2019","16-34 y.","Employed","77","0.0920403898742336","0.0697308443416541","0.114349935406813"
"No","2019","35-65 y.","Not Employed","112","0.022568137249202","0.0157030770385065","0.0294331974598974"
"No","2019","35-65 y.","Employed","312","0.0837139599948301","0.0747326903998078","0.0926952295898524"
"No","2019","66 and older","Not Employed","124","0.0444567822068611","0.0365946506365627","0.0523189137771594"
"No","2019","66 and older","Employed","23","","",""
