"ple0162","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2012","Urban Area","Male","2244","0.942336062352313","0.933019716466943","0.951652408237682"
"Yes","2012","Urban Area","Female","3061","0.939877419721457","0.93173357467368","0.948021264769233"
"Yes","2012","Rural Area","Male","1413","0.946565380859501","0.935195516903376","0.957935244815627"
"Yes","2012","Rural Area","Female","1809","0.940829645474456","0.930330479324168","0.951328811624745"
"No","2012","Urban Area","Male","161","0.0576639376476873","0.0483475917623177","0.0669802835330568"
"No","2012","Urban Area","Female","212","0.0601225802785435","0.0519787352307669","0.06826642532632"
"No","2012","Rural Area","Male","90","0.0534346191404989","0.0420647551843732","0.0648044830966245"
"No","2012","Rural Area","Female","131","0.0591703545255436","0.0486711883752553","0.069669520675832"
"Yes","2013","Urban Area","Male","2344","0.941158948060948","0.931937988013723","0.950379908108173"
"Yes","2013","Urban Area","Female","3188","0.94712023271331","0.939617674280238","0.954622791146383"
"Yes","2013","Rural Area","Male","1382","0.949892491988835","0.938701713666181","0.961083270311489"
"Yes","2013","Rural Area","Female","1740","0.941823366547287","0.931191310037561","0.952455423057013"
"No","2013","Urban Area","Male","158","0.0588410519390521","0.0496200918918267","0.0680620119862775"
"No","2013","Urban Area","Female","230","0.0528797672866896","0.0453772088536171","0.0603823257197622"
"No","2013","Rural Area","Male","78","0.0501075080111653","0.0389167296885113","0.0612982863338193"
"No","2013","Rural Area","Female","122","0.0581766334527131","0.0475445769429871","0.068808689962439"
"Yes","2014","Urban Area","Male","","","",""
"Yes","2014","Urban Area","Female","","","",""
"Yes","2014","Rural Area","Male","","","",""
"Yes","2014","Rural Area","Female","","","",""
"No","2014","Urban Area","Male","","","",""
"No","2014","Urban Area","Female","","","",""
"No","2014","Rural Area","Male","","","",""
"No","2014","Rural Area","Female","","","",""
"Yes","2015","Urban Area","Male","2109","0.895640214302067","0.88320776010165","0.908072668502483"
"Yes","2015","Urban Area","Female","2980","0.923981839073053","0.914899489450834","0.933064188695272"
"Yes","2015","Rural Area","Male","1239","0.860376998570787","0.842189043708255","0.87856495343332"
"Yes","2015","Rural Area","Female","1603","0.903393976018136","0.889588357439593","0.91719959459668"
"No","2015","Urban Area","Male","214","0.104359785697933","0.0919273314975165","0.11679223989835"
"No","2015","Urban Area","Female","291","0.0760181609269472","0.0669358113047281","0.0851005105491663"
"No","2015","Rural Area","Male","156","0.139623001429213","0.12143504656668","0.157810956291745"
"No","2015","Rural Area","Female","156","0.0966060239818636","0.0828004054033205","0.110411642560407"
"Yes","2016","Urban Area","Male","242","0.810947978431945","0.766492312564505","0.855403644299384"
"Yes","2016","Urban Area","Female","222","0.718578429861999","0.667606828726281","0.769550030997717"
"Yes","2016","Rural Area","Male","145","0.773631095712175","0.712325951453511","0.834936239970838"
"Yes","2016","Rural Area","Female","113","0.785511471762791","0.717999278141845","0.853023665383736"
"No","2016","Urban Area","Male","56","0.189052021568055","0.144596355700616","0.233507687435495"
"No","2016","Urban Area","Female","77","0.281421570138001","0.230449969002283","0.332393171273719"
"No","2016","Rural Area","Male","34","0.226368904287825","0.165063760029162","0.287674048546489"
"No","2016","Rural Area","Female","29","","",""
"Yes","2017","Urban Area","Male","2248","0.944996919690531","0.935900339918715","0.954093499462346"
"Yes","2017","Urban Area","Female","3060","0.941079929279587","0.933014014321071","0.949145844238104"
"Yes","2017","Rural Area","Male","1419","0.962269563368332","0.952610794250849","0.971928332485816"
"Yes","2017","Rural Area","Female","1817","0.96187559668639","0.95331889210947","0.970432301263309"
"No","2017","Urban Area","Male","165","0.0550030803094694","0.0459065005376539","0.0640996600812849"
"No","2017","Urban Area","Female","214","0.0589200707204125","0.0508541557618962","0.0669859856789287"
"No","2017","Rural Area","Male","76","0.0377304366316677","0.0280716675141845","0.0473892057491508"
"No","2017","Rural Area","Female","107","0.0381244033136104","0.0295676987366911","0.0466811078905297"
"Yes","2018","Urban Area","Male","24","","",""
"Yes","2018","Urban Area","Female","17","","",""
"Yes","2018","Rural Area","Male","10","","",""
"Yes","2018","Rural Area","Female","15","","",""
"No","2018","Urban Area","Male","4","","",""
"No","2018","Urban Area","Female","10","","",""
"No","2018","Rural Area","Male","","","",""
"No","2018","Rural Area","Female","7","","",""
"Yes","2019","Urban Area","Male","2206","0.946589006395117","0.937581966741224","0.955596046049011"
"Yes","2019","Urban Area","Female","2837","0.93053866307264","0.921581787429768","0.939495538715513"
"Yes","2019","Rural Area","Male","1427","0.945180917518336","0.933756435383781","0.956605399652891"
"Yes","2019","Rural Area","Female","1768","0.945305359107667","0.935097255001878","0.955513463213456"
"No","2019","Urban Area","Male","188","0.0534109936048827","0.0444039539509891","0.0624180332587763"
"No","2019","Urban Area","Female","258","0.0694613369273598","0.0605044612844876","0.0784182125702321"
"No","2019","Rural Area","Male","98","0.0548190824816643","0.0433946003471093","0.0662435646162193"
"No","2019","Rural Area","Female","138","0.0546946408923334","0.0444865367865445","0.0649027449981224"
