"ple0162","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2012","lower secondary degree","3429","0.948563587092004","0.941375010989187","0.955752163194821"
"Yes","2012","secondary school degree","2472","0.941792101535474","0.932886068327642","0.950698134743306"
"Yes","2012","college entrance qualification","1723","0.925819553541842","0.913944950698993","0.937694156384691"
"Yes","2012","Other degree","544","0.944928815335704","0.926363777009488","0.963493853661921"
"Yes","2012","no degree/no degree yet","230","0.921612547110522","0.888427282389743","0.954797811831301"
"No","2012","lower secondary degree","198","0.0514364129079963","0.0442478368051793","0.0586249890108134"
"No","2012","secondary school degree","183","0.0582078984645259","0.0493018652566938","0.067113931672358"
"No","2012","college entrance qualification","148","0.0741804464581581","0.062305843615309","0.0860550493010072"
"No","2012","Other degree","36","0.0550711846642954","0.0365061463380789","0.0736362229905119"
"No","2012","no degree/no degree yet","22","","",""
"Yes","2013","lower secondary degree","3176","0.955354537219366","0.948341086907797","0.962367987530934"
"Yes","2013","secondary school degree","2397","0.939961664341164","0.930775474168697","0.949147854513631"
"Yes","2013","college entrance qualification","1590","0.927493690541596","0.915259617264072","0.939727763819121"
"Yes","2013","Other degree","1002","0.942587699205031","0.928764868053494","0.956410530356568"
"Yes","2013","no degree/no degree yet","332","0.954540512206838","0.93268581321747","0.976395211196207"
"No","2013","lower secondary degree","155","0.0446454627806345","0.0376320124690658","0.0516589130922032"
"No","2013","secondary school degree","172","0.0600383356588358","0.050852145486369","0.0692245258313026"
"No","2013","college entrance qualification","136","0.0725063094584036","0.0602722361808789","0.0847403827359283"
"No","2013","Other degree","86","0.0574123007949687","0.0435894696434317","0.0712351319465056"
"No","2013","no degree/no degree yet","17","","",""
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"No","2014","lower secondary degree","","","",""
"No","2014","secondary school degree","","","",""
"No","2014","college entrance qualification","","","",""
"No","2014","Other degree","","","",""
"No","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","2822","0.916124831875429","0.906287162998172","0.925962500752686"
"Yes","2015","secondary school degree","2195","0.89043666949333","0.878058569243871","0.902814769742788"
"Yes","2015","college entrance qualification","1517","0.880885043104921","0.865567846802734","0.896202239407108"
"Yes","2015","Other degree","935","0.914007608273634","0.896785785266392","0.931229431280875"
"Yes","2015","no degree/no degree yet","271","0.926882172760245","0.897472597893128","0.956291747627362"
"No","2015","lower secondary degree","228","0.0838751681245708","0.0740374992473138","0.0937128370018279"
"No","2015","secondary school degree","251","0.10956333050667","0.0971852302572121","0.121941430756129"
"No","2015","college entrance qualification","201","0.119114956895079","0.103797760592892","0.134432153197266"
"No","2015","Other degree","83","0.0859923917263662","0.0687705687191245","0.103214214733608"
"No","2015","no degree/no degree yet","30","0.0731178272397548","0.0437082523726375","0.102527402106872"
"Yes","2016","lower secondary degree","2","","",""
"Yes","2016","secondary school degree","2","","",""
"Yes","2016","college entrance qualification","1","","",""
"Yes","2016","Other degree","332","0.728400374951347","0.686602603599023","0.770198146303671"
"Yes","2016","no degree/no degree yet","330","0.797683941763692","0.758940012124427","0.836427871402957"
"No","2016","lower secondary degree","","","",""
"No","2016","secondary school degree","","","",""
"No","2016","college entrance qualification","","","",""
"No","2016","Other degree","103","0.271599625048653","0.229801853696329","0.313397396400977"
"No","2016","no degree/no degree yet","83","0.202316058236308","0.163572128597043","0.241059987875573"
"Yes","2017","lower secondary degree","2716","0.964392776156489","0.957567857207247","0.971217695105732"
"Yes","2017","secondary school degree","2398","0.9579193920573","0.950069614826517","0.965769169288084"
"Yes","2017","college entrance qualification","1686","0.927457551038358","0.915553937979554","0.939361164097161"
"Yes","2017","Other degree","1033","0.923187245934125","0.907789766134103","0.938584725734147"
"Yes","2017","no degree/no degree yet","505","0.949326383334444","0.931193007640601","0.967459759028287"
"No","2017","lower secondary degree","116","0.0356072238435107","0.0287823048942679","0.0424321427927535"
"No","2017","secondary school degree","115","0.0420806079426996","0.0342308307119162","0.049930385173483"
"No","2017","college entrance qualification","138","0.0725424489616424","0.0606388359028391","0.0844460620204457"
"No","2017","Other degree","116","0.0768127540658753","0.0614152742658534","0.0922102338658972"
"No","2017","no degree/no degree yet","57","0.0506736166655559","0.0325402409717132","0.0688069923593987"
"Yes","2018","lower secondary degree","1","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","26","","",""
"Yes","2018","no degree/no degree yet","34","0.779813789487438","0.655961403640418","0.903666175334457"
"No","2018","lower secondary degree","4","","",""
"No","2018","secondary school degree","","","",""
"No","2018","college entrance qualification","","","",""
"No","2018","Other degree","7","","",""
"No","2018","no degree/no degree yet","9","","",""
"Yes","2019","lower secondary degree","2450","0.951408652123689","0.943126464072307","0.959690840175071"
