"ple0162","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2012","Not Employed","in school","10","","","","2"
"No","2012","Not Employed","vocational + Abi","3","","","","2"
"No","2012","Employed","inadequately","","","","","2"
"No","2012","Employed","middle vocational","177","0.0785275596880183","0.0672277506888819","0.0898273686871548","2"
"No","2012","Employed","vocational + Abi","31","0.0894481833664977","0.0594205262127474","0.119475840520248","2"
"No","2012","Employed","higher vocational","17","","","","2"
"No","2012","Employed","higher education","82","0.0764672460282181","0.0593232871419677","0.0936112049144685","2"
"No","2012","Not Employed","inadequately","7","","","","2"
"No","2012","Not Employed","higher vocational","10","","","","2"
"No","2012","Employed","general elemantary","38","0.106959888326496","0.0744414779814651","0.139478298671527","2"
"No","2012","Not Employed","general elemantary","45","0.0450219076557185","0.0311797717505837","0.0588640435608532","2"
"No","2012","Not Employed","middle vocational","122","0.0396820689157128","0.0322186110888144","0.0471455267426113","2"
"No","2012","Not Employed","higher education","46","0.0555197664156441","0.0392180347567671","0.071821498074521","2"
"No","2012","Employed","in school","1","","","","2"
"Yes","2012","Not Employed","in school","32","0.710852971446667","0.573741843306089","0.847964099587245","1"
"Yes","2012","Not Employed","inadequately","106","0.939019216933961","0.894898495227475","0.983139938640446","1"
"Yes","2012","Not Employed","general elemantary","817","0.954978092344282","0.941135956439147","0.968820228249416","1"
"Yes","2012","Not Employed","middle vocational","2506","0.960317931084287","0.952854473257389","0.967781388911186","1"
"Yes","2012","Not Employed","vocational + Abi","148","0.977365081889582","0.953641651345905","1.00108851243326","1"
"Yes","2012","Not Employed","higher vocational","295","0.964528560310681","0.943770100616544","0.985287020004818","1"
"Yes","2012","Not Employed","higher education","712","0.944480233584356","0.928178501925479","0.960781965243233","1"
"Yes","2012","Employed","in school","12","","","","1"
"Yes","2012","Employed","inadequately","56","1","1","1","1"
"Yes","2012","Employed","general elemantary","309","0.893040111673504","0.860521701328473","0.925558522018535","1"
"Yes","2012","Employed","middle vocational","2000","0.921472440311982","0.910172631312845","0.932772249311118","1"
