"ple0162","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2012","16-34 y.","Male","32","0.0866321715311902","0.0557636943634485","0.117500648698932","2"
"No","2012","35-65 y.","Male","141","0.0591642641324159","0.0492030772075152","0.0691254510573167","2"
"No","2012","16-34 y.","Female","71","0.118507907521609","0.0922944358042459","0.144721379238973","2"
"No","2012","35-65 y.","Female","198","0.0637028693873784","0.0548538066576732","0.0725519321170836","2"
"No","2012","66 and older","Male","78","0.0453297726904072","0.0345628405633715","0.056096704817443","2"
"No","2012","66 and older","Female","74","0.0436477082292704","0.0339441628485639","0.053351253609977","2"
"Yes","2012","16-34 y.","Male","287","0.91336782846881","0.882499351301068","0.944236305636551","1"
"Yes","2012","16-34 y.","Female","513","0.881492092478391","0.855278620761027","0.907705564195754","1"
"Yes","2012","35-65 y.","Male","2014","0.940835735867584","0.930874548942683","0.950796922792485","1"
"Yes","2012","35-65 y.","Female","2728","0.936297130612622","0.927448067882916","0.945146193342327","1"
"Yes","2012","66 and older","Male","1356","0.954670227309593","0.943903295182557","0.965437159436629","1"
"Yes","2012","66 and older","Female","1629","0.95635229177073","0.946648746390023","0.966055837151436","1"
"No","2013","16-34 y.","Male","43","0.140490705440448","0.105413377644705","0.175568033236191","2"
"No","2013","35-65 y.","Male","145","0.0558966217652799","0.0464235128194109","0.0653697307111489","2"
"No","2013","16-34 y.","Female","65","0.0983442778196997","0.0755570711779315","0.121131484461468","2"
"No","2013","35-65 y.","Female","216","0.0604669012035574","0.0520232297827431","0.0689105726243718","2"
"No","2013","66 and older","Male","48","0.0386360361213067","0.0282627458648551","0.0490093263777583","2"
"No","2013","66 and older","Female","71","0.039566239601608","0.0299020665257033","0.0492304126775127","2"
"Yes","2013","16-34 y.","Male","334","0.859509294559552","0.824431966763809","0.894586622355295","1"
"Yes","2013","16-34 y.","Female","591","0.9016557221803","0.878868515538532","0.924442928822068","1"
"Yes","2013","35-65 y.","Male","2114","0.94410337823472","0.934630269288851","0.953576487180589","1"
"Yes","2013","35-65 y.","Female","2845","0.939533098796443","0.931089427375628","0.947976770217257","1"
"Yes","2013","66 and older","Male","1278","0.961363963878693","0.950990673622242","0.971737254135145","1"
