"ple0040","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Schleswig-Holstein","Not Employed","16","","",""
"Yes","1984","Schleswig-Holstein","Employed","10","","",""
"Yes","1984","Hamburg","Not Employed","18","","",""
"Yes","1984","Hamburg","Employed","9","","",""
"Yes","1984","Lower Saxony","Not Employed","73","0.15200146910356","0.121635832467614","0.182367105739506"
"Yes","1984","Lower Saxony","Employed","48","0.0765769246641669","0.0567927618332851","0.0963610874950488"
"Yes","1984","Bremen","Not Employed","16","","",""
"Yes","1984","Bremen","Employed","3","","",""
"Yes","1984","North Rhine-Westphalia","Not Employed","217","0.207858112705491","0.185992928112697","0.229723297298284"
"Yes","1984","North Rhine-Westphalia","Employed","155","0.104421702499306","0.090771416791512","0.118071988207099"
"Yes","1984","Hesse","Not Employed","70","0.190163516000014","0.154301768892369","0.22602526310766"
"Yes","1984","Hesse","Employed","47","0.0786438954851854","0.0598374381815262","0.0974503527888445"
"Yes","1984","Rhineland-Palatinate,Saarland","Not Employed","56","0.163732753123159","0.12566694058425","0.201798565662069"
"Yes","1984","Rhineland-Palatinate,Saarland","Employed","29","","",""
"Yes","1984","Baden-Württemberg","Not Employed","76","0.124420935134691","0.100861936166008","0.147979934103374"
"Yes","1984","Baden-Württemberg","Employed","76","0.0617436455800562","0.0495754693176352","0.0739118218424771"
"Yes","1984","Bavaria","Not Employed","119","0.185412007468526","0.157200762185922","0.21362325275113"
"Yes","1984","Bavaria","Employed","74","0.0679621833953107","0.0545860970006353","0.0813382697899862"
"Yes","1984","Berlin","Not Employed","32","0.294440769491175","0.216090205708278","0.372791333274071"
"Yes","1984","Berlin","Employed","23","","",""
"Yes","1984","Brandenburg","Not Employed","","","",""
"Yes","1984","Brandenburg","Employed","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Yes","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Yes","1984","Saxony","Not Employed","","","",""
"Yes","1984","Saxony","Employed","","","",""
"Yes","1984","Saxony-Anhalt","Not Employed","","","",""
"Yes","1984","Saxony-Anhalt","Employed","","","",""
"Yes","1984","Thuringia","Not Employed","","","",""
"Yes","1984","Thuringia","Employed","","","",""
"No","1984","Schleswig-Holstein","Not Employed","133","0.884612798098497","0.833313622374298","0.935911973822697"
"No","1984","Schleswig-Holstein","Employed","227","0.952739215126955","0.925723815044188","0.979754615209722"
"No","1984","Hamburg","Not Employed","99","0.844618440881169","0.778975931144752","0.910260950617586"
"No","1984","Hamburg","Employed","180","0.935018913602235","0.899877367027052","0.970160460177419"
"No","1984","Lower Saxony","Not Employed","464","0.84799853089644","0.817632894260494","0.878364167532386"
"No","1984","Lower Saxony","Employed","646","0.923423075335833","0.903638912504951","0.943207238166715"
"No","1984","Bremen","Not Employed","55","0.742599878717235","0.640904614913517","0.844295142520953"
"No","1984","Bremen","Employed","58","0.949589989719666","0.894685276128154","1.00449470331118"
"No","1984","North Rhine-Westphalia","Not Employed","1106","0.792141887294509","0.770276702701716","0.814007071887303"
"No","1984","North Rhine-Westphalia","Employed","1773","0.895578297500694","0.881928011792901","0.909228583208488"
"No","1984","Hesse","Not Employed","390","0.809836483999986","0.77397473689234","0.845698231107631"
"No","1984","Hesse","Employed","740","0.921356104514815","0.902549647211155","0.940162561818474"
"No","1984","Rhineland-Palatinate,Saarland","Not Employed","307","0.836267246876841","0.798201434337931","0.87433305941575"
"No","1984","Rhineland-Palatinate,Saarland","Employed","461","0.938338565647741","0.917040672415153","0.959636458880329"
"No","1984","Baden-Württemberg","Not Employed","678","0.875579064865309","0.852020065896626","0.899138063833991"
"No","1984","Baden-Württemberg","Employed","1427","0.938256354419944","0.926088178157523","0.950424530682365"
"No","1984","Bavaria","Not Employed","610","0.814587992531474","0.78637674724887","0.842799237814078"
"No","1984","Bavaria","Employed","1286","0.932037816604689","0.918661730210014","0.945413902999365"
"No","1984","Berlin","Not Employed","98","0.705559230508826","0.627208666725929","0.783909794291722"
"No","1984","Berlin","Employed","255","0.902674954003917","0.867832904125428","0.937517003882406"
"No","1984","Brandenburg","Not Employed","","","",""
"No","1984","Brandenburg","Employed","","","",""
"No","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1984","Saxony","Not Employed","","","",""
"No","1984","Saxony","Employed","","","",""
"No","1984","Saxony-Anhalt","Not Employed","","","",""
"No","1984","Saxony-Anhalt","Employed","","","",""
"No","1984","Thuringia","Not Employed","","","",""
"No","1984","Thuringia","Employed","","","",""
"Yes","1985","Schleswig-Holstein","Not Employed","19","","",""
"Yes","1985","Schleswig-Holstein","Employed","15","","",""
"Yes","1985","Hamburg","Not Employed","11","","",""
"Yes","1985","Hamburg","Employed","9","","",""
"Yes","1985","Lower Saxony","Not Employed","63","0.14529440808361","0.113736147567156","0.176852668600064"
"Yes","1985","Lower Saxony","Employed","46","0.080028598416903","0.0587390933522754","0.101318103481531"
"Yes","1985","Bremen","Not Employed","16","","",""
"Yes","1985","Bremen","Employed","2","","",""
"Yes","1985","North Rhine-Westphalia","Not Employed","183","0.199511176330028","0.176612181916981","0.222410170743075"
"Yes","1985","North Rhine-Westphalia","Employed","133","0.0952330997178095","0.0815349751009609","0.108931224334658"
"Yes","1985","Hesse","Not Employed","68","0.201052386267984","0.162858691296819","0.239246081239149"
"Yes","1985","Hesse","Employed","39","0.0714317983693236","0.0524744465867049","0.0903891501519423"
"Yes","1985","Rhineland-Palatinate,Saarland","Not Employed","48","0.161319960579694","0.121694319524628","0.200945601634761"
"Yes","1985","Rhineland-Palatinate,Saarland","Employed","28","","",""
"Yes","1985","Baden-Württemberg","Not Employed","71","0.128514679223966","0.103230610312107","0.153798748135825"
"Yes","1985","Baden-Württemberg","Employed","62","0.0587536672022285","0.0463147676591718","0.0711925667452852"
"Yes","1985","Bavaria","Not Employed","117","0.206153951521874","0.175220428706679","0.237087474337069"
"Yes","1985","Bavaria","Employed","56","0.0581612063900751","0.0451708862337225","0.0711515265464277"
"Yes","1985","Berlin","Not Employed","28","","",""
"Yes","1985","Berlin","Employed","21","","",""
"Yes","1985","Brandenburg","Not Employed","","","",""
"Yes","1985","Brandenburg","Employed","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Yes","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"Yes","1985","Saxony","Not Employed","","","",""
"Yes","1985","Saxony","Employed","","","",""
"Yes","1985","Saxony-Anhalt","Not Employed","","","",""
"Yes","1985","Saxony-Anhalt","Employed","","","",""
"Yes","1985","Thuringia","Not Employed","","","",""
"Yes","1985","Thuringia","Employed","","","",""
"No","1985","Schleswig-Holstein","Not Employed","114","0.848638559360847","0.787728183803472","0.909548934918222"
"No","1985","Schleswig-Holstein","Employed","202","0.918383996124718","0.881957446094554","0.954810546154882"
"No","1985","Hamburg","Not Employed","95","0.893136387911929","0.834323978067558","0.951948797756299"
"No","1985","Hamburg","Employed","163","0.945114273858107","0.911076924217409","0.979151623498804"
"No","1985","Lower Saxony","Not Employed","416","0.85470559191639","0.823147331399936","0.886263852432844"
"No","1985","Lower Saxony","Employed","578","0.919971401583097","0.898681896518469","0.941260906647725"
"No","1985","Bremen","Not Employed","49","0.757982289034113","0.653859806013389","0.862104772054838"
"No","1985","Bremen","Employed","48","0.945804212853026","0.883049481443585","1.00855894426247"
"No","1985","North Rhine-Westphalia","Not Employed","987","0.800488823669972","0.777589829256925","0.823387818083019"
"No","1985","North Rhine-Westphalia","Employed","1631","0.90476690028219","0.891068775665342","0.918465024899039"
"No","1985","Hesse","Not Employed","355","0.798947613732016","0.760753918760851","0.837141308703181"
"No","1985","Hesse","Employed","670","0.928568201630676","0.909610849848058","0.947525553413295"
"No","1985","Rhineland-Palatinate,Saarland","Not Employed","283","0.838680039420306","0.799054398365239","0.878305680475372"
"No","1985","Rhineland-Palatinate,Saarland","Employed","411","0.93292549164718","0.909525372972527","0.956325610321832"
"No","1985","Baden-Württemberg","Not Employed","602","0.871485320776034","0.846201251864175","0.896769389687893"
"No","1985","Baden-Württemberg","Employed","1311","0.941246332797771","0.928807433254715","0.953685232340828"
"No","1985","Bavaria","Not Employed","540","0.793846048478126","0.762912525662931","0.824779571293321"
"No","1985","Bavaria","Employed","1191","0.941838793609925","0.928848473453572","0.954829113766277"
"No","1985","Berlin","Not Employed","94","0.718521590692689","0.638720168536889","0.79832301284849"
"No","1985","Berlin","Employed","223","0.908251190634774","0.872030528574388","0.94447185269516"
"No","1985","Brandenburg","Not Employed","","","",""
"No","1985","Brandenburg","Employed","","","",""
"No","1985","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1985","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1985","Saxony","Not Employed","","","",""
"No","1985","Saxony","Employed","","","",""
"No","1985","Saxony-Anhalt","Not Employed","","","",""
"No","1985","Saxony-Anhalt","Employed","","","",""
"No","1985","Thuringia","Not Employed","","","",""
"No","1985","Thuringia","Employed","","","",""
"Yes","1986","Schleswig-Holstein","Not Employed","","","",""
"Yes","1986","Schleswig-Holstein","Employed","","","",""
"Yes","1986","Hamburg","Not Employed","","","",""
"Yes","1986","Hamburg","Employed","","","",""
"Yes","1986","Lower Saxony","Not Employed","2","","",""
"Yes","1986","Lower Saxony","Employed","","","",""
"Yes","1986","Bremen","Not Employed","","","",""
"Yes","1986","Bremen","Employed","","","",""
"Yes","1986","North Rhine-Westphalia","Not Employed","1","","",""
"Yes","1986","North Rhine-Westphalia","Employed","","","",""
"Yes","1986","Hesse","Not Employed","","","",""
"Yes","1986","Hesse","Employed","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","Employed","","","",""
"Yes","1986","Baden-Württemberg","Not Employed","1","","",""
"Yes","1986","Baden-Württemberg","Employed","2","","",""
"Yes","1986","Bavaria","Not Employed","","","",""
"Yes","1986","Bavaria","Employed","","","",""
"Yes","1986","Berlin","Not Employed","1","","",""
"Yes","1986","Berlin","Employed","1","","",""
"Yes","1986","Brandenburg","Not Employed","","","",""
"Yes","1986","Brandenburg","Employed","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"Yes","1986","Saxony","Not Employed","","","",""
"Yes","1986","Saxony","Employed","","","",""
"Yes","1986","Saxony-Anhalt","Not Employed","","","",""
"Yes","1986","Saxony-Anhalt","Employed","","","",""
"Yes","1986","Thuringia","Not Employed","","","",""
"Yes","1986","Thuringia","Employed","","","",""
"No","1986","Schleswig-Holstein","Not Employed","7","","",""
"No","1986","Schleswig-Holstein","Employed","4","","",""
"No","1986","Hamburg","Not Employed","9","","",""
"No","1986","Hamburg","Employed","2","","",""
"No","1986","Lower Saxony","Not Employed","38","0.9569452272478","0.894042092856008","1.01984836163959"
"No","1986","Lower Saxony","Employed","22","","",""
"No","1986","Bremen","Not Employed","","","",""
"No","1986","Bremen","Employed","3","","",""
"No","1986","North Rhine-Westphalia","Not Employed","67","0.987373616452332","0.960835268581856","1.01391196432281"
"No","1986","North Rhine-Westphalia","Employed","67","1","1","1"
"No","1986","Hesse","Not Employed","24","","",""
"No","1986","Hesse","Employed","19","","",""
"No","1986","Rhineland-Palatinate,Saarland","Not Employed","14","","",""
"No","1986","Rhineland-Palatinate,Saarland","Employed","24","","",""
"No","1986","Baden-Württemberg","Not Employed","56","0.973309910834847","0.931468025176424","1.01515179649327"
"No","1986","Baden-Württemberg","Employed","47","0.955159591968678","0.897213680359105","1.01310550357825"
"No","1986","Bavaria","Not Employed","26","","",""
"No","1986","Bavaria","Employed","29","","",""
"No","1986","Berlin","Not Employed","6","","",""
"No","1986","Berlin","Employed","5","","",""
"No","1986","Brandenburg","Not Employed","","","",""
"No","1986","Brandenburg","Employed","","","",""
"No","1986","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No","1986","Mecklenburg-Western Pomerania","Employed","","","",""
"No","1986","Saxony","Not Employed","","","",""
"No","1986","Saxony","Employed","","","",""
"No","1986","Saxony-Anhalt","Not Employed","","","",""
"No","1986","Saxony-Anhalt","Employed","","","",""
"No","1986","Thuringia","Not Employed","","","",""
"No","1986","Thuringia","Employed","","","",""
"Yes","1987","Schleswig-Holstein","Not Employed","20","","",""
"Yes","1987","Schleswig-Holstein","Employed","12","","",""
"Yes","1987","Hamburg","Not Employed","12","","",""
"Yes","1987","Hamburg","Employed","10","","",""
"Yes","1987","Lower Saxony","Not Employed","71","0.178499461272931","0.142263329853167","0.214735592692695"
