"ple0040","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","(0) in school","Male","1","","",""
"Yes","1984","(0) in school","Female","1","","",""
"Yes","1984","(1a) inadequately completed","Male","38","0.129860309883375","0.100096895023265","0.159623724743485"
"Yes","1984","(1a) inadequately completed","Female","31","0.067099850456286","0.047358181434522","0.08684151947805"
"Yes","1984","(1b) general elementary school","Male","118","0.191588457770853","0.166948725945958","0.216228189595747"
"Yes","1984","(1b) general elementary school","Female","178","0.11579267420812","0.101828581022528","0.129756767393712"
"Yes","1984","(1c) basic vocational qualification","Male","364","0.173028920251372","0.158268661339219","0.187789179163525"
"Yes","1984","(1c) basic vocational qualification","Female","160","0.109424064499505","0.0946926163880195","0.12415551261099"
"Yes","1984","(2b) intermediate general qualification","Male","5","","",""
"Yes","1984","(2b) intermediate general qualification","Female","13","","",""
"Yes","1984","(2a) intermediate vocational","Male","61","0.114532740149738","0.0891986783891959","0.139866801910279"
"Yes","1984","(2a) intermediate vocational","Female","55","0.0845271970855037","0.0652146352326284","0.103839758938379"
"Yes","1984","(2c_gen) general maturity certificate","Male","9","","",""
"Yes","1984","(2c_gen) general maturity certificate","Female","2","","",""
"Yes","1984","(2c_voc) vocational maturity certificate","Male","39","0.173695330955492","0.129320853598843","0.21806980831214"
"Yes","1984","(2c_voc) vocational maturity certificate","Female","10","","",""
"Yes","1984","(3a) lower tertiary education","Male","26","","",""
"Yes","1984","(3a) lower tertiary education","Female","3","","",""
"Yes","1984","(3b) higher tertiary education","Male","32","0.107381858001238","0.0745698091259682","0.140193906876509"
"Yes","1984","(3b) higher tertiary education","Female","10","","",""
"No","1984","(0) in school","Male","93","0.994461739536419","0.979459196127766","1.00946428294507"
"No","1984","(0) in school","Female","92","0.985215567752682","0.96068686528543","1.00974427021993"
"No","1984","(1a) inadequately completed","Male","452","0.870139690116626","0.840376275256516","0.899903104976735"
"No","1984","(1a) inadequately completed","Female","586","0.932900149543714","0.91315848052195","0.952641818565478"
"No","1984","(1b) general elementary school","Male","862","0.808411542229147","0.783771810404253","0.833051274054042"
"No","1984","(1b) general elementary school","Female","1839","0.88420732579188","0.870243232606288","0.898171418977472"
"No","1984","(1c) basic vocational qualification","Male","2159","0.826971079748628","0.812210820836475","0.841731338660781"
"No","1984","(1c) basic vocational qualification","Female","1565","0.890575935500495","0.87584448738901","0.90530738361198"
"No","1984","(2b) intermediate general qualification","Male","173","0.962299903642878","0.934318819264186","0.99028098802157"
"No","1984","(2b) intermediate general qualification","Female","283","0.938890796185804","0.911603337633504","0.966178254738104"
"No","1984","(2a) intermediate vocational","Male","546","0.885467259850262","0.860133198089721","0.910801321610804"
"No","1984","(2a) intermediate vocational","Female","742","0.915472802914496","0.896160241061621","0.934785364767372"
"No","1984","(2c_gen) general maturity certificate","Male","229","0.968866546214484","0.94680147956443","0.990931612864538"
"No","1984","(2c_gen) general maturity certificate","Female","172","0.970313874064916","0.945096123178948","0.995531624950884"
"No","1984","(2c_voc) vocational maturity certificate","Male","241","0.826304669044508","0.78193019168786","0.870679146401157"
"No","1984","(2c_voc) vocational maturity certificate","Female","164","0.935337250044559","0.8987958933821","0.971878606707019"
"No","1984","(3a) lower tertiary education","Male","164","0.84771321836139","0.796624280663147","0.898802156059632"
"No","1984","(3a) lower tertiary education","Female","71","0.957577249836033","0.911655487077056","1.00349901259501"
"No","1984","(3b) higher tertiary education","Male","310","0.892618141998762","0.859806093123491","0.925430190874032"
"No","1984","(3b) higher tertiary education","Female","172","0.928903577606366","0.891568110560379","0.966239044652354"
"Yes","1985","(0) in school","Male","1","","",""
"Yes","1985","(0) in school","Female","","","",""
"Yes","1985","(1a) inadequately completed","Male","37","0.201682203209377","0.162310578459721","0.241053827959033"
"Yes","1985","(1a) inadequately completed","Female","27","","",""
"Yes","1985","(1b) general elementary school","Male","103","0.185604903902202","0.159785196774665","0.21142461102974"
"Yes","1985","(1b) general elementary school","Female","142","0.104940235440962","0.0905233892499239","0.119357081632"
"Yes","1985","(1c) basic vocational qualification","Male","331","0.177166714302326","0.161421920881424","0.192911507723229"
"Yes","1985","(1c) basic vocational qualification","Female","133","0.105252221325534","0.0899352868761657","0.120569155774902"
"Yes","1985","(2b) intermediate general qualification","Male","4","","",""
"Yes","1985","(2b) intermediate general qualification","Female","12","","",""
"Yes","1985","(2a) intermediate vocational","Male","57","0.114486730243277","0.0884618175335266","0.140511642953028"
"Yes","1985","(2a) intermediate vocational","Female","59","0.0942516248412086","0.073519967274338","0.114983282408079"
"Yes","1985","(2c_gen) general maturity certificate","Male","9","","",""
"Yes","1985","(2c_gen) general maturity certificate","Female","3","","",""
"Yes","1985","(2c_voc) vocational maturity certificate","Male","32","0.146209961846627","0.102500520700027","0.189919402993226"
"Yes","1985","(2c_voc) vocational maturity certificate","Female","9","","",""
"Yes","1985","(3a) lower tertiary education","Male","25","","",""
"Yes","1985","(3a) lower tertiary education","Female","5","","",""
"Yes","1985","(3b) higher tertiary education","Male","25","","",""
"Yes","1985","(3b) higher tertiary education","Female","12","","",""
"No","1985","(0) in school","Male","110","0.995245837331082","0.98244940792113","1.00804226674103"
"No","1985","(0) in school","Female","73","1","1","1"
"No","1985","(1a) inadequately completed","Male","362","0.798317796790623","0.758946172040967","0.837689421540279"
"No","1985","(1a) inadequately completed","Female","486","0.915318277516644","0.891226418257307","0.939410136775981"
"No","1985","(1b) general elementary school","Male","768","0.814395096097798","0.78857538897026","0.840214803225335"
"No","1985","(1b) general elementary school","Female","1594","0.895059764559038","0.880642918368","0.909476610750076"
"No","1985","(1c) basic vocational qualification","Male","1928","0.822833285697674","0.807088492276771","0.838578079118576"
"No","1985","(1c) basic vocational qualification","Female","1409","0.894747778674466","0.879430844225098","0.910064713123834"
"No","1985","(2b) intermediate general qualification","Male","174","0.973231913979928","0.949520638273977","0.996943189685879"
"No","1985","(2b) intermediate general qualification","Female","281","0.943957833801556","0.917621941641162","0.97029372596195"
"No","1985","(2a) intermediate vocational","Male","518","0.885513269756723","0.859488357046972","0.911538182466473"
"No","1985","(2a) intermediate vocational","Female","704","0.905748375158791","0.885016717591921","0.926480032725662"
"No","1985","(2c_gen) general maturity certificate","Male","206","0.96288227781212","0.937612226938819","0.98815232868542"
"No","1985","(2c_gen) general maturity certificate","Female","156","0.958901800131636","0.928045205456552","0.989758394806719"
"No","1985","(2c_voc) vocational maturity certificate","Male","219","0.853790038153373","0.810080597006774","0.897499479299973"
"No","1985","(2c_voc) vocational maturity certificate","Female","155","0.929892401191599","0.890815054965088","0.96896974741811"
"No","1985","(3a) lower tertiary education","Male","151","0.843376179126797","0.789681490344387","0.897070867909207"
"No","1985","(3a) lower tertiary education","Female","66","0.920983484106832","0.858234922361234","0.983732045852429"
"No","1985","(3b) higher tertiary education","Male","308","0.910353650325166","0.879670683653492","0.94103661699684"
"No","1985","(3b) higher tertiary education","Female","162","0.911778633985407","0.869637612221944","0.95391965574887"
"Yes","1986","(0) in school","Male","1","","",""
"Yes","1986","(0) in school","Female","","","",""
"Yes","1986","(1a) inadequately completed","Male","","","",""
"Yes","1986","(1a) inadequately completed","Female","2","","",""
"Yes","1986","(1b) general elementary school","Male","","","",""
"Yes","1986","(1b) general elementary school","Female","1","","",""
"Yes","1986","(1c) basic vocational qualification","Male","2","","",""
"Yes","1986","(1c) basic vocational qualification","Female","","","",""
"Yes","1986","(2b) intermediate general qualification","Male","","","",""
"Yes","1986","(2b) intermediate general qualification","Female","1","","",""
"Yes","1986","(2a) intermediate vocational","Male","1","","",""
"Yes","1986","(2a) intermediate vocational","Female","","","",""
"Yes","1986","(2c_gen) general maturity certificate","Male","","","",""
"Yes","1986","(2c_gen) general maturity certificate","Female","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","1986","(3a) lower tertiary education","Male","","","",""
"Yes","1986","(3a) lower tertiary education","Female","","","",""
"Yes","1986","(3b) higher tertiary education","Male","","","",""
"Yes","1986","(3b) higher tertiary education","Female","","","",""
"No","1986","(0) in school","Male","51","0.978681393223863","0.939421736808683","1.01794104963904"
"No","1986","(0) in school","Female","38","1","1","1"
"No","1986","(1a) inadequately completed","Male","17","","",""
"No","1986","(1a) inadequately completed","Female","16","","",""
"No","1986","(1b) general elementary school","Male","74","1","1","1"
"No","1986","(1b) general elementary school","Female","74","0.991940376657935","0.971704705346003","1.01217604796987"
"No","1986","(1c) basic vocational qualification","Male","40","0.963154316636588","0.906181893476522","1.02012673979666"
"No","1986","(1c) basic vocational qualification","Female","29","","",""
"No","1986","(2b) intermediate general qualification","Male","27","","",""
"No","1986","(2b) intermediate general qualification","Female","24","","",""
"No","1986","(2a) intermediate vocational","Male","14","","",""
"No","1986","(2a) intermediate vocational","Female","24","","",""
"No","1986","(2c_gen) general maturity certificate","Male","5","","",""
"No","1986","(2c_gen) general maturity certificate","Female","6","","",""
"No","1986","(2c_voc) vocational maturity certificate","Male","4","","",""
"No","1986","(2c_voc) vocational maturity certificate","Female","8","","",""
"No","1986","(3a) lower tertiary education","Male","4","","",""
"No","1986","(3a) lower tertiary education","Female","1","","",""
"No","1986","(3b) higher tertiary education","Male","5","","",""
"No","1986","(3b) higher tertiary education","Female","6","","",""
"Yes","1987","(0) in school","Male","2","","",""
"Yes","1987","(0) in school","Female","2","","",""
"Yes","1987","(1a) inadequately completed","Male","39","0.170619726070177","0.1315980918105","0.209641360329853"
"Yes","1987","(1a) inadequately completed","Female","30","0.107991435208836","0.079628684757522","0.136354185660151"
"Yes","1987","(1b) general elementary school","Male","94","0.181075106938999","0.155111133985404","0.207039079892594"
"Yes","1987","(1b) general elementary school","Female","130","0.10483858861707","0.0897618377479172","0.119915339486222"
"Yes","1987","(1c) basic vocational qualification","Male","307","0.176639519558137","0.160324754724394","0.19295428439188"
"Yes","1987","(1c) basic vocational qualification","Female","133","0.110380319624751","0.0943394052544208","0.126421233995081"
"Yes","1987","(2b) intermediate general qualification","Male","5","","",""
"Yes","1987","(2b) intermediate general qualification","Female","16","","",""
"Yes","1987","(2a) intermediate vocational","Male","47","0.0953792848277486","0.0713283990840744","0.119430170571423"
"Yes","1987","(2a) intermediate vocational","Female","62","0.101695675186212","0.0801219369271816","0.123269413445242"
"Yes","1987","(2c_gen) general maturity certificate","Male","9","","",""
"Yes","1987","(2c_gen) general maturity certificate","Female","2","","",""
"Yes","1987","(2c_voc) vocational maturity certificate","Male","32","0.157777114858812","0.110563649917409","0.204990579800214"
"Yes","1987","(2c_voc) vocational maturity certificate","Female","10","","",""
"Yes","1987","(3a) lower tertiary education","Male","24","","",""
"Yes","1987","(3a) lower tertiary education","Female","4","","",""
"Yes","1987","(3b) higher tertiary education","Male","24","","",""
"Yes","1987","(3b) higher tertiary education","Female","8","","",""
"No","1987","(0) in school","Male","99","0.985453370243398","0.962103383609145","1.00880335687765"
"No","1987","(0) in school","Female","87","0.985746470254941","0.961120297815279","1.0103726426946"
"No","1987","(1a) inadequately completed","Male","318","0.829380273929823","0.790358639670147","0.8684019081895"
"No","1987","(1a) inadequately completed","Female","430","0.892008564791164","0.863645814339849","0.920371315242478"
"No","1987","(1b) general elementary school","Male","751","0.818924893061001","0.792960920107406","0.844888866014596"
"No","1987","(1b) general elementary school","Female","1456","0.89516141138293","0.880084660513778","0.910238162252083"
"No","1987","(1c) basic vocational qualification","Male","1792","0.823360480441863","0.807045715608119","0.839675245275606"
"No","1987","(1c) basic vocational qualification","Female","1333","0.889619680375249","0.873578766004919","0.905660594745579"
"No","1987","(2b) intermediate general qualification","Male","167","0.974341359304777","0.950711765331178","0.997970953278377"
"No","1987","(2b) intermediate general qualification","Female","245","0.908404693500733","0.873409843832909","0.943399543168557"
"No","1987","(2a) intermediate vocational","Male","526","0.904620715172251","0.880569829428577","0.928671600915926"
"No","1987","(2a) intermediate vocational","Female","692","0.898304324813788","0.876730586554758","0.919878063072818"
"No","1987","(2c_gen) general maturity certificate","Male","220","0.962295763681377","0.937625163718872","0.986966363643882"
"No","1987","(2c_gen) general maturity certificate","Female","151","0.956044768143582","0.923562467789492","0.988527068497671"
"No","1987","(2c_voc) vocational maturity certificate","Male","197","0.842222885141188","0.795009420199786","0.88943635008259"
"No","1987","(2c_voc) vocational maturity certificate","Female","166","0.93160547968196","0.894313243308009","0.968897716055912"
"No","1987","(3a) lower tertiary education","Male","152","0.855239354132425","0.803256412535942","0.907222295728908"
"No","1987","(3a) lower tertiary education","Female","68","0.937351216773848","0.881376830978038","0.993325602569657"
"No","1987","(3b) higher tertiary education","Male","296","0.909503895902479","0.878070570732559","0.940937221072399"
"No","1987","(3b) higher tertiary education","Female","167","0.945226204268003","0.911514294016101","0.978938114519905"
"Yes","1988","(0) in school","Male","","","",""
"Yes","1988","(0) in school","Female","1","","",""
"Yes","1988","(1a) inadequately completed","Male","39","0.183830175941857","0.140986972584824","0.22667337929889"
"Yes","1988","(1a) inadequately completed","Female","32","0.101573577126156","0.0732829439554006","0.129864210296911"
"Yes","1988","(1b) general elementary school","Male","100","0.191591002336165","0.164945175220625","0.218236829451705"
"Yes","1988","(1b) general elementary school","Female","148","0.131642544314177","0.114480987920012","0.148804100708341"
"Yes","1988","(1c) basic vocational qualification","Male","337","0.19461829643436","0.177293212806164","0.211943380062556"
"Yes","1988","(1c) basic vocational qualification","Female","142","0.123984903054809","0.106770698380132","0.141199107729486"
"Yes","1988","(2b) intermediate general qualification","Male","5","","",""
"Yes","1988","(2b) intermediate general qualification","Female","17","","",""
"Yes","1988","(2a) intermediate vocational","Male","52","0.108269052285166","0.0820861041352455","0.134452000435087"
"Yes","1988","(2a) intermediate vocational","Female","53","0.0994066890029275","0.0777314091536819","0.121081968852173"
"Yes","1988","(2c_gen) general maturity certificate","Male","7","","",""
"Yes","1988","(2c_gen) general maturity certificate","Female","2","","",""
"Yes","1988","(2c_voc) vocational maturity certificate","Male","37","0.206218462305405","0.152755746111864","0.259681178498947"
"Yes","1988","(2c_voc) vocational maturity certificate","Female","11","","",""
"Yes","1988","(3a) lower tertiary education","Male","20","","",""
"Yes","1988","(3a) lower tertiary education","Female","3","","",""
"Yes","1988","(3b) higher tertiary education","Male","20","","",""
"Yes","1988","(3b) higher tertiary education","Female","12","","",""
"No","1988","(0) in school","Male","90","1","1","1"
"No","1988","(0) in school","Female","72","0.975355765787995","0.939790516876397","1.01092101469959"
"No","1988","(1a) inadequately completed","Male","275","0.816169824058143","0.77332662070111","0.859013027415175"
