"ple0040","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","(0) in school","","","",""
"Yes","1984","1-pers.-HH","(1a) inadequately completed","4","","",""
"Yes","1984","1-pers.-HH","(1b) general elementary school","67","0.190185293019096","0.149645816585429","0.230724769452764"
"Yes","1984","1-pers.-HH","(1c) basic vocational qualification","70","0.191447820946906","0.153224349578848","0.229671292314964"
"Yes","1984","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes","1984","1-pers.-HH","(2a) intermediate vocational","26","","",""
"Yes","1984","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Yes","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1984","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Yes","1984","1-pers.-HH","(3b) higher tertiary education","6","","",""
"Yes","1984","(Married) couple without C. ","(0) in school","","","",""
"Yes","1984","(Married) couple without C. ","(1a) inadequately completed","15","","",""
"Yes","1984","(Married) couple without C. ","(1b) general elementary school","104","0.181795946617104","0.152077995641726","0.211513897592483"
"Yes","1984","(Married) couple without C. ","(1c) basic vocational qualification","229","0.233288123015063","0.208351975301472","0.258224270728655"
"Yes","1984","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Yes","1984","(Married) couple without C. ","(2a) intermediate vocational","50","0.164030339062618","0.1254555278342","0.202605150291036"
"Yes","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","1","","",""
"Yes","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","23","","",""
"Yes","1984","(Married) couple without C. ","(3a) lower tertiary education","18","","",""
"Yes","1984","(Married) couple without C. ","(3b) higher tertiary education","17","","",""
"Yes","1984","Single parent ","(0) in school","1","","",""
"Yes","1984","Single parent ","(1a) inadequately completed","5","","",""
"Yes","1984","Single parent ","(1b) general elementary school","16","","",""
"Yes","1984","Single parent ","(1c) basic vocational qualification","16","","",""
"Yes","1984","Single parent ","(2b) intermediate general qualification","1","","",""
"Yes","1984","Single parent ","(2a) intermediate vocational","7","","",""
"Yes","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1984","Single parent ","(3b) higher tertiary education","","","",""
"Yes","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1984","Couple + C. LE 16 ","(1a) inadequately completed","7","","",""
"Yes","1984","Couple + C. LE 16 ","(1b) general elementary school","23","","",""
"Yes","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","65","0.0630191094621873","0.0490834293942972","0.0769547895300774"
"Yes","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","3","","",""
"Yes","1984","Couple + C. LE 16 ","(2a) intermediate vocational","8","","",""
"Yes","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Yes","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1984","Couple + C. LE 16 ","(3a) lower tertiary education","2","","",""
"Yes","1984","Couple + C. LE 16 ","(3b) higher tertiary education","3","","",""
"Yes","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1984","Couple + C. GT 16 ","(1a) inadequately completed","15","","",""
"Yes","1984","Couple + C. GT 16 ","(1b) general elementary school","39","0.108085821001975","0.0793025447206933","0.136869097283257"
"Yes","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","86","0.143507169001129","0.116860929136612","0.170153408865647"
"Yes","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","2","","",""
