"ple0040","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","Not Employed","general elemantary","1517","0.841939270317149","0.824842835261054","0.859035705373244","2"
"No","1984","Not Employed","middle vocational","1542","0.796890754084722","0.778690384981209","0.815091123188234","2"
"No","1984","Employed","higher vocational","428","0.896418140185522","0.868957244959623","0.923879035411421","2"
"No","1984","Employed","higher education","592","0.927904806407558","0.907724010992097","0.948085601823019","2"
"No","1984","Not Employed","inadequately","347","0.877684307625931","0.844654013051846","0.910714602200017","2"
"No","1984","Not Employed","vocational + Abi","68","0.830508418657021","0.748802848115239","0.912213989198802","2"
"No","1984","Employed","vocational + Abi","218","0.936274990622811","0.904707443425646","0.967842537819976","2"
"No","1984","Not Employed","higher vocational","144","0.758622842515544","0.697126022242585","0.820119662788504","2"
"No","1984","Not Employed","in school","175","0.989263740918767","0.974081216263289","1.00444626557424","2"
"No","1984","Employed","middle vocational","3551","0.919312085914428","0.910670774886399","0.927953396942458","2"
"No","1984","Not Employed","higher education","125","0.784268689475458","0.719927765381937","0.848609613568978","2"
"No","1984","Employed","in school","9","","","","2"
"No","1984","Employed","inadequately","601","0.915191679601659","0.893505715987808","0.936877643215511","2"
"No","1984","Employed","general elemantary","1621","0.936748544382567","0.925170744898354","0.94832634386678","2"
"Yes","1984","Not Employed","in school","2","","","","1"
"Yes","1984","Not Employed","inadequately","31","0.122315692374069","0.0892853977999835","0.155345986948155","1"
"Yes","1984","Not Employed","general elemantary","232","0.158060729682851","0.140964294626756","0.175157164738946","1"
"Yes","1984","Not Employed","middle vocational","335","0.203109245915278","0.184908876811766","0.221309615018791","1"
"Yes","1984","Not Employed","vocational + Abi","13","","","","1"
"Yes","1984","Not Employed","higher vocational","42","0.241377157484456","0.179880337211496","0.302873977757415","1"
"Yes","1984","Not Employed","higher education","32","0.215731310524542","0.151390386431022","0.280072234618063","1"
"Yes","1984","Employed","in school","","","","","1"
"Yes","1984","Employed","inadequately","33","0.0848083203983406","0.0631223567844894","0.106494284012192","1"
"Yes","1984","Employed","general elemantary","77","0.063251455617433","0.0516736561332205","0.0748292551016456","1"
"Yes","1984","Employed","middle vocational","265","0.0806879140855715","0.0720466030575417","0.0893292251136013","1"
"Yes","1984","Employed","vocational + Abi","12","","","","1"
"Yes","1984","Employed","higher vocational","45","0.103581859814478","0.0761209645885787","0.131042755040377","1"
"Yes","1984","Employed","higher education","39","0.072095193592442","0.0519143981769809","0.0922759890079031","1"
"No","1985","Not Employed","vocational + Abi","66","0.830104030934553","0.747292208117662","0.912915853751444","2"
"No","1985","Not Employed","higher vocational","122","0.71113313966659","0.642597294995961","0.779668984337219","2"
"No","1985","Not Employed","middle vocational","1381","0.788878713700124","0.769421714136106","0.808335713264142","2"
"No","1985","Not Employed","general elemantary","1327","0.857051266308144","0.839402700626107","0.874699831990182","2"
"No","1985","Not Employed","inadequately","300","0.792991604541804","0.749798142485243","0.836185066598365","2"
"No","1985","Not Employed","in school","176","0.996983941614421","0.988905540529664","1.00506234269918","2"
"No","1985","Employed","vocational + Abi","193","0.951628210802103","0.921967620357315","0.98128880124689","2"
"No","1985","Employed","higher vocational","409","0.895372964593515","0.867156485417022","0.923589443770008","2"
"No","1985","Employed","middle vocational","3241","0.925265725689095","0.916507522961744","0.934023928416445","2"
"No","1985","Employed","higher education","569","0.927091451328364","0.906408892879335","0.947774009777393","2"
"No","1985","Not Employed","higher education","118","0.781809560075876","0.715043189133473","0.848575931018278","2"
"No","1985","Employed","in school","7","","","","2"
"No","1985","Employed","inadequately","484","0.937117951114178","0.915966834332624","0.958269067895731","2"
"No","1985","Employed","general elemantary","1464","0.935295456631474","0.92300093249307","0.947589980769877","2"
"Yes","1985","Not Employed","in school","1","","","","1"
"Yes","1985","Not Employed","inadequately","38","0.207008395458196","0.163814933401635","0.250201857514757","1"
"Yes","1985","Not Employed","general elemantary","184","0.142948733691856","0.125300168009818","0.160597299373893","1"
"Yes","1985","Not Employed","middle vocational","309","0.211121286299876","0.191664286735858","0.230578285863894","1"
"Yes","1985","Not Employed","vocational + Abi","13","","","","1"
"Yes","1985","Not Employed","higher vocational","46","0.28886686033341","0.220331015662781","0.357402705004039","1"
"Yes","1985","Not Employed","higher education","29","","","","1"
"Yes","1985","Employed","in school","","","","","1"
"Yes","1985","Employed","inadequately","22","","","","1"
"Yes","1985","Employed","general elemantary","74","0.0647045433685261","0.0524100192301227","0.0769990675069296","1"
"Yes","1985","Employed","middle vocational","222","0.0747342743109054","0.0659760715835552","0.0834924770382556","1"
"Yes","1985","Employed","vocational + Abi","8","","","","1"
"Yes","1985","Employed","higher vocational","43","0.104627035406485","0.0764105562299924","0.132843514582978","1"
"Yes","1985","Employed","higher education","38","0.072908548671636","0.0522259902226068","0.0935911071206653","1"
"No","1986","Not Employed","inadequately","21","","","","2"
"No","1986","Not Employed","general elemantary","111","0.987692137595135","0.967363373140554","1.00802090204972","2"
"No","1986","Employed","higher education","15","","","","2"
"No","1986","Not Employed","middle vocational","20","","","","2"
"No","1986","Employed","vocational + Abi","6","","","","2"
"No","1986","Not Employed","vocational + Abi","4","","","","2"
"No","1986","Not Employed","higher vocational","1","","","","2"
"No","1986","Employed","higher vocational","7","","","","2"
"No","1986","Not Employed","in school","89","0.987684785585767","0.964899367225754","1.01047020394578","2"
"No","1986","Employed","middle vocational","95","0.973005636631451","0.940918624680093","1.00509264858281","2"
"No","1986","Not Employed","higher education","1","","","","2"
"No","1986","Employed","in school","","","","","2"
"No","1986","Employed","inadequately","10","","","","2"
"No","1986","Employed","general elemantary","87","1","1","1","2"
"Yes","1986","Not Employed","in school","1","","","","1"
"Yes","1986","Not Employed","inadequately","2","","","","1"
"Yes","1986","Not Employed","general elemantary","2","","","","1"
"Yes","1986","Not Employed","middle vocational","","","","","1"
"Yes","1986","Not Employed","vocational + Abi","","","","","1"
"Yes","1986","Not Employed","higher vocational","","","","","1"
"Yes","1986","Not Employed","higher education","","","","","1"
"Yes","1986","Employed","in school","","","","","1"
"Yes","1986","Employed","inadequately","","","","","1"
"Yes","1986","Employed","general elemantary","","","","","1"
"Yes","1986","Employed","middle vocational","3","","","","1"
"Yes","1986","Employed","vocational + Abi","","","","","1"
"Yes","1986","Employed","higher vocational","","","","","1"
"Yes","1986","Employed","higher education","","","","","1"
"No","1987","Not Employed","general elemantary","1134","0.846063416653052","0.826438135128408","0.865688698177695","2"
"No","1987","Not Employed","inadequately","248","0.763278480265652","0.714186310615855","0.812370649915449","2"
"No","1987","Employed","higher education","575","0.953540235919996","0.936712764299269","0.970367707540724","2"
"No","1987","Not Employed","middle vocational","1283","0.781653142121174","0.761314873921868","0.80199141032048","2"
"No","1987","Employed","vocational + Abi","196","0.95159175786842","0.922211462843288","0.980972052893551","2"
"No","1987","Not Employed","higher vocational","115","0.692205218061254","0.620906254973413","0.763504181149095","2"
"No","1987","Employed","higher vocational","372","0.915664137393305","0.888633311050658","0.942694963735951","2"
"No","1987","Not Employed","vocational + Abi","61","0.840405091781682","0.755811844611458","0.924998338951907","2"
"No","1987","Not Employed","in school","173","0.984068989548753","0.965623257640746","1.00251472145676","2"
"No","1987","Employed","middle vocational","3162","0.928540429203929","0.919846123256144","0.937234735151715","2"
"No","1987","Not Employed","higher education","108","0.748694901332906","0.677350974995497","0.820038827670315","2"
"No","1987","Employed","in school","12","","","","2"
"No","1987","Employed","inadequately","441","0.913669508250559","0.888197316002542","0.939141700498576","2"
"No","1987","Employed","general elemantary","1461","0.938380203206441","0.926350817491274","0.950409588921608","2"
"Yes","1987","Not Employed","in school","4","","","","1"
"Yes","1987","Not Employed","inadequately","40","0.236721519734349","0.187629350084552","0.285813689384145","1"
"Yes","1987","Not Employed","general elemantary","165","0.153936583346948","0.134311301822305","0.173561864871592","1"
"Yes","1987","Not Employed","middle vocational","302","0.218346857878826","0.19800858967952","0.238685126078132","1"
"Yes","1987","Not Employed","vocational + Abi","11","","","","1"
"Yes","1987","Not Employed","higher vocational","46","0.307794781938746","0.236495818850905","0.379093745026587","1"
"Yes","1987","Not Employed","higher education","34","0.251305098667094","0.179961172329685","0.322649025004503","1"
"Yes","1987","Employed","in school","","","","","1"
"Yes","1987","Employed","inadequately","26","","","","1"
"Yes","1987","Employed","general elemantary","74","0.0616197967935588","0.0495904110783919","0.0736491825087257","1"
"Yes","1987","Employed","middle vocational","210","0.0714595707960706","0.062765264848285","0.0801538767438562","1"
"Yes","1987","Employed","vocational + Abi","9","","","","1"
"Yes","1987","Employed","higher vocational","34","0.0843358626066956","0.0573050362640492","0.111366688949342","1"
"Yes","1987","Employed","higher education","26","","","","1"
"No","1988","Not Employed","general elemantary","1025","0.814983845124153","0.793050030277446","0.836917659970861","2"
"No","1988","Not Employed","inadequately","254","0.759030109403293","0.710391543814571","0.807668674992015","2"
"No","1988","Employed","vocational + Abi","187","0.928221814282522","0.89244882627846","0.963994802286584","2"
"No","1988","Employed","higher education","541","0.947941295168786","0.929672440365391","0.966210149972181","2"
"No","1988","Not Employed","middle vocational","1152","0.741634619130841","0.719430663813135","0.763838574448548","2"
"No","1988","Not Employed","vocational + Abi","56","0.755685419233507","0.655739715265031","0.855631123201982","2"
"No","1988","Not Employed","higher vocational","107","0.699829940993905","0.626237213059552","0.773422668928257","2"
"No","1988","Employed","higher vocational","359","0.919006669959312","0.891929719716635","0.946083620201988","2"
"No","1988","Not Employed","in school","154","0.988328587161544","0.971420493839916","1.00523668048317","2"
"No","1988","Not Employed","higher education","101","0.748246628705255","0.67334982782686","0.823143429583649","2"
"No","1988","Employed","middle vocational","3030","0.929036859881246","0.920194351055276","0.937879368707216","2"
"No","1988","Employed","in school","8","","","","2"
"No","1988","Employed","inadequately","375","0.927350590334773","0.901977516357405","0.952723664312141","2"
"No","1988","Employed","general elemantary","1438","0.930450418607121","0.917670307108167","0.943230530106075","2"
"Yes","1988","Not Employed","in school","1","","","","1"
"Yes","1988","Not Employed","inadequately","43","0.240969890596707","0.192331325007984","0.289608456185429","1"
