"ple0040","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","inadequately","Male","390","0.872623526782474","0.840814532763992","0.904432520800957","2"
"No","1984","inadequately","Female","558","0.918765037490559","0.896720763132093","0.940809311849025","2"
"No","1984","higher education","Male","474","0.875021977789172","0.846921184561303","0.90312277101704","2"
"No","1984","higher education","Female","243","0.937483494453502","0.907827856522942","0.967139132384063","2"
"No","1984","in school","Female","91","0.985187417291219","0.960502652140272","1.00987218244217","2"
"No","1984","general elemantary","Male","1024","0.841705606238433","0.820553775832471","0.862857436644395","2"
"No","1984","higher vocational","Female","253","0.897219032880084","0.861392965463187","0.933045100296981","2"
"No","1984","general elemantary","Female","2114","0.892274484673163","0.879612270668884","0.904936698677442","2"
"No","1984","in school","Male","93","0.994461739536419","0.979459196127766","1.00946428294507","2"
"No","1984","higher vocational","Male","319","0.820204409862924","0.781745296145406","0.858663523580441","2"
"No","1984","middle vocational","Male","2762","0.846875542064084","0.834323937869644","0.859427146258525","2"
"No","1984","middle vocational","Female","2331","0.903281254869944","0.891766124907103","0.914796384832785","2"
"No","1984","vocational + Abi","Male","175","0.864145387647159","0.816054655687154","0.912236119607163","2"
"No","1984","vocational + Abi","Female","111","0.962222364280299","0.927526779879213","0.996917948681386","2"
"Yes","1984","in school","Male","1","","","","1"
"Yes","1984","in school","Female","1","","","","1"
"Yes","1984","inadequately","Male","32","0.127376473217525","0.0955674791990432","0.159185467236008","1"
"Yes","1984","inadequately","Female","32","0.0812349625094414","0.0591906881509754","0.103279236867907","1"
"Yes","1984","general elemantary","Male","120","0.158294393761567","0.137142563355606","0.179446224167529","1"
"Yes","1984","general elemantary","Female","189","0.107725515326837","0.0950633013225578","0.120387729331116","1"
"Yes","1984","middle vocational","Male","400","0.153124457935916","0.140572853741475","0.165676062130356","1"
"Yes","1984","middle vocational","Female","200","0.0967187451300556","0.0852036151672147","0.108233875092897","1"
"Yes","1984","vocational + Abi","Male","20","","","","1"
"Yes","1984","vocational + Abi","Female","5","","","","1"
"Yes","1984","higher vocational","Male","64","0.179795590137076","0.141336476419559","0.218254703854594","1"
"Yes","1984","higher vocational","Female","23","","","","1"
"Yes","1984","higher education","Male","58","0.124978022210828","0.0968772289829595","0.153078815438697","1"
"Yes","1984","higher education","Female","13","","","","1"
"No","1985","general elemantary","Male","926","0.850452285696986","0.828672964249272","0.8722316071447","2"
"No","1985","general elemantary","Female","1865","0.902206866384607","0.889250381973067","0.915163350796146","2"
"No","1985","inadequately","Female","464","0.918752447068042","0.894536689471908","0.942968204664175","2"
"No","1985","inadequately","Male","320","0.806869663993847","0.765805701338142","0.847933626649553","2"
"No","1985","in school","Female","73","1","1","1","2"
"No","1985","in school","Male","110","0.995245837331082","0.98244940792113","1.00804226674103","2"
"No","1985","higher vocational","Female","233","0.869274882610365","0.828220805401919","0.910328959818812","2"
"No","1985","higher education","Male","459","0.885054058971341","0.857345054740927","0.912763063201754","2"
"No","1985","higher vocational","Male","298","0.816116108653819","0.776154560218189","0.856077657089449","2"
"No","1985","higher education","Female","228","0.91453741147359","0.879530499035709","0.949544323911471","2"
"No","1985","middle vocational","Male","2483","0.844724447719932","0.831404638818424","0.858044256621441","2"
"No","1985","middle vocational","Female","2139","0.906641244818683","0.894784771268014","0.918497718369353","2"
"No","1985","vocational + Abi","Male","158","0.894937654075321","0.849245148132068","0.940630160018573","2"
"No","1985","vocational + Abi","Female","101","0.931099707213188","0.883108151223219","0.979091263203157","2"
"Yes","1985","in school","Male","1","","","","1"
"Yes","1985","in school","Female","","","","","1"
"Yes","1985","inadequately","Male","35","0.193130336006153","0.152066373350448","0.234194298661858","1"
"Yes","1985","inadequately","Female","25","","","","1"
"Yes","1985","general elemantary","Male","104","0.149547714303014","0.1277683928553","0.171327035750728","1"
"Yes","1985","general elemantary","Female","154","0.0977931336153934","0.0848366492038537","0.110749618026933","1"
"Yes","1985","middle vocational","Male","357","0.155275552280068","0.141955743378559","0.168595361181576","1"
"Yes","1985","middle vocational","Female","174","0.0933587551813167","0.0815022816306474","0.105215228731986","1"
"Yes","1985","vocational + Abi","Male","15","","","","1"
"Yes","1985","vocational + Abi","Female","6","","","","1"
"Yes","1985","higher vocational","Male","63","0.183883891346181","0.143922342910551","0.223845439781811","1"
"Yes","1985","higher vocational","Female","26","","","","1"
"Yes","1985","higher education","Male","50","0.114945941028659","0.0872369367982458","0.142654945259073","1"
"Yes","1985","higher education","Female","17","","","","1"
"No","1986","in school","Female","38","1","1","1","2"
"No","1986","inadequately","Male","16","","","","2"
"No","1986","higher education","Female","7","","","","2"
"No","1986","inadequately","Female","15","","","","2"
"No","1986","higher vocational","Female","4","","","","2"
"No","1986","general elemantary","Male","100","1","1","1","2"
"No","1986","general elemantary","Female","98","0.986164459488118","0.963270504235305","1.00905841474093","2"
"No","1986","higher education","Male","9","","","","2"
"No","1986","in school","Male","51","0.978681393223863","0.939421736808683","1.01794104963904","2"
"No","1986","higher vocational","Male","4","","","","2"
"No","1986","middle vocational","Male","58","0.957121934154094","0.906284408866921","1.00795945944127","2"
"No","1986","middle vocational","Female","57","1","1","1","2"
"No","1986","vocational + Abi","Male","3","","","","2"
"No","1986","vocational + Abi","Female","7","","","","2"
"Yes","1986","in school","Male","1","","","","1"
"Yes","1986","in school","Female","","","","","1"
"Yes","1986","inadequately","Male","","","","","1"
"Yes","1986","inadequately","Female","2","","","","1"
"Yes","1986","general elemantary","Male","","","","","1"
"Yes","1986","general elemantary","Female","2","","","","1"
"Yes","1986","middle vocational","Male","3","","","","1"
"Yes","1986","middle vocational","Female","","","","","1"
"Yes","1986","vocational + Abi","Male","","","","","1"
"Yes","1986","vocational + Abi","Female","","","","","1"
"Yes","1986","higher vocational","Male","","","","","1"
"Yes","1986","higher vocational","Female","","","","","1"
"Yes","1986","higher education","Male","","","","","1"
"Yes","1986","higher education","Female","","","","","1"
"No","1987","inadequately","Male","276","0.824308871867376","0.782013991653635","0.866603752081117","2"
"No","1987","in school","Female","87","0.985746470254941","0.961120297815279","1.0103726426946","2"
"No","1987","higher education","Female","235","0.94286636625386","0.913921562487675","0.971811170020045","2"
"No","1987","inadequately","Female","413","0.875694845433916","0.845006210453633","0.906383480414199","2"
"No","1987","higher vocational","Female","229","0.896087161646039","0.858109171103171","0.934065152188908","2"
"No","1987","general elemantary","Female","1689","0.897722793606813","0.883851166258897","0.911594420954729","2"
"No","1987","higher education","Male","448","0.88807012395701","0.860323899568934","0.915816348345086","2"
"No","1987","general elemantary","Male","906","0.856065589674848","0.834320215300134","0.877810964049561","2"
"No","1987","in school","Male","98","0.98529227730103","0.961698181040404","1.00888637356166","2"
"No","1987","higher vocational","Male","258","0.799680596774513","0.755759564615929","0.843601628933097","2"
"No","1987","middle vocational","Male","2396","0.852121176974298","0.838795513628735","0.865446840319861","2"
"No","1987","middle vocational","Female","2049","0.897311537916675","0.884715592883824","0.909907482949525","2"
"No","1987","vocational + Abi","Male","147","0.901036452262024","0.854766728339938","0.947306176184111","2"
"No","1987","vocational + Abi","Female","110","0.939039127852169","0.895685784991038","0.9823924707133","2"
"Yes","1987","in school","Male","2","","","","1"
"Yes","1987","in school","Female","2","","","","1"
"Yes","1987","inadequately","Male","35","0.175691128132624","0.133396247918883","0.217986008346365","1"
"Yes","1987","inadequately","Female","31","0.124305154566084","0.0936165195858007","0.154993789546367","1"
"Yes","1987","general elemantary","Male","95","0.143934410325152","0.122189035950439","0.165679784699866","1"
"Yes","1987","general elemantary","Female","144","0.102277206393187","0.0884055790452712","0.116148833741103","1"
"Yes","1987","middle vocational","Male","330","0.147878823025702","0.134553159680139","0.161204486371265","1"
"Yes","1987","middle vocational","Female","182","0.102688462083325","0.0900925170504747","0.115284407116176","1"
"Yes","1987","vocational + Abi","Male","13","","","","1"
"Yes","1987","vocational + Abi","Female","7","","","","1"
"Yes","1987","higher vocational","Male","61","0.200319403225487","0.156398371066903","0.244240435384071","1"
"Yes","1987","higher vocational","Female","19","","","","1"
"Yes","1987","higher education","Male","48","0.11192987604299","0.0841836516549139","0.139676100431066","1"
"Yes","1987","higher education","Female","12","","","","1"
"No","1988","inadequately","Male","241","0.799729048656845","0.752769230618355","0.846688866695336","2"
"No","1988","in school","Female","72","0.975355765787995","0.939790516876397","1.01092101469959","2"
"No","1988","higher vocational","Female","211","0.901881792180914","0.863269082419093","0.940494501942736","2"
"No","1988","higher education","Female","211","0.913497325442058","0.876848312762441","0.950146338121674","2"
"No","1988","inadequately","Female","388","0.879549457141194","0.848420973955349","0.910677940327039","2"
"No","1988","general elemantary","Male","876","0.840029312687811","0.817031284176617","0.863027341199005","2"
"No","1988","general elemantary","Female","1587","0.87546546074477","0.859995347807065","0.890935573682475","2"
"No","1988","higher education","Male","431","0.90245976606882","0.875665401731964","0.929254130405677","2"
"No","1988","in school","Male","90","1","1","1","2"
"No","1988","middle vocational","Male","2221","0.834686825151065","0.820369913553291","0.849003736748838","2"
"No","1988","higher vocational","Male","255","0.80803458568753","0.764262789662987","0.851806381712072","2"
