"ple0040","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1985","Full Time","Urban Area","3749","0.920450513645803","0.912062761124477","0.928838266167128","2"
"No","1985","Full Time","Rural Area","933","0.944804370288553","0.930477660119453","0.959131080457653","2"
"No","1985","Part Time","Urban Area","1383","0.927248471937625","0.914002709359694","0.940494234515556","2"
"No","1985","Part Time","Rural Area","363","0.921285435209975","0.89449024278482","0.94808062763513","2"
"No","1985","Not Working","Urban Area","2764","0.813268632005767","0.799879113277945","0.826658150733589","2"
"No","1985","Not Working","Rural Area","771","0.840354388653345","0.816490922231622","0.864217855075068","2"
"Yes","1985","Full Time","Urban Area","249","0.0795494863541975","0.0711617338328722","0.0879372388755228","1"
"Yes","1985","Full Time","Rural Area","43","0.055195629711447","0.040868919542347","0.0695223398805469","1"
"Yes","1985","Part Time","Urban Area","94","0.0727515280623751","0.0595057654844436","0.0859972906403065","1"
"Yes","1985","Part Time","Rural Area","25","","","","1"
"Yes","1985","Not Working","Urban Area","490","0.186731367994233","0.173341849266411","0.200120886722055","1"
"Yes","1985","Not Working","Rural Area","134","0.159645611346655","0.135782144924932","0.183509077768379","1"
"No","1986","Full Time","Rural Area","24","","","","2"
"No","1986","Full Time","Urban Area","116","0.975740818080787","0.948098152319795","1.00338348384178","2"
"No","1986","Part Time","Rural Area","16","","","","2"
"No","1986","Part Time","Urban Area","66","1","1","1","2"
"No","1986","Not Working","Urban Area","207","0.992385614417958","0.980600532365961","1.00417069646995","2"
"No","1986","Not Working","Rural Area","40","0.946816152422841","0.879744876385611","1.01388742846007","2"
"Yes","1986","Full Time","Urban Area","3","","","","1"
"Yes","1986","Full Time","Rural Area","","","","","1"
"Yes","1986","Part Time","Urban Area","","","","","1"
"Yes","1986","Part Time","Rural Area","","","","","1"
"Yes","1986","Not Working","Urban Area","2","","","","1"
"Yes","1986","Not Working","Rural Area","3","","","","1"
"No","1987","Full Time","Urban Area","3665","0.928730303983721","0.920658955902768","0.936801652064673","2"
