"ple0040","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","(0) in school","","","",""
"Yes","1984","Full Time","(1a) inadequately completed","29","","",""
"Yes","1984","Full Time","(1b) general elementary school","48","0.0716350390390955","0.055878438500988","0.0873916395772031"
"Yes","1984","Full Time","(1c) basic vocational qualification","169","0.0878729369098962","0.0763103139627854","0.0994355598570071"
"Yes","1984","Full Time","(2b) intermediate general qualification","2","","",""
"Yes","1984","Full Time","(2a) intermediate vocational","41","0.0623982995024393","0.0452805770914619","0.0795160219134167"
"Yes","1984","Full Time","(2c_gen) general maturity certificate","6","","",""
"Yes","1984","Full Time","(2c_voc) vocational maturity certificate","17","","",""
"Yes","1984","Full Time","(3a) lower tertiary education","13","","",""
"Yes","1984","Full Time","(3b) higher tertiary education","18","","",""
"Yes","1984","Part Time","(0) in school","","","",""
"Yes","1984","Part Time","(1a) inadequately completed","8","","",""
"Yes","1984","Part Time","(1b) general elementary school","28","","",""
"Yes","1984","Part Time","(1c) basic vocational qualification","61","0.110188447795117","0.0853399450070642","0.135036950583171"
"Yes","1984","Part Time","(2b) intermediate general qualification","2","","",""
"Yes","1984","Part Time","(2a) intermediate vocational","14","","",""
"Yes","1984","Part Time","(2c_gen) general maturity certificate","1","","",""
"Yes","1984","Part Time","(2c_voc) vocational maturity certificate","5","","",""
"Yes","1984","Part Time","(3a) lower tertiary education","3","","",""
"Yes","1984","Part Time","(3b) higher tertiary education","5","","",""
"Yes","1984","Not Working","(0) in school","2","","",""
"Yes","1984","Not Working","(1a) inadequately completed","32","0.136214769232061","0.102430425693864","0.169999112770258"
"Yes","1984","Not Working","(1b) general elementary school","220","0.170281749535483","0.15138549761056","0.189178001460407"
"Yes","1984","Not Working","(1c) basic vocational qualification","294","0.238123274580256","0.215275140719584","0.260971408440929"
"Yes","1984","Not Working","(2b) intermediate general qualification","14","","",""
"Yes","1984","Not Working","(2a) intermediate vocational","61","0.163728666904151","0.127823745764457","0.199633588043845"
