"ple0040","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","in school","West Germany","2","","",""
"Yes","1984","in school","East Germany","","","",""
"Yes","1984","inadequately","West Germany","64","0.101640278548328","0.0830230129748368","0.12025754412182"
"Yes","1984","inadequately","East Germany","","","",""
"Yes","1984","general elemantary","West Germany","309","0.120820768401862","0.109940566457588","0.131700970346136"
"Yes","1984","general elemantary","East Germany","","","",""
"Yes","1984","middle vocational","West Germany","600","0.127130304186286","0.118477104015774","0.135783504356797"
"Yes","1984","middle vocational","East Germany","","","",""
"Yes","1984","vocational + Abi","West Germany","25","","",""
"Yes","1984","vocational + Abi","East Germany","","","",""
"Yes","1984","higher vocational","West Germany","87","0.147416211947093","0.120348811853277","0.17448361204091"
"Yes","1984","higher vocational","East Germany","","","",""
"Yes","1984","higher education","West Germany","71","0.104350908942183","0.0830056196490938","0.125696198235273"
"Yes","1984","higher education","East Germany","","","",""
"No","1984","in school","West Germany","184","0.98988066207959","0.975497343880496","1.00426398027868"
"No","1984","in school","East Germany","","","",""
"No","1984","inadequately","West Germany","948","0.898359721451672","0.87974245587818","0.916976987025163"
"No","1984","inadequately","East Germany","","","",""
"No","1984","general elemantary","West Germany","3138","0.879179231598138","0.868299029653864","0.890059433542412"
"No","1984","general elemantary","East Germany","","","",""
"No","1984","middle vocational","West Germany","5093","0.872869695813714","0.864216495643203","0.881522895984226"
"No","1984","middle vocational","East Germany","","","",""
"No","1984","vocational + Abi","West Germany","286","0.903018966029011","0.870129279256078","0.935908652801945"
"No","1984","vocational + Abi","East Germany","","","",""
"No","1984","higher vocational","West Germany","572","0.852583788052907","0.82551638795909","0.879651188146723"
"No","1984","higher vocational","East Germany","","","",""
"No","1984","higher education","West Germany","717","0.895649091057817","0.874303801764727","0.916994380350906"
"No","1984","higher education","East Germany","","","",""
"Yes","1985","in school","West Germany","1","","",""
"Yes","1985","in school","East Germany","","","",""
"Yes","1985","inadequately","West Germany","60","0.134042828393866","0.111057703605096","0.157027953182636"
"Yes","1985","inadequately","East Germany","","","",""
"Yes","1985","general elemantary","West Germany","258","0.111322278366865","0.100157950851863","0.122486605881867"
"Yes","1985","general elemantary","East Germany","","","",""
"Yes","1985","middle vocational","West Germany","531","0.126389418060245","0.117316806443251","0.135462029677238"
"Yes","1985","middle vocational","East Germany","","","",""
"Yes","1985","vocational + Abi","West Germany","21","","",""
"Yes","1985","vocational + Abi","East Germany","","","",""
"Yes","1985","higher vocational","West Germany","89","0.161477301056386","0.132512843531269","0.190441758581503"
"Yes","1985","higher vocational","East Germany","","","",""
"Yes","1985","higher education","West Germany","67","0.105198602668336","0.0832992775847483","0.127097927751923"
"Yes","1985","higher education","East Germany","","","",""
"No","1985","in school","West Germany","183","0.997115795766139","0.989367164714304","1.00486442681797"
"No","1985","in school","East Germany","","","",""
"No","1985","inadequately","West Germany","784","0.865957171606134","0.842972046817364","0.888942296394904"
"No","1985","inadequately","East Germany","","","",""
"No","1985","general elemantary","West Germany","2791","0.888677721633135","0.877513394118133","0.899842049148137"
"No","1985","general elemantary","East Germany","","","",""
"No","1985","middle vocational","West Germany","4622","0.873610581939755","0.864537970322762","0.882683193556749"
"No","1985","middle vocational","East Germany","","","",""
"No","1985","vocational + Abi","West Germany","259","0.90927181263679","0.875629405941728","0.942914219331851"
"No","1985","vocational + Abi","East Germany","","","",""
"No","1985","higher vocational","West Germany","531","0.838522698943614","0.809558241418497","0.867487156468731"
"No","1985","higher vocational","East Germany","","","",""
"No","1985","higher education","West Germany","687","0.894801397331664","0.872902072248077","0.916700722415252"
"No","1985","higher education","East Germany","","","",""
"Yes","1986","in school","West Germany","1","","",""
"Yes","1986","in school","East Germany","","","",""
"Yes","1986","inadequately","West Germany","2","","",""
"Yes","1986","inadequately","East Germany","","","",""
"Yes","1986","general elemantary","West Germany","2","","",""
"Yes","1986","general elemantary","East Germany","","","",""
"Yes","1986","middle vocational","West Germany","3","","",""
"Yes","1986","middle vocational","East Germany","","","",""
"Yes","1986","vocational + Abi","West Germany","","","",""
"Yes","1986","vocational + Abi","East Germany","","","",""
"Yes","1986","higher vocational","West Germany","","","",""
"Yes","1986","higher vocational","East Germany","","","",""
"Yes","1986","higher education","West Germany","","","",""
"Yes","1986","higher education","East Germany","","","",""
"No","1986","in school","West Germany","89","0.987684785585767","0.964899367225754","1.01047020394578"
"No","1986","in school","East Germany","","","",""
"No","1986","inadequately","West Germany","31","0.918643871314767","0.825370032874487","1.01191770975505"
"No","1986","inadequately","East Germany","","","",""
"No","1986","general elemantary","West Germany","198","0.992857899371381","0.981187395060321","1.00452840368244"
"No","1986","general elemantary","East Germany","","","",""
"No","1986","middle vocational","West Germany","115","0.977042591673736","0.9500201078962","1.00406507545127"
"No","1986","middle vocational","East Germany","","","",""
"No","1986","vocational + Abi","West Germany","10","","",""
"No","1986","vocational + Abi","East Germany","","","",""
"No","1986","higher vocational","West Germany","8","","",""
"No","1986","higher vocational","East Germany","","","",""
"No","1986","higher education","West Germany","16","","",""
"No","1986","higher education","East Germany","","","",""
"Yes","1987","in school","West Germany","4","","",""
"Yes","1987","in school","East Germany","","","",""
"Yes","1987","inadequately","West Germany","66","0.147340543315946","0.122057837272633","0.172623249359259"
"Yes","1987","inadequately","East Germany","","","",""
"Yes","1987","general elemantary","West Germany","239","0.113279655638522","0.101611090243298","0.124948221033746"
"Yes","1987","general elemantary","East Germany","","","",""
"Yes","1987","middle vocational","West Germany","512","0.126780372440882","0.117517911541897","0.136042833339868"
"Yes","1987","middle vocational","East Germany","","","",""
"Yes","1987","vocational + Abi","West Germany","20","","",""
"Yes","1987","vocational + Abi","East Germany","","","",""
