"ple0040","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","no migration background","(0) in school","2","","",""
"Yes","1984","no migration background","(1a) inadequately completed","14","","",""
"Yes","1984","no migration background","(1b) general elementary school","265","0.145458705618224","0.129766081479598","0.16115132975685"
"Yes","1984","no migration background","(1c) basic vocational qualification","472","0.148097657812003","0.136321774266108","0.159873541357898"
"Yes","1984","no migration background","(2b) intermediate general qualification","15","","",""
"Yes","1984","no migration background","(2a) intermediate vocational","111","0.09838377817628","0.0822185476601331","0.114549008692427"
"Yes","1984","no migration background","(2c_gen) general maturity certificate","6","","",""
"Yes","1984","no migration background","(2c_voc) vocational maturity certificate","43","0.147655918028138","0.108036723962123","0.187275112094154"
"Yes","1984","no migration background","(3a) lower tertiary education","27","","",""
"Yes","1984","no migration background","(3b) higher tertiary education","37","0.0990394334868231","0.0705728810915466","0.1275059858821"
"Yes","1984","direct migration background","(0) in school","","","",""
"Yes","1984","direct migration background","(1a) inadequately completed","54","0.047681931398214","0.0346872432453275","0.0606766195511006"
"Yes","1984","direct migration background","(1b) general elementary school","30","0.0452077081658656","0.0324639970652281","0.0579514192665031"
"Yes","1984","direct migration background","(1c) basic vocational qualification","49","0.119615450106922","0.0958458746213333","0.143385025592511"
"Yes","1984","direct migration background","(2b) intermediate general qualification","3","","",""
"Yes","1984","direct migration background","(2a) intermediate vocational","5","","",""
"Yes","1984","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","1984","direct migration background","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1984","direct migration background","(3a) lower tertiary education","2","","",""
"Yes","1984","direct migration background","(3b) higher tertiary education","5","","",""
"Yes","1984","indirect migration background","(0) in school","","","",""
"Yes","1984","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","1984","indirect migration background","(1b) general elementary school","1","","",""
"Yes","1984","indirect migration background","(1c) basic vocational qualification","3","","",""
"Yes","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1984","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1984","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1984","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1984","indirect migration background","(3b) higher tertiary education","","","",""
"No","1984","no migration background","(0) in school","156","0.989477631960697","0.973567298498603","1.00538796542279"
"No","1984","no migration background","(1a) inadequately completed","54","0.785399415360328","0.68782086275368","0.882977967966975"
"No","1984","no migration background","(1b) general elementary school","1674","0.854541294381776","0.83884867024315","0.870233918520402"
"No","1984","no migration background","(1c) basic vocational qualification","3023","0.851902342187997","0.840126458642102","0.863678225733892"
"No","1984","no migration background","(2b) intermediate general qualification","393","0.950982194078423","0.93003233354423","0.971932054612616"
"No","1984","no migration background","(2a) intermediate vocational","1193","0.90161622182372","0.885450991307573","0.917781452339867"
"No","1984","no migration background","(2c_gen) general maturity certificate","274","0.968752958770056","0.948374091226101","0.98913182631401"
"No","1984","no migration background","(2c_voc) vocational maturity certificate","265","0.852344081971862","0.812724887905846","0.891963276037877"
"No","1984","no migration background","(3a) lower tertiary education","214","0.877047798524536","0.835588747630037","0.918506849419034"
"No","1984","no migration background","(3b) higher tertiary education","386","0.900960566513177","0.8724940141179","0.929427118908453"
"No","1984","direct migration background","(0) in school","21","","",""
"No","1984","direct migration background","(1a) inadequately completed","979","0.952318068601786","0.939323380448899","0.965312756754672"
"No","1984","direct migration background","(1b) general elementary school","991","0.954792291834134","0.942048580733497","0.967536002934772"
"No","1984","direct migration background","(1c) basic vocational qualification","667","0.880384549893078","0.856614974407489","0.904154125378667"
"No","1984","direct migration background","(2b) intermediate general qualification","48","0.873269308639684","0.781967789536899","0.964570827742469"
"No","1984","direct migration background","(2a) intermediate vocational","83","0.914492830726112","0.856067904570063","0.972917756882161"
"No","1984","direct migration background","(2c_gen) general maturity certificate","121","0.974289390270642","0.946654166017475","1.00192461452381"
"No","1984","direct migration background","(2c_voc) vocational maturity certificate","139","0.974987123723971","0.949568891248261","1.00040535619968"
"No","1984","direct migration background","(3a) lower tertiary education","20","","",""
"No","1984","direct migration background","(3b) higher tertiary education","94","0.94480503762854","0.899821737391579","0.989788337865501"
"No","1984","indirect migration background","(0) in school","8","","",""
"No","1984","indirect migration background","(1a) inadequately completed","5","","",""
"No","1984","indirect migration background","(1b) general elementary school","36","0.945853081151845","0.872933201229687","1.018772961074"
"No","1984","indirect migration background","(1c) basic vocational qualification","34","0.822852836439404","0.699832923397823","0.945872749480985"
"No","1984","indirect migration background","(2b) intermediate general qualification","15","","",""
"No","1984","indirect migration background","(2a) intermediate vocational","12","","",""
"No","1984","indirect migration background","(2c_gen) general maturity certificate","6","","",""
"No","1984","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"No","1984","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1984","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","1985","no migration background","(0) in school","1","","",""
"Yes","1985","no migration background","(1a) inadequately completed","20","","",""
"Yes","1985","no migration background","(1b) general elementary school","216","0.134624400820168","0.118370574965165","0.150878226675172"
"Yes","1985","no migration background","(1c) basic vocational qualification","418","0.148302377980764","0.135823770004336","0.160780985957191"
"Yes","1985","no migration background","(2b) intermediate general qualification","13","","",""
"Yes","1985","no migration background","(2a) intermediate vocational","110","0.1033021523452","0.0863689168178673","0.120235387872534"
"Yes","1985","no migration background","(2c_gen) general maturity certificate","7","","",""
"Yes","1985","no migration background","(2c_voc) vocational maturity certificate","36","0.127569029517274","0.0894996984271975","0.165638360607351"
"Yes","1985","no migration background","(3a) lower tertiary education","27","","",""
"Yes","1985","no migration background","(3b) higher tertiary education","34","0.0936278152844566","0.0656343182594246","0.121621312309489"
"Yes","1985","direct migration background","(0) in school","","","",""
"Yes","1985","direct migration background","(1a) inadequately completed","43","0.0630100755144461","0.0465194349330191","0.0795007160958731"
"Yes","1985","direct migration background","(1b) general elementary school","29","","",""
"Yes","1985","direct migration background","(1c) basic vocational qualification","43","0.126544121959798","0.10084702407382","0.152241219845776"
"Yes","1985","direct migration background","(2b) intermediate general qualification","3","","",""
"Yes","1985","direct migration background","(2a) intermediate vocational","6","","",""
"Yes","1985","direct migration background","(2c_gen) general maturity certificate","5","","",""
"Yes","1985","direct migration background","(2c_voc) vocational maturity certificate","5","","",""
"Yes","1985","direct migration background","(3a) lower tertiary education","3","","",""
"Yes","1985","direct migration background","(3b) higher tertiary education","3","","",""
"Yes","1985","indirect migration background","(0) in school","","","",""
"Yes","1985","indirect migration background","(1a) inadequately completed","1","","",""
"Yes","1985","indirect migration background","(1b) general elementary school","","","",""
"Yes","1985","indirect migration background","(1c) basic vocational qualification","3","","",""
"Yes","1985","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1985","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1985","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1985","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1985","indirect migration background","(3b) higher tertiary education","","","",""
"No","1985","no migration background","(0) in school","153","0.996942395365974","0.988222456764035","1.00566233396791"
"No","1985","no migration background","(1a) inadequately completed","51","0.712409234127536","0.607123105884268","0.817695362370804"
"No","1985","no migration background","(1b) general elementary school","1478","0.865375599179832","0.849121773324828","0.881629425034835"
"No","1985","no migration background","(1c) basic vocational qualification","2698","0.851697622019236","0.839219014042809","0.864176229995664"
"No","1985","no migration background","(2b) intermediate general qualification","389","0.958116369308624","0.93853394956538","0.977698789051869"
"No","1985","no migration background","(2a) intermediate vocational","1131","0.8966978476548","0.879764612127466","0.913631083182133"
"No","1985","no migration background","(2c_gen) general maturity certificate","252","0.959560846761642","0.935570556912685","0.983551136610599"
"No","1985","no migration background","(2c_voc) vocational maturity certificate","259","0.872430970482726","0.83436163939265","0.910500301572802"
"No","1985","no migration background","(3a) lower tertiary education","197","0.869420175153814","0.825295961413661","0.913544388893967"
"No","1985","no migration background","(3b) higher tertiary education","382","0.906372184715543","0.878378687690511","0.934365681740575"
"No","1985","direct migration background","(0) in school","21","","",""
"No","1985","direct migration background","(1a) inadequately completed","791","0.936989924485554","0.920499283904127","0.953480565066981"
"No","1985","direct migration background","(1b) general elementary school","843","0.94538349104841","0.930301599134566","0.960465382962254"
"No","1985","direct migration background","(1c) basic vocational qualification","600","0.873455878040202","0.847758780154224","0.89915297592618"
"No","1985","direct migration background","(2b) intermediate general qualification","48","0.87790677558014","0.788053692151182","0.967759859009097"
"No","1985","direct migration background","(2a) intermediate vocational","79","0.893292376688586","0.827657727918734","0.958927025458437"
"No","1985","direct migration background","(2c_gen) general maturity certificate","105","0.972100678199228","0.941325243598517","1.00287611279994"
"No","1985","direct migration background","(2c_voc) vocational maturity certificate","115","0.972423630116628","0.943124564681253","1.001722695552"
"No","1985","direct migration background","(3a) lower tertiary education","19","","",""
"No","1985","direct migration background","(3b) higher tertiary education","85","0.946520767670286","0.899513564661711","0.993527970678861"
"No","1985","indirect migration background","(0) in school","9","","",""
"No","1985","indirect migration background","(1a) inadequately completed","6","","",""
"No","1985","indirect migration background","(1b) general elementary school","41","1","1","1"
"No","1985","indirect migration background","(1c) basic vocational qualification","39","0.824462515005631","0.709410603359356","0.939514426651906"
"No","1985","indirect migration background","(2b) intermediate general qualification","18","","",""
"No","1985","indirect migration background","(2a) intermediate vocational","12","","",""
"No","1985","indirect migration background","(2c_gen) general maturity certificate","5","","",""
"No","1985","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"No","1985","indirect migration background","(3a) lower tertiary education","1","","",""
"No","1985","indirect migration background","(3b) higher tertiary education","3","","",""
"Yes","1986","no migration background","(0) in school","1","","",""
"Yes","1986","no migration background","(1a) inadequately completed","1","","",""
"Yes","1986","no migration background","(1b) general elementary school","1","","",""
"Yes","1986","no migration background","(1c) basic vocational qualification","2","","",""
"Yes","1986","no migration background","(2b) intermediate general qualification","1","","",""
"Yes","1986","no migration background","(2a) intermediate vocational","1","","",""
"Yes","1986","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","no migration background","(3a) lower tertiary education","","","",""
"Yes","1986","no migration background","(3b) higher tertiary education","","","",""
"Yes","1986","direct migration background","(0) in school","","","",""
"Yes","1986","direct migration background","(1a) inadequately completed","1","","",""
"Yes","1986","direct migration background","(1b) general elementary school","","","",""
"Yes","1986","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","1986","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","1986","direct migration background","(2a) intermediate vocational","","","",""
"Yes","1986","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","direct migration background","(3a) lower tertiary education","","","",""
"Yes","1986","direct migration background","(3b) higher tertiary education","","","",""
"Yes","1986","indirect migration background","(0) in school","","","",""
"Yes","1986","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1986","indirect migration background","(1b) general elementary school","","","",""
"Yes","1986","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","1986","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1986","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1986","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","1986","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","1986","indirect migration background","(3b) higher tertiary education","","","",""
"No","1986","no migration background","(0) in school","63","0.986092263820519","0.957401302382417","1.01478322525862"
"No","1986","no migration background","(1a) inadequately completed","7","","",""
"No","1986","no migration background","(1b) general elementary school","89","0.994981074193161","0.980381518668139","1.00958062971818"
"No","1986","no migration background","(1c) basic vocational qualification","56","0.973851221380468","0.932782980088413","1.01491946267252"
