"ple0040","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1984","no migration background","Male","3523","0.844943663158241","0.833865650862997","0.856021675453484","2"
"No","1984","direct migration background","Male","1684","0.897833696536679","0.883849983979304","0.911817409094055","2"
"No","1984","no migration background","Female","4124","0.896000307637342","0.887123703972555","0.90487691130213","2"
"No","1984","direct migration background","Female","1542","0.961643129048034","0.952197053946696","0.971089204149372","2"
"No","1984","indirect migration background","Male","56","0.794836428614971","0.693498463253594","0.896174393976348","2"
"No","1984","indirect migration background","Female","64","0.996987649555383","0.983665047702308","1.01031025140846","2"
"Yes","1984","no migration background","Male","578","0.155056336841759","0.143978324546516","0.166134349137003","1"
"Yes","1984","no migration background","Female","419","0.103999692362658","0.0951230886978701","0.112876296027445","1"
"Yes","1984","direct migration background","Male","118","0.102166303463321","0.0881825909059451","0.116150016020696","1"
"Yes","1984","direct migration background","Female","46","0.0383568709519657","0.028910795850628","0.0478029460533035","1"
"Yes","1984","indirect migration background","Male","5","","","","1"
"Yes","1984","indirect migration background","Female","1","","","","1"
"No","1985","no migration background","Male","3278","0.847303006087826","0.835868069159806","0.858737943015846","2"
"No","1985","no migration background","Female","3764","0.90017384838889","0.891030379111657","0.909317317666123","2"
"No","1985","direct migration background","Male","1460","0.89003685132093","0.874527409078559","0.905546293563301","2"
"No","1985","direct migration background","Female","1325","0.948085633122317","0.93631205500748","0.959859211237154","2"
"No","1985","indirect migration background","Male","62","0.913288998713437","0.844876945251365","0.981701052175509","2"
"No","1985","indirect migration background","Female","74","0.947877890059658","0.897905688221113","0.997850091898204","2"
"Yes","1985","no migration background","Male","523","0.152696993912174","0.141262056984154","0.164131930840194","1"
"Yes","1985","no migration background","Female","365","0.0998261516111096","0.0906826823338765","0.108969620888343","1"
"Yes","1985","direct migration background","Male","103","0.10996314867907","0.0944537064366988","0.125472590921441","1"
"Yes","1985","direct migration background","Female","39","0.0519143668776831","0.0401407887628462","0.0636879449925199","1"
"Yes","1985","indirect migration background","Male","3","","","","1"
"Yes","1985","indirect migration background","Female","2","","","","1"
"No","1986","no migration background","Female","164","0.986050492769738","0.96826283087541","1.00383815466407","2"
"No","1986","no migration background","Male","159","0.981315068546973","0.960527472103137","1.00210266499081","2"
"No","1986","direct migration background","Female","54","0.991841745117038","0.968068603765194","1.01561488646888","2"
"No","1986","direct migration background","Male","72","1","1","1","2"
"No","1986","indirect migration background","Male","10","","","","2"
"No","1986","indirect migration background","Female","10","","","","2"
"Yes","1986","no migration background","Male","4","","","","1"
"Yes","1986","no migration background","Female","3","","","","1"
"Yes","1986","direct migration background","Male","","","","","1"
"Yes","1986","direct migration background","Female","1","","","","1"
"Yes","1986","indirect migration background","Male","","","","","1"
"Yes","1986","indirect migration background","Female","","","","","1"
"No","1987","no migration background","Male","3123","0.853619924185913","0.842058438548734","0.865181409823093","2"
"No","1987","no migration background","Female","3523","0.8972740351476","0.887703861213562","0.906844209081639","2"
"No","1987","direct migration background","Female","1257","0.934518981536467","0.921123318344703","0.94791464472823","2"
"No","1987","direct migration background","Male","1389","0.875076617432208","0.85837245331194","0.891780781552477","2"
"No","1987","indirect migration background","Male","75","0.846147022005613","0.767082988549654","0.925211055461573","2"
"No","1987","indirect migration background","Female","90","0.917918299478908","0.862428986106239","0.973407612851576","2"
"Yes","1987","no migration background","Male","468","0.146380075814087","0.134818590176907","0.157941561451266","1"
"Yes","1987","no migration background","Female","343","0.1027259648524","0.0931557909183613","0.112296138786438","1"
"Yes","1987","direct migration background","Male","116","0.124923382567792","0.108219218447523","0.14162754668806","1"
"Yes","1987","direct migration background","Female","53","0.0654810184635334","0.0520853552717696","0.0788766816552972","1"
"Yes","1987","indirect migration background","Male","5","","","","1"
"Yes","1987","indirect migration background","Female","4","","","","1"
"No","1988","no migration background","Male","2934","0.842195160271365","0.829968178437696","0.854422142105034","2"
"No","1988","no migration background","Female","3300","0.882804166538931","0.872379218861594","0.893229114216268","2"
"No","1988","direct migration background","Male","1279","0.85393738991992","0.835555400196805","0.872319379643035","2"
"No","1988","direct migration background","Female","1198","0.924320741097191","0.909711252612813","0.938930229581568","2"
"No","1988","indirect migration background","Male","102","0.87887774853424","0.817057264052366","0.940698233016114","2"
"No","1988","indirect migration background","Female","109","0.909301071670257","0.857040515694412","0.961561627646101","2"
"Yes","1988","no migration background","Male","481","0.157804839728635","0.145577857894966","0.170031821562304","1"
"Yes","1988","no migration background","Female","357","0.117195833461069","0.106770885783732","0.127620781138406","1"
"Yes","1988","direct migration background","Male","139","0.14606261008008","0.127680620356965","0.164444599803195","1"
"Yes","1988","direct migration background","Female","61","0.0756792589028094","0.0610697704184316","0.0902887473871872","1"
"Yes","1988","indirect migration background","Male","5","","","","1"
"Yes","1988","indirect migration background","Female","7","","","","1"
"No","1989","no migration background","Male","2811","0.834017040489989","0.821303416699214","0.846730664280765","2"
"No","1989","no migration background","Female","3157","0.877817527589551","0.866987848321231","0.88864720685787","2"
"No","1989","direct migration background","Male","1232","0.865277476306513","0.84709821435033","0.883456738262697","2"
"No","1989","direct migration background","Female","1178","0.925130443032386","0.910493802365482","0.93976708369929","2"
"No","1989","indirect migration background","Male","120","0.906715279512076","0.855318458283471","0.958112100740681","2"
"No","1989","indirect migration background","Female","130","0.910234299570316","0.862369128244475","0.958099470896156","2"
"Yes","1989","no migration background","Male","479","0.16598295951001","0.153269335719235","0.178696583300786","1"
"Yes","1989","no migration background","Female","356","0.122182472410449","0.111352793142129","0.133012151678769","1"
"Yes","1989","direct migration background","Male","123","0.134722523693487","0.116543261737303","0.15290178564967","1"
"Yes","1989","direct migration background","Female","64","0.0748695569676139","0.0602329163007095","0.0895061976345182","1"
"Yes","1989","indirect migration background","Male","3","","","","1"
"Yes","1989","indirect migration background","Female","7","","","","1"
"No","1990","no migration background","Male","","","","","2"
"No","1990","no migration background","Female","","","","","2"
"No","1990","direct migration background","Male","","","","","2"
"No","1990","direct migration background","Female","","","","","2"
"No","1990","indirect migration background","Male","","","","","2"
"No","1990","indirect migration background","Female","","","","","2"
"Yes","1990","no migration background","Male","","","","","1"
"Yes","1990","no migration background","Female","","","","","1"
"Yes","1990","direct migration background","Male","","","","","1"
"Yes","1990","direct migration background","Female","","","","","1"
"Yes","1990","indirect migration background","Male","","","","","1"
"Yes","1990","indirect migration background","Female","","","","","1"
"No","1991","no migration background","Male","2675","0.827946462450314","0.814778683588785","0.841114241311843","2"
"No","1991","no migration background","Female","3075","0.876504791756853","0.865489570131571","0.887520013382134","2"
"No","1991","direct migration background","Male","1162","0.854004474140681","0.834846804428893","0.873162143852469","2"
"No","1991","direct migration background","Female","1112","0.91352761956089","0.897463978971939","0.929591260149841","2"
"No","1991","indirect migration background","Male","170","0.935079400441186","0.898364652979559","0.971794147902812","2"
"No","1991","indirect migration background","Female","169","0.951527477917274","0.919708403497094","0.983346552337454","2"
"Yes","1991","no migration background","Male","481","0.172053537549686","0.158885758688157","0.185221316411215","1"
"Yes","1991","direct migration background","Male","143","0.145995525859319","0.126837856147531","0.165153195571107","1"
"Yes","1991","direct migration background","Female","64","0.08647238043911","0.0704087398501591","0.102536021028061","1"
"Yes","1991","indirect migration background","Male","3","","","","1"
