"ple0040","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","in school","","","",""
"Yes","1984","1-pers.-HH","inadequately","4","","",""
"Yes","1984","1-pers.-HH","general elemantary","73","0.192252826839192","0.153192686181918","0.231312967496466"
"Yes","1984","1-pers.-HH","middle vocational","91","0.171273552352347","0.141642092857984","0.20090501184671"
"Yes","1984","1-pers.-HH","vocational + Abi","2","","",""
"Yes","1984","1-pers.-HH","higher vocational","13","","",""
"Yes","1984","1-pers.-HH","higher education","7","","",""
"Yes","1984","(Married) couple without C. ","in school","","","",""
"Yes","1984","(Married) couple without C. ","inadequately","13","","",""
"Yes","1984","(Married) couple without C. ","general elemantary","108","0.176353850550054","0.148019158416426","0.204688542683683"
"Yes","1984","(Married) couple without C. ","middle vocational","259","0.211022481847365","0.189717102475951","0.232327861218779"
"Yes","1984","(Married) couple without C. ","vocational + Abi","12","","",""
"Yes","1984","(Married) couple without C. ","higher vocational","35","0.238688164026353","0.172841786778552","0.304534541274154"
"Yes","1984","(Married) couple without C. ","higher education","35","0.210036737582083","0.153864272154122","0.266209203010044"
"Yes","1984","Single parent ","in school","1","","",""
"Yes","1984","Single parent ","inadequately","7","","",""
"Yes","1984","Single parent ","general elemantary","15","","",""
"Yes","1984","Single parent ","middle vocational","21","","",""
"Yes","1984","Single parent ","vocational + Abi","","","",""
"Yes","1984","Single parent ","higher vocational","2","","",""
"Yes","1984","Single parent ","higher education","","","",""
"Yes","1984","Couple + C. LE 16 ","in school","","","",""
"Yes","1984","Couple + C. LE 16 ","inadequately","5","","",""
"Yes","1984","Couple + C. LE 16 ","general elemantary","25","","",""
"Yes","1984","Couple + C. LE 16 ","middle vocational","72","0.0520048103650524","0.0407945347513499","0.0632150859787549"
"Yes","1984","Couple + C. LE 16 ","vocational + Abi","5","","",""
"Yes","1984","Couple + C. LE 16 ","higher vocational","11","","",""
"Yes","1984","Couple + C. LE 16 ","higher education","5","","",""
"Yes","1984","Couple + C. GT 16 ","in school","","","",""
"Yes","1984","Couple + C. GT 16 ","inadequately","15","","",""
"Yes","1984","Couple + C. GT 16 ","general elemantary","41","0.0843131760734939","0.061835560070947","0.106790792076041"
"Yes","1984","Couple + C. GT 16 ","middle vocational","83","0.101174114171633","0.0817825552111416","0.120565673132124"
"Yes","1984","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Yes","1984","Couple + C. GT 16 ","higher vocational","19","","",""
"Yes","1984","Couple + C. GT 16 ","higher education","13","","",""
"Yes","1984","Couple + C. LE and GT 16","in school","","","",""
"Yes","1984","Couple + C. LE and GT 16","inadequately","9","","",""
"Yes","1984","Couple + C. LE and GT 16","general elemantary","17","","",""
"Yes","1984","Couple + C. LE and GT 16","middle vocational","45","0.0642822165725911","0.0457529417635112","0.0828114913816709"
"Yes","1984","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Yes","1984","Couple + C. LE and GT 16","higher vocational","4","","",""
"Yes","1984","Couple + C. LE and GT 16","higher education","6","","",""
"No","1984","1-pers.-HH","in school","1","","",""
"No","1984","1-pers.-HH","inadequately","66","0.946056522696169","0.893135639630478","0.99897740576186"
"No","1984","1-pers.-HH","general elemantary","318","0.807747173160808","0.768687032503534","0.846807313818082"
"No","1984","1-pers.-HH","middle vocational","530","0.828726447647653","0.79909498815329","0.858357907142016"
"No","1984","1-pers.-HH","vocational + Abi","44","0.943038474037762","0.87606162863152","1.010015319444"
"No","1984","1-pers.-HH","higher vocational","69","0.827955701975573","0.746266461650716","0.90964494230043"
"No","1984","1-pers.-HH","higher education","108","0.937514513653488","0.893278320271783","0.981750707035194"
"No","1984","(Married) couple without C. ","in school","2","","",""
"No","1984","(Married) couple without C. ","inadequately","113","0.94052481148422","0.899228062818561","0.981821560149879"
"No","1984","(Married) couple without C. ","general elemantary","587","0.823646149449946","0.795311457316317","0.851980841583574"
"No","1984","(Married) couple without C. ","middle vocational","1150","0.788977518152635","0.767672138781221","0.810282897524049"
"No","1984","(Married) couple without C. ","vocational + Abi","72","0.818201930465679","0.73572484008692","0.900679020844439"
"No","1984","(Married) couple without C. ","higher vocational","126","0.761311835973647","0.695465458725846","0.827158213221448"
"No","1984","(Married) couple without C. ","higher education","167","0.789963262417917","0.733790796989956","0.846135727845877"
"No","1984","Single parent ","in school","16","","",""
"No","1984","Single parent ","inadequately","43","0.709045198464279","0.583148942915621","0.834941454012937"
"No","1984","Single parent ","general elemantary","185","0.906101684226693","0.86567664376405","0.946526724689335"
"No","1984","Single parent ","middle vocational","237","0.905443246758957","0.869739390057448","0.941147103460466"
"No","1984","Single parent ","vocational + Abi","8","","",""
"No","1984","Single parent ","higher vocational","24","","",""
"No","1984","Single parent ","higher education","17","","",""
"No","1984","Couple + C. LE 16 ","in school","","","",""
"No","1984","Couple + C. LE 16 ","inadequately","314","0.966942513746265","0.94732301126504","0.986562016227491"
"No","1984","Couple + C. LE 16 ","general elemantary","638","0.940309038396874","0.922275501208065","0.958342575585683"
"No","1984","Couple + C. LE 16 ","middle vocational","1435","0.947995189634948","0.936784914021245","0.95920546524865"
"No","1984","Couple + C. LE 16 ","vocational + Abi","80","0.945829351951607","0.897709194754635","0.993949509148578"
