"ple0040","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1-pers.-HH","Male","63","0.1521089709107","0.121790929440682","0.182427012380718"
"Yes","1984","1-pers.-HH","Female","128","0.169245223227901","0.143097782996906","0.195392663458895"
"Yes","1984","(Married) couple without C. ","Male","318","0.279468789171664","0.255495997210188","0.303441581133139"
"Yes","1984","(Married) couple without C. ","Female","145","0.121058081790563","0.103605936665867","0.138510226915259"
"Yes","1984","Single parent ","Male","14","","",""
"Yes","1984","Single parent ","Female","32","0.103484938087584","0.0728197344325167","0.134150141742651"
"Yes","1984","Couple + C. LE 16 ","Male","92","0.0730570208710986","0.0600472800040247","0.0860667617381726"
"Yes","1984","Couple + C. LE 16 ","Female","32","0.0261557538604898","0.0181743211720551","0.0341371865489245"
"Yes","1984","Couple + C. GT 16 ","Male","119","0.124099858818229","0.104418655291578","0.14378106234488"
"Yes","1984","Couple + C. GT 16 ","Female","58","0.0726959663967379","0.0557521571369871","0.0896397756564886"
"Yes","1984","Couple + C. LE and GT 16","Male","59","0.0694492820886717","0.0529684589910559","0.0859301051862875"
"Yes","1984","Couple + C. LE and GT 16","Female","24","","",""
"No","1984","1-pers.-HH","Male","476","0.8478910290893","0.817572987619282","0.878209070559318"
"No","1984","1-pers.-HH","Female","662","0.8307547767721","0.804607336541105","0.856902217003094"
"No","1984","(Married) couple without C. ","Male","1028","0.720531210828336","0.696558418866861","0.744504002789812"
"No","1984","(Married) couple without C. ","Female","1197","0.878941918209437","0.861489773084741","0.896394063334133"
"No","1984","Single parent ","Male","184","0.911838747491945","0.872346359669043","0.951331135314848"
"No","1984","Single parent ","Female","347","0.896515061912416","0.865849858257349","0.927180265567483"
"No","1984","Couple + C. LE 16 ","Male","1445","0.926942979128901","0.913933238261827","0.939952719995975"
"No","1984","Couple + C. LE 16 ","Female","1504","0.97384424613951","0.965862813451075","0.981825678827945"
"No","1984","Couple + C. GT 16 ","Male","959","0.875900141181771","0.85621893765512","0.895581344708422"
"No","1984","Couple + C. GT 16 ","Female","844","0.927304033603262","0.910360224343511","0.944247842863013"
"No","1984","Couple + C. LE and GT 16","Male","855","0.930550717911328","0.914069894813713","0.947031541008944"
"No","1984","Couple + C. LE and GT 16","Female","762","0.968002393699511","0.955698749066395","0.980306038332627"
"Yes","1985","1-pers.-HH","Male","49","0.132003129942274","0.101368484117664","0.162637775766884"
"Yes","1985","1-pers.-HH","Female","99","0.144698230556585","0.11865586819763","0.17074059291554"
"Yes","1985","(Married) couple without C. ","Male","291","0.277984678861964","0.252720902934946","0.303248454788983"
"Yes","1985","(Married) couple without C. ","Female","144","0.132581929083657","0.113474079867259","0.151689778300054"
"Yes","1985","Single parent ","Male","9","","",""
"Yes","1985","Single parent ","Female","27","","",""
"Yes","1985","Couple + C. LE 16 ","Male","79","0.0692361104053103","0.055654291767237","0.0828179290433836"
"Yes","1985","Couple + C. LE 16 ","Female","27","","",""
"Yes","1985","Couple + C. GT 16 ","Male","127","0.128610983797834","0.108890418888971","0.148331548706697"
"Yes","1985","Couple + C. GT 16 ","Female","55","0.0693849656490978","0.0528659611895761","0.0859039701086195"
"Yes","1985","Couple + C. LE and GT 16","Male","47","0.0714573312527121","0.053674336554297","0.0892403259511272"
"Yes","1985","Couple + C. LE and GT 16","Female","17","","",""
"No","1985","1-pers.-HH","Male","420","0.867996870057726","0.837362224233116","0.898631515882336"
"No","1985","1-pers.-HH","Female","602","0.855301769443415","0.82925940708446","0.88134413180237"
"No","1985","(Married) couple without C. ","Male","917","0.722015321138036","0.696751545211017","0.747279097065054"
"No","1985","(Married) couple without C. ","Female","1066","0.867418070916343","0.848310221699946","0.886525920132741"
"No","1985","Single parent ","Male","177","0.941139337937395","0.907314856003396","0.974963819871394"
"No","1985","Single parent ","Female","328","0.90919567631966","0.87930636838174","0.939084984257579"
"No","1985","Couple + C. LE 16 ","Male","1263","0.93076388959469","0.917182070956616","0.944345708232763"
"No","1985","Couple + C. LE 16 ","Female","1295","0.971063405613174","0.962027329803636","0.980099481422712"
"No","1985","Couple + C. GT 16 ","Male","980","0.871389016202166","0.851668451293303","0.891109581111029"
"No","1985","Couple + C. GT 16 ","Female","854","0.930615034350902","0.914096029891381","0.947134038810424"
"No","1985","Couple + C. LE and GT 16","Male","759","0.928542668747288","0.910759674048873","0.946325663445703"
"No","1985","Couple + C. LE and GT 16","Female","656","0.971518565394971","0.958951119000444","0.984086011789498"
"Yes","1986","1-pers.-HH","Male","","","",""
"Yes","1986","1-pers.-HH","Female","","","",""
"Yes","1986","(Married) couple without C. ","Male","2","","",""
"Yes","1986","(Married) couple without C. ","Female","","","",""
"Yes","1986","Single parent ","Male","","","",""
"Yes","1986","Single parent ","Female","","","",""
"Yes","1986","Couple + C. LE 16 ","Male","1","","",""
"Yes","1986","Couple + C. LE 16 ","Female","","","",""
"Yes","1986","Couple + C. GT 16 ","Male","","","",""
"Yes","1986","Couple + C. GT 16 ","Female","2","","",""
"Yes","1986","Couple + C. LE and GT 16","Male","1","","",""
"Yes","1986","Couple + C. LE and GT 16","Female","","","",""
"No","1986","1-pers.-HH","Male","1","","",""
"No","1986","1-pers.-HH","Female","","","",""
"No","1986","(Married) couple without C. ","Male","49","0.966612937968099","0.917309363444832","1.01591651249137"
"No","1986","(Married) couple without C. ","Female","61","1","1","1"
"No","1986","Single parent ","Male","20","","",""
"No","1986","Single parent ","Female","11","","",""
"No","1986","Couple + C. LE 16 ","Male","26","","",""
"No","1986","Couple + C. LE 16 ","Female","19","","",""
"No","1986","Couple + C. GT 16 ","Male","62","1","1","1"
"No","1986","Couple + C. GT 16 ","Female","52","0.969315034204604","0.923316233661367","1.01531383474784"
"No","1986","Couple + C. LE and GT 16","Male","58","0.973353617071567","0.932259794533422","1.01444743960971"
"No","1986","Couple + C. LE and GT 16","Female","61","1","1","1"
"Yes","1987","1-pers.-HH","Male","34","0.0981753691008726","0.0706222098880147","0.12572852831373"
"Yes","1987","1-pers.-HH","Female","106","0.166878927568815","0.138496722306633","0.195261132830998"
"Yes","1987","(Married) couple without C. ","Male","263","0.262707637740748","0.237543307563869","0.287871967917626"
"Yes","1987","(Married) couple without C. ","Female","132","0.124901052384082","0.105957265916369","0.143844838851796"
"Yes","1987","Single parent ","Male","12","","",""
"Yes","1987","Single parent ","Female","21","","",""
"Yes","1987","Couple + C. LE 16 ","Male","59","0.0579935818691116","0.0446406461912667","0.0713465175469564"
"Yes","1987","Couple + C. LE 16 ","Female","28","","",""
"Yes","1987","Couple + C. GT 16 ","Male","139","0.134754799436892","0.115362293602897","0.154147305270887"
"Yes","1987","Couple + C. GT 16 ","Female","56","0.0644085647408414","0.0487904030615579","0.0800267264201248"
"Yes","1987","Couple + C. LE and GT 16","Male","53","0.102415054270724","0.07940567759437","0.125424430947079"
"Yes","1987","Couple + C. LE and GT 16","Female","23","","",""
"No","1987","1-pers.-HH","Male","414","0.901824630899127","0.87427147168627","0.929377790111985"
"No","1987","1-pers.-HH","Female","557","0.833121072431184","0.804738867169002","0.861503277693367"
"No","1987","(Married) couple without C. ","Male","912","0.737292362259252","0.712128032082374","0.762456692436131"
"No","1987","(Married) couple without C. ","Female","1038","0.875098947615918","0.856155161148204","0.894042734083631"
"No","1987","Single parent ","Male","182","0.931568656997661","0.896039721808281","0.967097592187041"
"No","1987","Single parent ","Female","306","0.926648053807032","0.898390312546123","0.954905795067941"
"No","1987","Couple + C. LE 16 ","Male","1118","0.942006418130888","0.928653482453044","0.955359353808733"
"No","1987","Couple + C. LE 16 ","Female","1148","0.969709577831982","0.959914273451173","0.979504882212791"
"No","1987","Couple + C. GT 16 ","Male","1052","0.865245200563108","0.845852694729114","0.884637706397103"
"No","1987","Couple + C. GT 16 ","Female","893","0.935591435259159","0.919973273579875","0.951209596938442"
"No","1987","Couple + C. LE and GT 16","Male","614","0.897584945729276","0.874575569052921","0.92059432240563"
"No","1987","Couple + C. LE and GT 16","Female","564","0.955747628152406","0.939110861264259","0.972384395040554"
"Yes","1988","1-pers.-HH","Male","45","0.11227846531231","0.0825419034238992","0.142015027200721"
"Yes","1988","1-pers.-HH","Female","112","0.192130327904399","0.161317122180285","0.222943533628512"
"Yes","1988","(Married) couple without C. ","Male","283","0.290373189293023","0.264011120196886","0.31673525838916"
"Yes","1988","(Married) couple without C. ","Female","148","0.142416127118784","0.122147098894675","0.162685155342893"
"Yes","1988","Single parent ","Male","10","","",""
"Yes","1988","Single parent ","Female","25","","",""
"Yes","1988","Couple + C. LE 16 ","Male","56","0.053824394889863","0.0405664576088028","0.0670823321709231"
"Yes","1988","Couple + C. LE 16 ","Female","22","","",""
"Yes","1988","Couple + C. GT 16 ","Male","162","0.145144934577971","0.125451596512517","0.164838272643425"
"Yes","1988","Couple + C. GT 16 ","Female","68","0.0774057199762834","0.0606230707036604","0.0941883692489063"
"Yes","1988","Couple + C. LE and GT 16","Male","42","0.0927625953899384","0.0689472117162618","0.116577979063615"
"Yes","1988","Couple + C. LE and GT 16","Female","17","","",""
"No","1988","1-pers.-HH","Male","388","0.88772153468769","0.85798497279928","0.917458096576101"
"No","1988","1-pers.-HH","Female","516","0.807869672095601","0.777056466371488","0.838682877819715"
"No","1988","(Married) couple without C. ","Male","856","0.709626810706977","0.68326474161084","0.735988879803114"
"No","1988","(Married) couple without C. ","Female","994","0.857583872881217","0.837314844657107","0.877852901105326"
"No","1988","Single parent ","Male","178","0.938386645845564","0.904015223708274","0.972758067982855"
"No","1988","Single parent ","Female","297","0.916553006354017","0.886346235868748","0.946759776839286"
"No","1988","Couple + C. LE 16 ","Male","1057","0.946175605110137","0.932917667829077","0.959433542391197"
"No","1988","Couple + C. LE 16 ","Female","1087","0.9743998424711","0.965104353512388","0.983695331429811"
"No","1988","Couple + C. GT 16 ","Male","1067","0.854855065422029","0.835161727356575","0.874548403487483"
"No","1988","Couple + C. GT 16 ","Female","906","0.922594280023717","0.905811630751094","0.93937692929634"
"No","1988","Couple + C. LE and GT 16","Male","528","0.907237404610062","0.883422020936385","0.931052788283738"
"No","1988","Couple + C. LE and GT 16","Female","493","0.964720522046127","0.948709286869583","0.98073175722267"
"Yes","1989","1-pers.-HH","Male","51","0.130520761104076","0.0985308746529552","0.162510647555197"
"Yes","1989","1-pers.-HH","Female","120","0.210287482186012","0.178566641868123","0.242008322503901"
"Yes","1989","(Married) couple without C. ","Male","281","0.299596360439143","0.272840349833467","0.326352371044818"
"Yes","1989","(Married) couple without C. ","Female","164","0.157485766516078","0.136219296378502","0.178752236653655"
"Yes","1989","Single parent ","Male","15","","",""
"Yes","1989","Single parent ","Female","20","","",""
"Yes","1989","Couple + C. LE 16 ","Male","47","0.0573495271804469","0.0433985012153274","0.0713005531455664"
"Yes","1989","Couple + C. LE 16 ","Female","20","","",""
"Yes","1989","Couple + C. GT 16 ","Male","152","0.141062794411812","0.121401061310352","0.160724527513273"
"Yes","1989","Couple + C. GT 16 ","Female","57","0.0607308429242276","0.0454056145704328","0.0760560712780223"
"Yes","1989","Couple + C. LE and GT 16","Male","39","0.0797806224400043","0.0560783148530906","0.103482930026918"
"Yes","1989","Couple + C. LE and GT 16","Female","17","","",""
"No","1989","1-pers.-HH","Male","375","0.869479238895924","0.837489352444803","0.901469125347045"
"No","1989","1-pers.-HH","Female","514","0.789712517813988","0.757991677496099","0.821433358131877"
"No","1989","(Married) couple without C. ","Male","845","0.700403639560857","0.673647628955182","0.727159650166533"
"No","1989","(Married) couple without C. ","Female","963","0.842514233483922","0.821247763346345","0.863780703621499"
"No","1989","Single parent ","Male","156","0.896232660633918","0.850524814182219","0.941940507085617"
"No","1989","Single parent ","Female","281","0.927273444250379","0.897936473719445","0.956610414781313"
"No","1989","Couple + C. LE 16 ","Male","1020","0.942650472819553","0.928699446854434","0.956601498784673"
"No","1989","Couple + C. LE 16 ","Female","1049","0.974680327841551","0.965263180232605","0.984097475450497"
"No","1989","Couple + C. GT 16 ","Male","1052","0.858937205588187","0.839275472486727","0.878598938689648"
"No","1989","Couple + C. GT 16 ","Female","876","0.939269157075772","0.923943928721978","0.954594385429567"
"No","1989","Couple + C. LE and GT 16","Male","463","0.920219377559996","0.896517069973082","0.943921685146909"
"No","1989","Couple + C. LE and GT 16","Female","469","0.968832514154114","0.953383342644813","0.984281685663416"
"Yes","1990","1-pers.-HH","Male","","","",""
"Yes","1990","1-pers.-HH","Female","","","",""
"Yes","1990","(Married) couple without C. ","Male","","","",""
"Yes","1990","(Married) couple without C. ","Female","","","",""
"Yes","1990","Single parent ","Male","","","",""
"Yes","1990","Single parent ","Female","","","",""
"Yes","1990","Couple + C. LE 16 ","Male","","","",""
"Yes","1990","Couple + C. LE 16 ","Female","","","",""
"Yes","1990","Couple + C. GT 16 ","Male","","","",""
"Yes","1990","Couple + C. GT 16 ","Female","","","",""
"Yes","1990","Couple + C. LE and GT 16","Male","","","",""
"Yes","1990","Couple + C. LE and GT 16","Female","","","",""
"No","1990","1-pers.-HH","Male","","","",""
"No","1990","1-pers.-HH","Female","","","",""
"No","1990","(Married) couple without C. ","Male","","","",""
"No","1990","(Married) couple without C. ","Female","","","",""
"No","1990","Single parent ","Male","","","",""
"No","1990","Single parent ","Female","","","",""
"No","1990","Couple + C. LE 16 ","Male","","","",""
"No","1990","Couple + C. LE 16 ","Female","","","",""
"No","1990","Couple + C. GT 16 ","Male","","","",""
"No","1990","Couple + C. GT 16 ","Female","","","",""
"No","1990","Couple + C. LE and GT 16","Male","","","",""
"No","1990","Couple + C. LE and GT 16","Female","","","",""
"Yes","1991","1-pers.-HH","Male","51","0.138940297769383","0.10533702081489","0.172543574723876"
"Yes","1991","1-pers.-HH","Female","123","0.214277897589064","0.182186292261794","0.246369502916333"
"Yes","1991","(Married) couple without C. ","Male","309","0.317678306739049","0.290769927490319","0.344586685987779"
"Yes","1991","(Married) couple without C. ","Female","160","0.153390672070116","0.132599154654505","0.174182189485728"
"Yes","1991","Single parent ","Male","16","","",""
"Yes","1991","Single parent ","Female","24","","",""
