"ple0040","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1985","Urban Area","Male","499","0.149754244499288","0.139102496430289","0.160405992568287"
"Yes","1985","Urban Area","Female","334","0.101757832272429","0.0928429445447612","0.110672720000098"
"Yes","1985","Rural Area","Male","130","0.142167811246423","0.121697285488452","0.162638337004395"
"Yes","1985","Rural Area","Female","72","0.0744040295930435","0.0592433250120794","0.0895647341740077"
"No","1985","Urban Area","Male","3812","0.850245755500712","0.839594007431714","0.860897503569711"
"No","1985","Urban Area","Female","4084","0.898242167727571","0.889327279999902","0.907157055455239"
"No","1985","Rural Area","Male","988","0.857832188753577","0.837361662995605","0.878302714511548"
"No","1985","Rural Area","Female","1079","0.925595970406956","0.910435265825992","0.94075667498792"
"Yes","1986","Urban Area","Male","3","","",""
"Yes","1986","Urban Area","Female","2","","",""
"Yes","1986","Rural Area","Male","1","","",""
"Yes","1986","Rural Area","Female","2","","",""
"No","1986","Urban Area","Male","204","0.986621922596707","0.970971172709883","1.00227267248353"
"No","1986","Urban Area","Female","185","0.991227769089899","0.977862766557622","1.00459277162218"
"No","1986","Rural Area","Male","37","0.972539751036311","0.920580580601828","1.02449892147079"
"No","1986","Rural Area","Female","43","0.971241876472629","0.922411979693758","1.0200717732515"
"Yes","1987","Urban Area","Male","469","0.143774344869813","0.133071159092623","0.154477530647003"
"Yes","1987","Urban Area","Female","329","0.106593898529498","0.0972264185485293","0.115961378510467"
"Yes","1987","Rural Area","Male","120","0.144662315168067","0.123365534474651","0.165959095861484"
"Yes","1987","Rural Area","Female","71","0.0736043779472624","0.0581801121030167","0.089028643791508"
"No","1987","Urban Area","Male","3659","0.856225655130187","0.845522469352997","0.866928840907377"
"No","1987","Urban Area","Female","3840","0.893406101470502","0.884038621489533","0.902773581451471"
"No","1987","Rural Area","Male","928","0.855337684831933","0.834040904138516","0.876634465525349"
"No","1987","Rural Area","Female","1030","0.926395622052738","0.910971356208492","0.941819887896983"
"Yes","1988","Urban Area","Male","504","0.158325114832557","0.146946828760224","0.169703400904891"
"Yes","1988","Urban Area","Female","356","0.122846944638289","0.112681825138191","0.133012064138388"
"Yes","1988","Rural Area","Male","121","0.149284759583347","0.127040934224955","0.171528584941739"
"Yes","1988","Rural Area","Female","69","0.0794337080125784","0.0628872758569617","0.0959801401681952"
"No","1988","Urban Area","Male","3450","0.841674885167442","0.830296599095109","0.853053171239776"
"No","1988","Urban Area","Female","3650","0.877153055361711","0.866987935861612","0.88731817486181"
"No","1988","Rural Area","Male","865","0.850715240416653","0.828471415058261","0.872959065775045"
"No","1988","Rural Area","Female","957","0.920566291987422","0.904019859831805","0.937112724143038"
"Yes","1989","Urban Area","Male","478","0.160739787457613","0.149087880092468","0.172391694822758"
"Yes","1989","Urban Area","Female","348","0.121586483350303","0.111367699091563","0.131805267609043"
"Yes","1989","Rural Area","Male","127","0.165307005103669","0.141698589288014","0.188915420919325"
"Yes","1989","Rural Area","Female","79","0.100695333757422","0.0816892322788937","0.119701435235951"
"No","1989","Urban Area","Male","3339","0.839260212542387","0.827608305177242","0.850912119907532"
"No","1989","Urban Area","Female","3581","0.878413516649697","0.868194732390957","0.888632300908437"
"No","1989","Rural Area","Male","824","0.834692994896331","0.811084579080675","0.858301410711986"
"No","1989","Rural Area","Female","884","0.899304666242578","0.880298564764049","0.918310767721106"
"Yes","1990","Urban Area","Male","","","",""
"Yes","1990","Urban Area","Female","","","",""
"Yes","1990","Rural Area","Male","","","",""
"Yes","1990","Rural Area","Female","","","",""
"No","1990","Urban Area","Male","","","",""
"No","1990","Urban Area","Female","","","",""
"No","1990","Rural Area","Male","","","",""
"No","1990","Rural Area","Female","","","",""
"Yes","1991","Urban Area","Male","490","0.163098033391919","0.151153173068437","0.175042893715402"
"Yes","1991","Urban Area","Female","351","0.128169423833317","0.117535507151294","0.138803340515341"
"Yes","1991","Rural Area","Male","137","0.180963174247427","0.156597097671912","0.205329250822943"
"Yes","1991","Rural Area","Female","71","0.0853177917807303","0.0678456049046375","0.102789978656823"
"No","1991","Urban Area","Male","3185","0.836901966608081","0.824957106284598","0.848846826931563"
"No","1991","Urban Area","Female","3445","0.871830576166683","0.861196659484659","0.882464492848706"
"No","1991","Rural Area","Male","822","0.819036825752573","0.794670749177057","0.843402902328088"
"No","1991","Rural Area","Female","911","0.91468220821927","0.897210021343177","0.932154395095362"
"Yes","1992","Urban Area","Male","548","0.162120186368302","0.151033068754617","0.173207303981988"
"Yes","1992","Urban Area","Female","411","0.126042477760064","0.116312811182914","0.135772144337213"
"Yes","1992","Rural Area","Male","247","0.145818243574882","0.130773781056096","0.160862706093669"
"Yes","1992","Rural Area","Female","161","0.0916007855291742","0.0797185582880956","0.103483012770253"
"No","1992","Urban Area","Male","3697","0.837879813631698","0.826792696018013","0.848966931245384"
"No","1992","Urban Area","Female","4059","0.873957522239936","0.864227855662786","0.883687188817085"
"No","1992","Rural Area","Male","1867","0.854181756425118","0.839137293906331","0.869226218943905"
"No","1992","Rural Area","Female","2103","0.908399214470826","0.896516987229747","0.920281441711904"
"Yes","1993","Urban Area","Male","","","",""
"Yes","1993","Urban Area","Female","","","",""
"Yes","1993","Rural Area","Male","","","",""
"Yes","1993","Rural Area","Female","","","",""
"No","1993","Urban Area","Male","","","",""
"No","1993","Urban Area","Female","","","",""
"No","1993","Rural Area","Male","","","",""
"No","1993","Rural Area","Female","","","",""
"Yes","1994","Urban Area","Male","512","0.15498476659739","0.143929042708499","0.166040490486282"
"Yes","1994","Urban Area","Female","406","0.125608521086122","0.115827339856481","0.135389702315763"
"Yes","1994","Rural Area","Male","214","0.124479302587193","0.110240618813263","0.138717986361122"
"Yes","1994","Rural Area","Female","163","0.100527777629792","0.0879823969764491","0.113073158283135"
"No","1994","Urban Area","Male","3604","0.84501523340261","0.833959509513718","0.856070957291501"
"No","1994","Urban Area","Female","4004","0.874391478913878","0.864610297684237","0.884172660143519"
"No","1994","Rural Area","Male","1851","0.875520697412807","0.861282013638878","0.889759381186737"
"No","1994","Rural Area","Female","2044","0.899472222370208","0.886926841716865","0.912017603023551"
"Yes","1995","Urban Area","Male","524","0.155335641883814","0.144410799174499","0.16626048459313"
"Yes","1995","Urban Area","Female","450","0.13529747784289","0.125369886699742","0.145225068986037"
"Yes","1995","Rural Area","Male","226","0.136259369950288","0.121754803698574","0.150763936202002"
"Yes","1995","Rural Area","Female","166","0.107055417097657","0.0943671583706555","0.119743675824659"
"No","1995","Urban Area","Male","3699","0.844664358116186","0.83373951540687","0.855589200825501"
"No","1995","Urban Area","Female","4110","0.86470252215711","0.854774931013963","0.874630113300258"
"No","1995","Rural Area","Male","1923","0.863740630049712","0.849236063797998","0.878245196301427"
"No","1995","Rural Area","Female","2115","0.892944582902343","0.880256324175341","0.905632841629344"
"Yes","1996","Urban Area","Male","516","0.160219530226023","0.149066235229376","0.171372825222669"
"Yes","1996","Urban Area","Female","439","0.127148782871853","0.117431486956742","0.136866078786965"
"Yes","1996","Rural Area","Male","243","0.154953424888142","0.139629173400243","0.170277676376042"
