"ple0040","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","Male","447","0.181829004189716","0.167628564619655","0.196029443759778"
"Yes","1984","lower secondary degree","Female","323","0.113687790185014","0.102791226296584","0.124584354073443"
"Yes","1984","secondary school degree","Male","74","0.104382710042146","0.0836067095722904","0.125158710512002"
"Yes","1984","secondary school degree","Female","69","0.0775502479767751","0.0618722666119156","0.0932282293416346"
"Yes","1984","college entrance qualification","Male","79","0.111165448421206","0.0894105888998885","0.132920307942524"
"Yes","1984","college entrance qualification","Female","23","","",""
"Yes","1984","Other degree","Male","54","0.0937003725198567","0.0743252364016476","0.113075508638066"
"Yes","1984","Other degree","Female","16","","",""
"Yes","1984","no degree/no degree yet","Male","39","0.0783005338195107","0.0565310973245754","0.100069970314446"
"Yes","1984","no degree/no degree yet","Female","32","0.0476112148115753","0.0319480079219635","0.0632744217011872"
"No","1984","lower secondary degree","Male","2387","0.818170995810284","0.803970556240222","0.832371435380345"
"No","1984","lower secondary degree","Female","2937","0.886312209814986","0.875415645926557","0.897208773703416"
"No","1984","secondary school degree","Male","758","0.895617289957854","0.874841289487998","0.91639329042771"
"No","1984","secondary school degree","Female","1049","0.922449752023225","0.906771770658365","0.938127733388084"
"No","1984","college entrance qualification","Male","723","0.888834551578794","0.867079692057476","0.910589411100111"
"No","1984","college entrance qualification","Female","464","0.942523241591392","0.921851561380326","0.963194921802458"
"No","1984","Other degree","Male","815","0.906299627480143","0.886924491361934","0.925674763598352"
"No","1984","Other degree","Female","558","0.935901029223632","0.915864032122185","0.955938026325078"
"No","1984","no degree/no degree yet","Male","546","0.921699466180489","0.899930029685554","0.943468902675424"
"No","1984","no degree/no degree yet","Female","678","0.952388785188425","0.936725578298813","0.968051992078037"
"Yes","1985","lower secondary degree","Male","401","0.184464031842349","0.169418758170389","0.199509305514309"
"Yes","1985","lower secondary degree","Female","269","0.106692166570336","0.0954190681093734","0.117965265031298"
"Yes","1985","secondary school degree","Male","67","0.0994840451052896","0.0786650260066958","0.120303064203883"
"Yes","1985","secondary school degree","Female","73","0.0838163747990715","0.0672817986017396","0.100350950996403"
"Yes","1985","college entrance qualification","Male","67","0.0996717969337812","0.0784579086427788","0.120885685224784"
"Yes","1985","college entrance qualification","Female","27","","",""
"Yes","1985","Other degree","Male","51","0.100901204272334","0.0792292527188563","0.122573155825812"
"Yes","1985","Other degree","Female","6","","",""
"Yes","1985","no degree/no degree yet","Male","38","0.105743382364566","0.079081222921787","0.132405541807346"
"Yes","1985","no degree/no degree yet","Female","27","","",""
"No","1985","lower secondary degree","Male","2152","0.815535968157651","0.800490694485691","0.830581241829611"
