"ple0040","year","n","percent","lower_confidence","upper_confidence"
"Yes","1984","1167","0.122226574546181","0.116404800601281","0.128048348491081"
"No","1984","10993","0.877773425453819","0.871951651508919","0.883595199398719"
"Yes","1985","1035","0.120196343559599","0.114118776733802","0.126273910385395"
"No","1985","9963","0.879803656440401","0.873726089614605","0.885881223266198"
"Yes","1986","8","","",""
"No","1986","469","0.985336838281152","0.974549977500016","0.996123699062289"
"Yes","1987","989","0.120330904494395","0.11409181323416","0.126569995754631"
"No","1987","9457","0.879669095505605","0.873430004245369","0.88590818676584"
"Yes","1988","1050","0.133646419940857","0.126967854157771","0.140324985723943"
"No","1988","8922","0.866353580059143","0.859675014276057","0.873032145842229"
"Yes","1989","1032","0.138374303283251","0.131488627453083","0.14525997911342"
"No","1989","8628","0.861625696716749","0.85474002088658","0.868511372546917"
"Yes","1990","","","",""
"No","1990","","","",""
"Yes","1991","1049","0.141688971267392","0.134643703533345","0.14873423900144"
"No","1991","8363","0.858311028732607","0.85126576099856","0.865356296466655"
"Yes","1992","1378","0.135337366795379","0.129503650191973","0.141171083398786"
"No","1992","11831","0.864662633204621","0.858828916601214","0.870496349808027"
"Yes","1993","","","",""
"No","1993","","","",""
"Yes","1994","1295","0.131428315198237","0.125574697675116","0.137281932721358"
"No","1994","11503","0.868571684801763","0.862718067278642","0.874425302324884"
"Yes","1995","1366","0.13770653464301","0.131830935000403","0.143582134285617"
"No","1995","11847","0.86229346535699","0.856417865714383","0.868169064999597"
"Yes","1996","1381","0.139282403378109","0.133349650068599","0.14521515668762"
"No","1996","11703","0.860717596621891","0.85478484331238","0.866650349931401"
"Yes","1997","1363","0.139398630615495","0.133405811274514","0.145391449956476"
"No","1997","11469","0.860601369384505","0.854608550043524","0.866594188725486"
"Yes","1998","1566","0.13813424924654","0.132459936660981","0.143808561832099"
"No","1998","12638","0.86186575075346","0.856191438167901","0.867540063339019"
"Yes","1999","1524","0.141371595406503","0.135544116466068","0.147199074346938"
"No","1999","12207","0.858628404593497","0.852800925653062","0.864455883533933"
"Yes","2000","2645","0.124960376035163","0.12079227799388","0.129128474076447"
"No","2000","21533","0.875039623964837","0.870871525923553","0.87920772200612"
"Yes","2001","2410","0.126826366914055","0.122425907407003","0.131226826421107"
"No","2001","19559","0.873173633085945","0.868773173578893","0.877574092592997"
"Yes","2002","2576","0.135540929983167","0.131119379555439","0.139962480410895"
"No","2002","20447","0.864459070016833","0.860037519589105","0.868880620444561"
"Yes","2003","2517","0.133978748573849","0.129495946612539","0.138461550535159"
"No","2003","19663","0.866021251426151","0.861538449464841","0.870504053387461"
"Yes","2004","2539","0.139499008530249","0.134883063347431","0.144114953713067"
"No","2004","19103","0.860500991469751","0.855885046286933","0.865116936652569"
"Yes","2005","2481","0.135720729830593","0.131053153095504","0.140388306565681"
"No","2005","18202","0.864279270169407","0.859611693434319","0.868946846904496"
"Yes","2006","2744","0.140342239833475","0.135753587014981","0.144930892651969"
"No","2006","19267","0.859657760166525","0.855069107348031","0.864246412985018"
"Yes","2007","2585","0.139662889255312","0.134920673079836","0.144405105430787"
"No","2007","17940","0.860337110744688","0.855594894569213","0.865079326920164"
"Yes","2008","2443","0.139044588144484","0.13416857602152","0.143920600267447"
"No","2008","16899","0.860955411855516","0.856079399732553","0.865831423978479"
"Yes","2009","2347","0.139452521876055","0.134397554091951","0.144507489660158"
"No","2009","15694","0.860547478123945","0.855492510339842","0.865602445908049"
"Yes","2010","2478","0.13917104235585","0.134792311995519","0.143549772716181"
"No","2010","21525","0.86082895764415","0.856450227283819","0.865207688004481"
"Yes","2011","3124","0.137351012386676","0.133344148863111","0.141357875910242"
"No","2011","25226","0.862648987613324","0.858642124089758","0.866655851136889"
"Yes","2012","3285","0.142935967656306","0.138809708798402","0.147062226514211"
"No","2012","24355","0.857064032343694","0.852937773485789","0.861190291201598"
"Yes","2013","3300","0.140757976912257","0.136865102047709","0.144650851776805"
"No","2013","27358","0.859242023087743","0.855349148223195","0.863134897952291"
"Yes","2014","3216","0.147520212666356","0.143302286295488","0.151738139037224"
"No","2014","23938","0.852479787333644","0.848261860962776","0.856697713704512"
"Yes","2015","2977","0.144095815176578","0.13989315204777","0.148298478305386"
"No","2015","23847","0.855904184823422","0.851701521694614","0.86010684795223"
"Yes","2016","2799","0.142041666980929","0.137656609801348","0.14642672416051"
"No","2016","21547","0.857958333019071","0.85357327583949","0.862343390198652"
"Yes","2017","3091","0.140226486200322","0.136058433317108","0.144394539083536"
"No","2017","23568","0.859773513799678","0.855605460916464","0.863941566682892"
"Yes","2018","3146","0.140446103309541","0.136200858658163","0.144691347960918"
"No","2018","22586","0.859553896690459","0.855308652039081","0.863799141341837"
"Yes","2019","3052","0.139285254685463","0.135060233921412","0.143510275449515"
"No","2019","22747","0.860714745314537","0.856489724550485","0.864939766078589"
