"ple0040","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","1-pers.-HH","Urban Area","132","0.150226687921082","0.127992701048874","0.172460674793291"
"Yes","1985","1-pers.-HH","Rural Area","16","","",""
"Yes","1985","(Married) couple without C. ","Urban Area","344","0.205996585501236","0.187911290196719","0.224081880805752"
"Yes","1985","(Married) couple without C. ","Rural Area","91","0.206154141863431","0.170588224048104","0.241720059678758"
"Yes","1985","Single parent ","Urban Area","30","0.0856428316666247","0.0591316153925434","0.112154047940706"
"Yes","1985","Single parent ","Rural Area","6","","",""
"Yes","1985","Couple + C. LE 16 ","Urban Area","86","0.0528179228582088","0.0432968134584156","0.0623390322580019"
"Yes","1985","Couple + C. LE 16 ","Rural Area","20","","",""
"Yes","1985","Couple + C. GT 16 ","Urban Area","148","0.10493027905621","0.0900617892097049","0.119798768902715"
"Yes","1985","Couple + C. GT 16 ","Rural Area","34","0.0920297315838207","0.0631174496376677","0.120942013529974"
"Yes","1985","Couple + C. LE and GT 16","Urban Area","51","0.0535494609584563","0.0405323505076962","0.0665665714092164"
"Yes","1985","Couple + C. LE and GT 16","Rural Area","13","","",""
"No","1985","1-pers.-HH","Urban Area","860","0.849773312078918","0.827539325206709","0.872007298951126"
"No","1985","1-pers.-HH","Rural Area","162","0.906442077071076","0.863661326062582","0.949222828079569"
"No","1985","(Married) couple without C. ","Urban Area","1577","0.794003414498764","0.775918119194248","0.812088709803281"
"No","1985","(Married) couple without C. ","Rural Area","406","0.793845858136569","0.758279940321242","0.829411775951896"
"No","1985","Single parent ","Urban Area","398","0.914357168333375","0.887845952059294","0.940868384607457"
"No","1985","Single parent ","Rural Area","107","0.938109453743574","0.893682372350958","0.98253653513619"
"No","1985","Couple + C. LE 16 ","Urban Area","2034","0.947182077141791","0.937660967741998","0.956703186541584"
"No","1985","Couple + C. LE 16 ","Rural Area","524","0.961196386487578","0.94496742270507","0.977425350270087"
"No","1985","Couple + C. GT 16 ","Urban Area","1484","0.89506972094379","0.880201231097285","0.909938210790295"
"No","1985","Couple + C. GT 16 ","Rural Area","350","0.907970268416179","0.879057986470026","0.936882550362332"
"No","1985","Couple + C. LE and GT 16","Urban Area","1098","0.946450539041544","0.933433428590784","0.959467649492304"
"No","1985","Couple + C. LE and GT 16","Rural Area","317","0.951819762839163","0.928714923831265","0.974924601847061"
"Yes","1986","1-pers.-HH","Urban Area","","","",""
