"ple0040","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1984","no migration background","997","0.127773818599204","0.120736192196123","0.134811445002285"
"Yes","1984","direct migration background","164","0.0712113114290047","0.0625540368385084","0.0798685860195009"
"Yes","1984","indirect migration background","6","","",""
"No","1984","no migration background","7647","0.872226181400796","0.865188554997715","0.879263807803877"
"No","1984","direct migration background","3226","0.928788688570995","0.920131413980499","0.937445963161492"
"No","1984","indirect migration background","120","0.91732932170284","0.869245253250844","0.965413390154836"
"Yes","1985","no migration background","888","0.124571897297896","0.117303615132379","0.131840179463414"
"Yes","1985","direct migration background","142","0.0818395187529365","0.0719088713669697","0.0917701661389033"
"Yes","1985","indirect migration background","5","","",""
"No","1985","no migration background","7042","0.875428102702103","0.868159820536586","0.882696384867621"
"No","1985","direct migration background","2785","0.918160481247063","0.908229833861097","0.92809112863303"
"No","1985","indirect migration background","136","0.933594626893569","0.892496756609937","0.974692497177201"
"Yes","1986","no migration background","7","","",""
"Yes","1986","direct migration background","1","","",""
"Yes","1986","indirect migration background","","","",""
"No","1986","no migration background","323","0.983666021630835","0.969989963310476","0.997342079951194"
"No","1986","direct migration background","126","0.99622060988334","0.985548879285974","1.00689234048071"
"No","1986","indirect migration background","20","","",""
"Yes","1987","no migration background","811","0.123212591078969","0.11575255862147","0.130672623536469"
"Yes","1987","direct migration background","169","0.0963001310713369","0.0854024413083089","0.107197820834365"
"Yes","1987","indirect migration background","9","","",""
"No","1987","no migration background","6646","0.876787408921031","0.869327376463531","0.88424744137853"
"No","1987","direct migration background","2646","0.903699868928663","0.892802179165635","0.914597558691691"
"No","1987","indirect migration background","165","0.889504803381471","0.842922676368273","0.936086930394669"
"Yes","1988","no migration background","838","0.136394628645031","0.128395673410619","0.144393583879443"
"Yes","1988","direct migration background","200","0.111748443754142","0.0998137127256073","0.123683174782677"
"Yes","1988","indirect migration background","12","","",""
"No","1988","no migration background","6234","0.863605371354969","0.855606416120557","0.871604326589381"
"No","1988","direct migration background","2477","0.888251556245858","0.876316825217323","0.900186287274393"
"No","1988","indirect migration background","211","0.896004002892413","0.855939574950682","0.936068430834143"
"Yes","1989","no migration background","835","0.142943075149334","0.134625739075546","0.151260411223121"
"Yes","1989","direct migration background","187","0.105046136612765","0.093253729010862","0.116838544214667"
"Yes","1989","indirect migration background","10","","",""
"No","1989","no migration background","5968","0.857056924850666","0.848739588776879","0.865374260924454"
"No","1989","direct migration background","2410","0.894953863387235","0.883161455785333","0.906746270989138"
"No","1989","indirect migration background","250","0.908630746884134","0.87360759973625","0.943653894032018"
"Yes","1990","no migration background","","","",""
"Yes","1990","direct migration background","","","",""
"Yes","1990","indirect migration background","","","",""
"No","1990","no migration background","","","",""
"No","1990","direct migration background","","","",""
"No","1990","indirect migration background","","","",""
"Yes","1991","no migration background","833","0.146341450162805","0.137803336385594","0.154879563940016"
"Yes","1991","direct migration background","207","0.117112430728389","0.104459564762607","0.129765296694171"
"Yes","1991","indirect migration background","9","","",""
"No","1991","no migration background","5750","0.853658549837195","0.845120436059984","0.862196663614406"
"No","1991","direct migration background","2274","0.882887569271611","0.870234703305829","0.895540435237393"
"No","1991","indirect migration background","339","0.943551003612572","0.919303374976667","0.967798632248478"
"Yes","1992","no migration background","1124","0.137127764279264","0.130479257462921","0.143776271095607"
"Yes","1992","direct migration background","242","0.130502843993267","0.117348230923029","0.143657457063506"
"Yes","1992","indirect migration background","12","","",""
"No","1992","no migration background","9159","0.862872235720736","0.856223728904393","0.869520742537079"
"No","1992","direct migration background","2277","0.869497156006733","0.856342542936494","0.882651769076971"
"No","1992","indirect migration background","395","0.944069673083053","0.921745437921219","0.966393908244887"
"Yes","1993","no migration background","","","",""
"Yes","1993","direct migration background","","","",""
"Yes","1993","indirect migration background","","","",""
"No","1993","no migration background","","","",""
"No","1993","direct migration background","","","",""
"No","1993","indirect migration background","","","",""
"Yes","1994","no migration background","1033","0.132160471525346","0.125512444189738","0.138808498860954"
"Yes","1994","direct migration background","250","0.140416896934475","0.126331394096612","0.154502399772339"
"Yes","1994","indirect migration background","12","","",""
"No","1994","no migration background","8936","0.867839528474654","0.861191501139046","0.874487555810262"
"No","1994","direct migration background","2087","0.859583103065525","0.845497600227661","0.873668605903388"
"No","1994","indirect migration background","480","0.956189151942895","0.938103745398451","0.974274558487338"
"Yes","1995","no migration background","1083","0.142439524833533","0.135563263884892","0.149315785782175"
"Yes","1995","direct migration background","269","0.121288128459856","0.10915261692666","0.133423639993052"
"Yes","1995","indirect migration background","14","","",""
"No","1995","no migration background","8841","0.857560475166467","0.850684214217825","0.864436736115108"
"No","1995","direct migration background","2511","0.878711871540144","0.866576360006948","0.89084738307334"
"No","1995","indirect migration background","495","0.952726754302129","0.934290143362222","0.971163365242037"
"Yes","1996","no migration background","1106","0.143304794749533","0.136409770724232","0.150199818774834"
"Yes","1996","direct migration background","262","0.130445417420583","0.117536938142465","0.1433538966987"
"Yes","1996","indirect migration background","13","","",""
"No","1996","no migration background","8814","0.856695205250467","0.849800181225166","0.863590229275768"
"No","1996","direct migration background","2353","0.869554582579417","0.8566461033013","0.882463061857535"
"No","1996","indirect migration background","536","0.969654734662986","0.955305922524716","0.984003546801257"
"Yes","1997","no migration background","1099","0.14526609284484","0.138285397176149","0.15224678851353"
"Yes","1997","direct migration background","248","0.12053660406145","0.107704307350129","0.13336890077277"
"Yes","1997","indirect migration background","16","","",""
"No","1997","no migration background","8689","0.85473390715516","0.84775321148647","0.86171460282385"
"No","1997","direct migration background","2225","0.87946339593855","0.86663109922723","0.89229569264987"
"No","1997","indirect migration background","555","0.961111611954078","0.945254396760838","0.976968827147317"
"Yes","1998","no migration background","1295","0.143973102637044","0.137470873844892","0.150475331429196"
"Yes","1998","direct migration background","254","0.123696140714593","0.110532481130827","0.13685980029836"
"Yes","1998","indirect migration background","17","","",""
"No","1998","no migration background","9903","0.856026897362956","0.849524668570804","0.862529126155108"
"No","1998","direct migration background","2149","0.876303859285407","0.86314019970164","0.889467518869173"
"No","1998","indirect migration background","586","0.970075462072913","0.956476495034049","0.983674429111776"
"Yes","1999","no migration background","1266","0.146954975573247","0.140309694106102","0.153600257040391"
"Yes","1999","direct migration background","237","0.128482831806209","0.114547357684318","0.1424183059281"
"Yes","1999","indirect migration background","21","","",""
"No","1999","no migration background","9639","0.853045024426753","0.846399742959609","0.859690305893898"
