"ple0040","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1985","in school","Urban Area","1","","",""
"Yes","1985","in school","Rural Area","","","",""
"Yes","1985","inadequately","Urban Area","49","0.109739387738124","0.0871734080351586","0.13230536744109"
"Yes","1985","inadequately","Rural Area","11","","",""
"Yes","1985","general elemantary","Urban Area","196","0.114295661065572","0.10138772150533","0.127203600625814"
"Yes","1985","general elemantary","Rural Area","62","0.10346350294815","0.0811394704450081","0.125787535451292"
"Yes","1985","middle vocational","Urban Area","435","0.133650615608281","0.123166941645357","0.144134289571206"
"Yes","1985","middle vocational","Rural Area","96","0.102317083476868","0.0844560705903036","0.120178096363432"
"Yes","1985","vocational + Abi","Urban Area","16","","",""
"Yes","1985","vocational + Abi","Rural Area","5","","",""
"Yes","1985","higher vocational","Urban Area","76","0.172709239075956","0.139308781840784","0.206109696311128"
"Yes","1985","higher vocational","Rural Area","13","","",""
"Yes","1985","higher education","Urban Area","54","0.100768975847872","0.0773925861718666","0.124145365523878"
"Yes","1985","higher education","Rural Area","13","","",""
"No","1985","in school","Urban Area","147","0.996303994019256","0.986527581879363","1.00608040615915"
"No","1985","in school","Rural Area","36","1","1","1"
"No","1985","inadequately","Urban Area","688","0.890260612261876","0.86769463255891","0.912826591964841"
"No","1985","inadequately","Rural Area","96","0.778050443632956","0.699311928564132","0.856788958701779"
"No","1985","general elemantary","Urban Area","2138","0.885704338934428","0.872796399374186","0.89861227849467"
"No","1985","general elemantary","Rural Area","653","0.89653649705185","0.874212464548708","0.918860529554992"
"No","1985","middle vocational","Urban Area","3612","0.866349384391719","0.855865710428794","0.876833058354643"
"No","1985","middle vocational","Rural Area","1010","0.897682916523132","0.879821903636568","0.915543929409696"
"No","1985","vocational + Abi","Urban Area","220","0.916581985329122","0.881303683389685","0.951860287268559"
"No","1985","vocational + Abi","Rural Area","39","0.873593836868413","0.775405329493692","0.971782344243134"
"No","1985","higher vocational","Urban Area","416","0.827290760924044","0.793890303688872","0.860691218159216"
"No","1985","higher vocational","Rural Area","115","0.879140921986916","0.822671675506855","0.935610168466978"
"No","1985","higher education","Urban Area","583","0.899231024152128","0.875854634476122","0.922607413828133"
"No","1985","higher education","Rural Area","104","0.87331149164549","0.813040496951351","0.933582486339628"
"Yes","1986","in school","Urban Area","","","",""
"Yes","1986","in school","Rural Area","1","","",""
"Yes","1986","inadequately","Urban Area","2","","",""
"Yes","1986","inadequately","Rural Area","","","",""
"Yes","1986","general elemantary","Urban Area","","","",""
"Yes","1986","general elemantary","Rural Area","2","","",""
"Yes","1986","middle vocational","Urban Area","3","","",""
"Yes","1986","middle vocational","Rural Area","","","",""
"Yes","1986","vocational + Abi","Urban Area","","","",""
"Yes","1986","vocational + Abi","Rural Area","","","",""
"Yes","1986","higher vocational","Urban Area","","","",""
"Yes","1986","higher vocational","Rural Area","","","",""
"Yes","1986","higher education","Urban Area","","","",""
"Yes","1986","higher education","Rural Area","","","",""
"No","1986","in school","Urban Area","81","1","1","1"
"No","1986","in school","Rural Area","8","","",""
"No","1986","inadequately","Urban Area","27","","",""
"No","1986","inadequately","Rural Area","4","","",""
"No","1986","general elemantary","Urban Area","149","1","1","1"
