"ple0040","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","West Germany","693","0.178934431089956","0.167897385928631","0.189971476251282"
"Yes","1984","Not Employed","East Germany","","","",""
"Yes","1984","Employed","West Germany","474","0.0779802195600273","0.0719226350890039","0.0840378040310507"
"Yes","1984","Employed","East Germany","","","",""
"No","1984","Not Employed","West Germany","3940","0.821065568910044","0.810028523748718","0.832102614071369"
"No","1984","Not Employed","East Germany","","","",""
"No","1984","Employed","West Germany","7053","0.922019780439973","0.915962195968949","0.928077364910996"
"No","1984","Employed","East Germany","","","",""
"Yes","1985","Not Employed","West Germany","624","0.180032279613947","0.16835538934308","0.191709169884813"
"Yes","1985","Not Employed","East Germany","","","",""
"Yes","1985","Employed","West Germany","411","0.074094607710662","0.0678869409182666","0.0803022745030574"
"Yes","1985","Employed","East Germany","","","",""
"No","1985","Not Employed","West Germany","3535","0.819967720386053","0.808290830115187","0.83164461065692"
"No","1985","Not Employed","East Germany","","","",""
"No","1985","Employed","West Germany","6428","0.925905392289338","0.919697725496943","0.932113059081733"
"No","1985","Employed","East Germany","","","",""
"Yes","1986","Not Employed","West Germany","5","","",""
"Yes","1986","Not Employed","East Germany","","","",""
"Yes","1986","Employed","West Germany","3","","",""
"Yes","1986","Employed","East Germany","","","",""
"No","1986","Not Employed","West Germany","247","0.983338686424477","0.967535160164079","0.999142212684875"
"No","1986","Not Employed","East Germany","","","",""
"No","1986","Employed","West Germany","222","0.987783323164197","0.973429611442169","1.00213703488623"
"No","1986","Employed","East Germany","","","",""
"Yes","1987","Not Employed","West Germany","604","0.194581328519719","0.181931048928633","0.207231608110804"
"Yes","1987","Not Employed","East Germany","","","",""
"Yes","1987","Employed","West Germany","385","0.0676524859919067","0.0616315964609439","0.0736733755228694"
"Yes","1987","Employed","East Germany","","","",""
"No","1987","Not Employed","West Germany","3158","0.805418671480281","0.792768391889196","0.818068951071367"
"No","1987","Not Employed","East Germany","","","",""
"No","1987","Employed","West Germany","6299","0.932347514008093","0.926326624477131","0.938368403539056"
"No","1987","Employed","East Germany","","","",""
"Yes","1988","Not Employed","West Germany","654","0.225605146158661","0.211841983425644","0.239368308891677"
"Yes","1988","Not Employed","East Germany","","","",""
"Yes","1988","Employed","West Germany","396","0.0694050586030605","0.0631927605444659","0.075617356661655"
"Yes","1988","Employed","East Germany","","","",""
"No","1988","Not Employed","West Germany","2889","0.774394853841339","0.760631691108323","0.788158016574356"
"No","1988","Not Employed","East Germany","","","",""
"No","1988","Employed","West Germany","6033","0.93059494139694","0.924382643338345","0.936807239455534"
"No","1988","Employed","East Germany","","","",""
"Yes","1989","Not Employed","West Germany","673","0.241411667198282","0.227035751332576","0.255787583063988"
"Yes","1989","Not Employed","East Germany","","","",""
"Yes","1989","Employed","West Germany","359","0.0668763737411194","0.0606861596157634","0.0730665878664754"
"Yes","1989","Employed","East Germany","","","",""
"No","1989","Not Employed","West Germany","2731","0.758588332801718","0.744212416936012","0.772964248667424"
"No","1989","Not Employed","East Germany","","","",""
"No","1989","Employed","West Germany","5897","0.933123626258881","0.926933412133525","0.939313840384237"
